"Name","Density"
"Ac","10.070000"
"Ag","10.501000"
"Al","2.700000"
"Am","13.690000"
"Ar","0.001784"
"As","5.776000"
"At","7.000000"
"Au","19.282000"
"B","2.370000"
"Ba","3.620000"
"Be","1.850000"
"Bi","9.807000"
"Bk","14.000000"
"Br","3.110000"
"C","2.267000"
"Ca","1.540000"
"Cd","8.690000"
"Ce","6.770000"
"Cf","15.100000"
"Cl","0.003214"
"Cm","13.510000"
"Co","8.860000"
"Cr","7.150000"
"Cs","1.930000"
"Cu","8.933000"
"Dy","8.550000"
"Er","9.070000"
"Es","8.840000"
"Eu","5.240000"
"F","0.001696"
"Fe","7.874000"
"Fm","9.970000"
"Fr","2.480000"
"Ga","5.910000"
"Gd","7.900000"
"Ge","5.323000"
"H","0.000090"
"He","0.000179"
"Hf","13.300000"
"Hg","13.533600"
"Ho","8.800000"
"I","4.930000"
"In","7.310000"
"Ir","22.420000"
"K","0.890000"
"Kr","0.003733"
"La","6.150000"
"Li","0.534000"
"Lu","9.840000"
"Mg","1.740000"
"Mn","7.300000"
"Mo","10.200000"
"N","0.001251"
"Na","0.970000"
"Nb","8.570000"
"Nd","7.010000"
"Ne","0.000900"
"Ni","8.912000"
"Np","20.250000"
"O","0.001429"
"Os","22.570000"
"P","1.820000"
"Pa","15.370000"
"Pb","11.342000"
"Pd","12.000000"
"Pm","7.260000"
"Po","9.320000"
"Pr","6.770000"
"Pt","21.460000"
"Pu","19.840000"
"Ra","5.500000"
"Rb","1.530000"
"Re","20.800000"
"Rh","12.400000"
"Rn","0.009730"
"Ru","12.100000"
"S","2.067000"
"Sb","6.685000"
"Sc","2.990000"
"Se","4.809000"
"Si","2.329600"
"Sm","7.520000"
"Sn","7.287000"
"Sr","2.640000"
"Ta","16.400000"
"Tb","8.230000"
"Tc","11.000000"
"Te","6.232000"
"Th","11.720000"
"Ti","4.500000"
"Tl","11.800000"
"Tm","9.320000"
"U","18.950000"
"V","6.000000"
"W","19.300000"
"Xe","0.005887"
"Y","4.470000"
"Yb","6.900000"
"Zn","7.134000"
"Zr","6.520000"
