"Name","Density"
"A-150 Tissue-Equivalent Plastic (A150TEP)","1.127000"
"Acetone","0.789900"
"Acetylene","0.001097"
"Air (dry, near sea level)","0.001205"
"Alanine","1.420000"
"Aluminum Oxide","3.970000"
"Aluminum, alloy 2024-O","2.780000"
"Aluminum, alloy 2090-T83","2.590000"
"Aluminum, alloy 3003","2.730000"
"Aluminum, alloy 4043-O","2.690000"
"Aluminum, alloy 5086-O","2.660000"
"Aluminum, alloy 6061-O","2.700000"
"Aluminum, alloy 7075-O","2.810000"
"Ammonia (liquid at T= -79 C)","0.771000"
"Anthracene","1.250000"
"Asphalt","1.300000"
"Asphalt pavement","2.578400"
"Bakelite","1.250000"
"Barium Fluoride","4.890000"
"Barium sulfate","4.500000"
"Benzene","0.876500"
"Beryllium Carbide","1.900000"
"Beryllium Oxide","3.010000"
"Bismuth Germanate (BGO)","7.130000"
"Blood (ICRP)","1.060000"
"Bone Equivalent Plastic, B-100","1.450000"
"Bone Equivalent Plastic, B-110","1.785000"
"Bone, Compact (ICRU)","1.850000"
"Bone, Cortical (ICRP)","1.850000"
"Boral (65% Al-35% B4C)","2.530000"
"Boral (Aluminum 10% boron alloy)","2.600000"
"Boral (Aluminum 5% boron alloy)","2.600000"
"Borax","1.730000"
"Boric Acid","1.500000"
"Boron Carbide","2.520000"
"Boron Fluoride (B2F4)","0.004058"
"Boron Fluoride (BF3)","0.002831"
"Boron Oxide","1.812000"
"Brain (ICRP)","1.030000"
"Brass (typical composition)","8.070000"
"Brick, Common Silica","1.800000"
"Brick, Fire","2.100000"
"Brick, Kaolin (white)","2.100000"
"Bronze (typical composition)","8.400000"
"C-552 Air-Equivalent Plastic","1.760000"
"Cadmium Nitrate Tetrahydrate","2.450000"
"Cadmium Telluride","6.200000"
"Cadmium Tungstate (CWO)","7.900000"
"Calcium Carbonate","2.800000"
"Calcium Fluoride","3.180000"
"Calcium Oxide","3.300000"
"Calcium Sulfate","2.960000"
"Carbon Dioxide","0.001842"
"Carbon Tetrachloride","1.594000"
"Carbon, Activated","0.320000"
"Carbon, Amorphous","2.000000"
"Carbon, Graphite (reactor grade)","1.700000"
"Cat litter (clumping)","1.100000"
"Cat litter (non-clumping)","1.100000"
"Cellulose Acetate","1.420000"
"Celotex","0.240000"
"Ceric Sulfate Dosimeter Solution","1.030000"
"Cerium Fluoride","6.160000"
"Cesium Iodide","4.510000"
"Clay","2.200000"
"Coal, Anthracite","0.840000"
"Coal, Bituminous","0.750000"
"Coal, Lignite","0.750000"
"Concrete, Barite (Type BA)","3.350000"
"Concrete, Barytes-Limonite","3.360000"
"Concrete, Boron Frits-baryte","3.100000"
"Concrete, Colemanite-baryte","3.200000"
"Concrete, Ferro-phosphorus","4.800000"
"Concrete, Hanford Dry","2.180000"
"Concrete, Hanford Wet","2.350000"
"Concrete, Iron-limonite","4.400000"
"Concrete, Iron-Portland","5.900000"
"Concrete, Limonite and steel","4.540000"
"Concrete, Los Alamos (MCNP)","2.250000"
"Concrete, Luminite-colemanite-baryte","3.100000"
"Concrete, Luminite-Portland-colemanite-baryte","3.100000"
"Concrete, M-1","4.500000"
"Concrete, Magnetite","3.530000"
"Concrete, Magnetite and steel","4.640000"
"Concrete, Magnuson","2.147000"
"Concrete, MO","5.500000"
"Concrete, Oak Ridge (ORNL)","2.300000"
"Concrete, Ordinary (NBS 03)","2.350000"
"Concrete, Ordinary (NBS 04)","2.350000"
"Concrete, Ordinary (NIST)","2.300000"
"Concrete, Portland","2.300000"
"Concrete, Regular","2.300000"
"Concrete, Rocky Flats","2.320000"
"Concrete, Serpentine","2.100000"
"Diatomaceous Earth","0.220000"
"Earth, Typical Western U.S.","1.520000"
"Earth, U.S. Average","1.520000"
"Ethane","0.001253"
"Ethyl Acetate","0.901000"
"Ethyl Alcohol","0.789300"
"Ethylene","0.001175"
"Ethylene Glycol","1.114000"
"Explosive compound, AN","1.720000"
"Explosive compound, EGDN","1.490000"
"Explosive compound, HMX","1.890000"
"Explosive compound, NC","1.490000"
"Explosive compound, NG","1.600000"
"Explosive compound, PETN","1.770000"
"Explosive compound, RDX","1.820000"
"Explosive compound, TNT","1.650000"
"Eye Lens (ICRP)","1.100000"
"Felt","0.185000"
"Ferric Oxide","5.200000"
"Ferrous Sulfate Dosimeter Solution","1.024000"
"Fertilizer (Muriate of Potash)","1.270000"
"Fiberglass, Type C","2.490000"
"Fiberglass, Type E","2.565000"
"Fiberglass, Type R","2.550000"
"Freon-12","1.120000"
"Freon-12B2","1.800000"
"Freon-13","0.950000"
"Freon-13B1","1.500000"
"Freon-13I1","1.800000"
"Gadolinium Oxysulfide","7.440000"
"Gadolinium Silicate (GSO)","6.710000"
"Gafchromic Sensor (GS)","1.300000"
"Gallium Arsenide","5.310000"
"Gasoline","0.721000"
"Glass Scintillator, Li Doped  (GS1, GS2, GS3)","2.660000"
"Glass Scintillator, Li Doped  (GS10, GS20, GS30)","2.500000"
"Glass Scintillator, Li Doped  (GSF1)","2.420000"
"Glass Scintillator, Li Doped  (KG1, KG2, KG3)","2.420000"
"Glass, Borosilicate (Pyrex Glass)","2.230000"
"Glass, Foam","0.128000"
"Glass, Lead","6.220000"
"Glass, Plate","2.400000"
"Glycerol","1.261300"
"Gypsum (Plaster of Paris)","2.320000"
"Incoloy-800","7.940000"
"Inconel-600","8.470000"
"Inconel-625","2.320000"
"Inconel-718","8.190000"
"Iron Boride (Fe2B)","7.300000"
"Iron Boride (FeB)","7.150000"
"Iron, Armco Ingot","7.866000"
"Iron, Cast (gray)","7.150000"
"Iron, Wrought (Byers No.1)","7.700000"
"Kaowool","0.096000"
"Kapton Polyimide Film","1.420000"
"Kennertium","16.800000"
"Kernite","1.950000"
"Kerosene","0.819000"
"Kynar","1.790000"
"Lead Tungstate (PWO)","8.240000"
"Lithium Amide","1.178000"
"Lithium Fluoride","2.635000"
"Lithium Gadrium Borate (LGB)","3.500000"
"Lithium Hydride","0.820000"
"Lithium Iodide (high density)","4.080000"
"Lithium Iodide (low density)","3.494000"
"Lithium Oxide","2.013000"
"Lithium Tetraborate","2.440000"
"Lucite","1.190000"
"Lutetium Aluminum Garnet (LuAG)","6.730000"
"Lutetium Orthoaluminate (LuAP)","8.400000"
"Lutetium Oxyorthosilicate (LSO)","7.400000"
"Lutetium Yttrium OxyorthoSilicate (LYSO)","7.300000"
"Magnesium Oxide","3.580000"
"Magnesium Tetraborate","2.530000"
"Masonite","1.300000"
"Melamine","1.350000"
"Mercury Iodide","6.360000"
"Methane","0.000667"
"Methanol","0.791400"
"Methylene Chloride","1.326600"
"Monosodium Titanate, MST","1.000000"
"Muscle Equivalent-Liquid, with sucrose","1.110000"
"Muscle Equivalent-Liquid, without sucrose","1.070000"
"Muscle, Skeletal","1.040000"
"Muscle, Striated","1.040000"
"Nylon, Dupont ELVAmide 8062","1.080000"
"Nylon, Type 11 (Rilsan)","1.425000"
"Nylon, Type 6 and Type 6/6","1.140000"
"Nylon, Type 6/10","1.140000"
"Oil, Crude (Heavy, Cold Lake, Canada)","0.970000"
"Oil, Crude (Heavy, Mexican)","0.975000"
"Oil, Crude (Heavy, Qayarah, Iraq)","0.970000"
"Oil, Crude (Light, Texas)","0.875000"
"Oil, Fuel (Calif.)","0.955000"
"Oil, Hydraulic","0.871000"
"Oil, Lard","0.915000"
"P-10 gas","0.001561"
"P-5 gas","0.001611"
"Photographic Emulsion, Gel in","1.291400"
"Photographic Emulsion, Kodak Type AA","2.200000"
"Photographic Emulsion, Standard Nuclear","3.815000"
"Plutonium Bromide","6.750000"
"Plutonium Carbide","13.600000"
"Plutonium Chloride","5.710000"
"Plutonium Dioxide","11.460000"
"Plutonium Flouride (PuF3)","9.330000"
"Plutonium Flouride (PuF4)","7.000000"
"Plutonium Flouride (PuF6)","5.080000"
"Plutonium Iodide","6.920000"
"Plutonium Nitrate","2.447000"
"Plutonium Nitride","14.250000"
"Plutonium Oxide (Pu2O3)","10.500000"
"Plutonium Oxide (PuO)","14.000000"
"Plutonium, Aged WGPu (A 4-7% Pu-240)","19.840000"
"Plutonium, Aged WGPu (B 10-13% Pu-240)","19.840000"
"Plutonium, Aged WGPu (C 16-19% Pu-240)","19.840000"
"Plutonium, DOE 3013 WGPu","19.840000"
"Plutonium, Fuel Grade","19.840000"
"Plutonium, Power Grade","19.840000"
"Plutonium, Shefelbine WGPu","19.840000"
"Polycarbonate","1.200000"
"Polyethylene Terephthalate (PET)","1.380000"
"Polyethylene, Borated","1.000000"
"Polyethylene, Non-borated","0.930000"
"Polyisocyanurate (PIR)","0.048200"
"Polypropylene (PP)","0.900000"
"Polystyrene (PS)","1.060000"
"Polytetrafluoroethylene (PTFE)","2.250000"
"Polyurethane Foam (PUR)","0.021000"
"Polyvinyl Acetate (PVA)","1.190000"
"Polyvinyl Chloride (PVC)","1.406000"
"Polyvinyl Toluene (PVT)","1.032000"
"Polyvinylidene Chloride (PVDC)","1.700000"
"Potassium Aluminum Silicate","1.100000"
"Potassium Iodide","3.130000"
"Potassium Oxide","2.320000"
"Propane (gas)","0.001879"
"Propane (liquid)","0.430000"
"P-terphenyl","1.230000"
"Radiochromic Dye Film, Nylon Base  (RDF NB)","1.080000"
"Rock (Average of 5 types)","2.662000"
"Rock, Basalt","3.010000"
"Rock, Granite","2.690000"
"Rock, Limestone","2.610000"
"Rock, Sandstone","2.320000"
"Rock, Shale","2.680000"
"Rubber, Butyl","0.920000"
"Rubber, Natural","0.920000"
"Rubber, Neoprene","1.230000"
"Rubber, Silicon","1.018500"
"Salt Water (T=0 C)","1.209865"
"Salt Water (T=20 C)","1.022394"
"Sand","1.700000"
"Sea Water, Simple Artificial","1.023343"
"Sea Water, Standard","1.023343"
"Sepiolite","2.140000"
"Silicon Carbide (hexagonal)","3.210000"
"Silicon Dioxide (Alpha-quartz)","2.648000"
"Silicon Dioxide (Silica)","2.320000"
"Skin (ICRP)","1.100000"
"Sodium Bismuth Tungstate (NBWO)","7.570000"
"Sodium Chloride","2.170000"
"Sodium Iodide","3.667000"
"Sodium Nitrate","2.261000"
"Sodium Oxide","2.270000"
"Steel, Boron Stainless","7.870000"
"Steel, Carbon","7.820000"
"Steel, HT9 Stainless","7.874000"
"Steel, Stainless 202","7.860000"
"Steel, Stainless 302","7.860000"
"Steel, Stainless 304","8.000000"
"Steel, Stainless 304L","8.000000"
"Steel, Stainless 316","8.000000"
"Steel, Stainless 316L","8.000000"
"Steel, Stainless 321","8.000000"
"Steel, Stainless 347","8.000000"
"Steel, Stainless 409","7.800000"
"Steel, Stainless 440","7.800000"
"Sterotex","0.862000"
"Stilbene (trans-stilbene isomer)","1.220000"
"Thorium Dioxide","10.000000"
"Tissue Equivalent, MS20","1.000000"
"Tissue Equivalent-Gas, methane based  (TEG MB)","0.001064"
"Tissue Equivalent-Gas, propane based  (TEG PB)","0.001826"
"Tissue, Adipose (ICRP)","0.920000"
"Tissue, Breast","1.020000"
"Tissue, Lung (ICRP)","1.050000"
"Tissue, Ovary","1.050000"
"Tissue, Soft (ICRP)","1.000000"
"Tissue, Soft (ICRU four component)","1.000000"
"Tissue, Testes (ICRP)","1.040000"
"Tissue, Testis (ICRU)","1.040000"
"Titanium alloy, grade 5","4.430000"
"Titanium Dioxide","4.260000"
"Titanium Hydride","3.750000"
"Toluene","0.866900"
"Tributyl Borate","0.864000"
"Tributyl Phosphate (TBP)","0.972400"
"Uranium Carbide","13.630000"
"Uranium Dicarbide","11.280000"
"Uranium Dioxide","10.960000"
"Uranium Hexafluoride","4.680000"
"Uranium Hydride","11.100000"
"Uranium Nitride","14.310000"
"Uranium Oxide","8.300000"
"Uranium Tetrafluoride","6.700000"
"Uranium Trioxide","7.290000"
"Uranium, Depleted, Typical","18.951157"
"Uranium, Enriched, Typical Commercial","18.944492"
"Uranium, HEU, Health Physics Society","18.724868"
"Uranium, HEU, Russian Average","18.732854"
"Uranium, HEU, US Average","18.724760"
"Uranium, Low Enriched (LEU)","18.944386"
"Uranium, Natural (NU)","18.950000"
"Uranium-Plutonium, Mixed Oxide (MOX)","11.000000"
"Uranyl Fluoride","6.370000"
"Uranyl Nitrate","2.203000"
"Vermiculite, Exfoliated","0.085000"
"Viton Fluoroelastomer","1.800000"
"Water, Heavy","1.105340"
"Water, Liquid","0.998207"
"Water, Vapor","0.000756"
"Wax, M3","1.050000"
"Wax, Mix D","0.990000"
"Wax, Paraffin","0.930000"
"Wood (Southern Pine)","0.640000"
"Yttrium Aluminum Garnet (YAG)","4.560000"
"Yttrium Aluminum Perovskite (YAP)","5.370000"
"Yttrium OxyorthoSilicate (YSO)","4.450000"
"Zeolite (Natrolite)","2.250000"
"Zinc Selenide","5.420000"
"Zinc Sulfide","4.090000"
"Zircaloy-2","6.560000"
"Zircaloy-4","6.560000"
"Zirconium Hydride (Zr5H8)","5.610000"
"Zirconium Hydride (ZrH2)","5.610000"
"Martian Atmosphere","function"
"Martian Regolith","1.7"
