"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.28","0.02101","8.301","0.0008465","0.001238","0.0003496"
"0.0125","7.232","0.02323","7.255","0.00117","0.001564","0.0004464"
"0.015","6.453","0.02508","6.478","0.001535","0.001893","0.0005468"
"0.0175","5.85","0.02666","5.876","0.001941","0.002223","0.0006508"
"0.02","5.367","0.02806","5.395","0.002385","0.002554","0.0007582"
"0.025","4.641","0.03043","4.671","0.003385","0.003215","0.0009833"
"0.03","4.118","0.03243","4.151","0.004523","0.003873","0.001222"
"0.035","3.723","0.03416","3.757","0.005791","0.004528","0.001473"
"0.04","3.412","0.03569","3.448","0.007182","0.005177","0.001737"
"0.045","3.161","0.03708","3.198","0.00869","0.005821","0.002012"
"0.05","2.954","0.03836","2.992","0.01031","0.00646","0.0023"
"0.055","2.78","0.03954","2.82","0.01203","0.007093","0.002598"
"0.06","2.632","0.04065","2.672","0.01385","0.00772","0.002908"
"0.07","2.392","0.0427","2.434","0.01778","0.008957","0.003558"
"0.08","2.206","0.04455","2.251","0.02206","0.01017","0.004249"
"0.09","2.058","0.04626","2.104","0.02666","0.01136","0.004977"
"0.1","1.937","0.04785","1.985","0.03155","0.01253","0.005741"
"0.125","1.714","0.05146","1.766","0.04496","0.01536","0.007796"
"0.15","1.562","0.05468","1.617","0.05979","0.01805","0.01004"
"0.175","1.452","0.05763","1.509","0.07582","0.02062","0.01245"
"0.2","1.369","0.06041","1.429","0.09286","0.02307","0.01501"
"0.25","1.253","0.06567","1.319","0.1294","0.02768","0.02055"
"0.3","1.178","0.07073","1.249","0.1684","0.03194","0.02656"
"0.35","1.126","0.0757","1.202","0.2093","0.03593","0.03297"
"0.4","1.089","0.08062","1.17","0.2515","0.03969","0.03974"
"0.45","1.062","0.08556","1.147","0.2947","0.04325","0.04681"
"0.5","1.041","0.09051","1.132","0.3386","0.04666","0.05412"
"0.55","1.026","0.09547","1.122","0.383","0.04992","0.06165"
"0.6","1.015","0.1004","1.115","0.4277","0.05306","0.06934"
"0.7","0.9991","0.1105","1.11","0.5176","0.05904","0.0851"
"0.8","0.9905","0.1206","1.111","0.6077","0.06467","0.1012"
"0.9","0.9862","0.1309","1.117","0.6975","0.07003","0.1176"
"1","0.9847","0.1413","1.126","0.7867","0.07516","0.1342"
"1.25","0.9881","0.1677","1.156","1.006","0.08721","0.1759"
"1.5","0.9964","0.1948","1.191","1.219","0.09841","0.2177"
"1.75","1.006","0.2224","1.229","1.426","0.109","0.2594"
"2","1.017","0.2505","1.268","1.626","0.119","0.3007"
"2.5","1.038","0.308","1.346","2.009","0.1379","0.3818"
"3","1.057","0.3669","1.424","2.37","0.1555","0.4603"
"3.5","1.075","0.4271","1.502","2.712","0.172","0.5362"
"4","1.09","0.4882","1.578","3.036","0.1876","0.6096"
"4.5","1.104","0.5503","1.654","3.346","0.2025","0.6806"
"5","1.117","0.6132","1.73","3.641","0.2166","0.7492"
"5.5","1.128","0.6769","1.805","3.924","0.2301","0.8156"
"6","1.139","0.7412","1.88","4.196","0.243","0.8798"
"7","1.157","0.8717","2.029","4.707","0.2672","1.002"
"8","1.173","1.004","2.177","5.183","0.2895","1.117"
"9","1.187","1.139","2.325","5.628","0.3102","1.225"
"10","1.199","1.274","2.473","6.045","0.3294","1.327"
"12.5","1.224","1.62","2.844","6.986","0.3722","1.558"
"15","1.244","1.972","3.216","7.813","0.4089","1.761"
"17.5","1.26","2.33","3.59","8.548","0.4407","1.943"
"20","1.274","2.692","3.966","9.21","0.4687","2.107"
"25","1.297","3.426","4.722","10.36","0.5156","2.394"
"30","1.315","4.17","5.485","11.35","0.5536","2.641"
"35","1.329","4.923","6.252","12.2","0.5851","2.857"
"40","1.342","5.683","7.024","12.95","0.6118","3.051"
"45","1.352","6.448","7.8","13.63","0.6347","3.225"
"50","1.362","7.218","8.579","14.24","0.6547","3.385"
"55","1.37","7.992","9.362","14.8","0.6722","3.533"
"60","1.377","8.77","10.15","15.31","0.6878","3.67"
"70","1.39","10.33","11.72","16.23","0.7143","3.918"
"80","1.401","11.91","13.31","17.03","0.736","4.137"
"90","1.41","13.49","14.9","17.74","0.7543","4.334"
"100","1.419","15.08","16.5","18.37","0.7698","4.513"
"125","1.436","19.07","20.51","19.73","0.8004","4.899"
"150","1.449","23.09","24.54","20.84","0.8229","5.221"
"175","1.46","27.12","28.58","21.79","0.8404","5.498"
"200","1.47","31.16","32.63","22.6","0.8544","5.74"
"250","1.485","39.26","40.75","23.97","0.8754","6.151"
"300","1.498","47.39","48.89","25.09","0.8906","6.492"
"350","1.508","55.53","57.04","26.04","0.9022","6.783"
"400","1.517","63.69","65.2","26.86","0.9113","7.037"
"450","1.525","71.84","73.37","27.58","0.9187","7.262"
"500","1.532","80.01","81.54","28.23","0.9249","7.465"
"550","1.538","88.18","89.72","28.81","0.9301","7.648"
"600","1.543","96.36","97.91","29.34","0.9345","7.817"
"700","1.553","112.7","114.3","30.29","0.9418","8.116"
"800","1.562","129.1","130.7","31.11","0.9475","8.376"
"900","1.569","145.5","147","31.83","0.9521","8.606"
"1000","1.576","161.9","163.4","32.47","0.9558","8.813"
