"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","11.25","0.01634","11.27","0.0005577","0.0007226","0.001126"
"0.0125","9.687","0.01754","9.704","0.0007976","0.000904","0.001445"
"0.015","8.556","0.01849","8.574","0.001072","0.001084","0.001781"
"0.0175","7.695","0.01927","7.715","0.00138","0.001261","0.002135"
"0.02","7.017","0.01992","7.037","0.00172","0.001437","0.002508"
"0.025","6.011","0.02099","6.032","0.00249","0.001781","0.003312"
"0.03","5.297","0.02184","5.319","0.003375","0.002117","0.004203"
"0.035","4.763","0.02254","4.786","0.004368","0.002444","0.00519"
"0.04","4.347","0.02314","4.37","0.005463","0.002764","0.006284"
"0.045","4.012","0.02367","4.036","0.006655","0.003077","0.007495"
"0.05","3.738","0.02414","3.762","0.007939","0.003384","0.008836"
"0.055","3.508","0.02458","3.533","0.009312","0.003684","0.01032"
"0.06","3.313","0.02497","3.338","0.01077","0.003979","0.01196"
"0.07","2.999","0.02569","3.024","0.01392","0.004552","0.01573"
"0.08","2.756","0.02634","2.782","0.01737","0.005106","0.02022"
"0.09","2.563","0.02693","2.59","0.0211","0.005643","0.02543"
"0.1","2.406","0.02748","2.434","0.02509","0.006163","0.03126"
"0.125","2.117","0.02875","2.146","0.03607","0.007402","0.04754"
"0.15","1.92","0.0299","1.95","0.04832","0.008564","0.06453"
"0.175","1.778","0.03098","1.809","0.06165","0.009661","0.08111"
"0.2","1.671","0.03203","1.703","0.07591","0.0107","0.09702"
"0.25","1.522","0.03413","1.556","0.1067","0.01264","0.127"
"0.3","1.424","0.03628","1.46","0.14","0.01443","0.155"
"0.35","1.356","0.03852","1.395","0.175","0.01612","0.1816"
"0.4","1.308","0.04085","1.348","0.2115","0.01772","0.207"
"0.45","1.271","0.04328","1.315","0.2491","0.01927","0.2315"
"0.5","1.244","0.0458","1.29","0.2875","0.02076","0.2552"
"0.55","1.223","0.0484","1.271","0.3266","0.02222","0.2783"
"0.6","1.207","0.05107","1.258","0.3661","0.02365","0.3007"
"0.7","1.184","0.05659","1.241","0.4462","0.02643","0.3438"
"0.8","1.17","0.06233","1.233","0.5271","0.02914","0.3851"
"0.9","1.162","0.06827","1.23","0.6084","0.03179","0.4246"
"1","1.158","0.07439","1.232","0.6896","0.03441","0.4626"
"1.25","1.156","0.09038","1.246","0.8915","0.04082","0.552"
"1.5","1.161","0.1072","1.268","1.09","0.04711","0.6346"
"1.75","1.169","0.1247","1.294","1.286","0.0533","0.7116"
"2","1.178","0.1428","1.321","1.477","0.05942","0.7837"
"2.5","1.197","0.1802","1.377","1.848","0.07144","0.9157"
"3","1.215","0.219","1.434","2.203","0.08317","1.035"
"3.5","1.232","0.2589","1.491","2.545","0.09461","1.143"
"4","1.248","0.2997","1.547","2.874","0.1057","1.243"
"4.5","1.261","0.3412","1.603","3.192","0.1166","1.337"
"5","1.274","0.3834","1.658","3.499","0.1271","1.425"
"5.5","1.286","0.4263","1.712","3.795","0.1374","1.508"
"6","1.296","0.4696","1.766","4.083","0.1474","1.587"
"7","1.315","0.5577","1.873","4.633","0.1667","1.735"
"8","1.331","0.6474","1.978","5.152","0.1849","1.873"
"9","1.345","0.7384","2.083","5.645","0.2023","2.001"
"10","1.357","0.8305","2.188","6.113","0.2188","2.121"
"12.5","1.382","1.065","2.447","7.193","0.2567","2.392"
"15","1.402","1.304","2.707","8.164","0.2904","2.63"
"17.5","1.418","1.547","2.966","9.046","0.3207","2.841"
"20","1.432","1.794","3.226","9.854","0.348","3.03"
"25","1.455","2.293","3.748","11.29","0.3954","3.359"
"30","1.472","2.8","4.272","12.54","0.4353","3.638"
"35","1.487","3.313","4.8","13.64","0.4693","3.88"
"40","1.499","3.831","5.33","14.63","0.4988","4.094"
"45","1.51","4.352","5.862","15.53","0.5246","4.287"
"50","1.519","4.876","6.395","16.34","0.5474","4.462"
"55","1.528","5.403","6.93","17.09","0.5677","4.622"
"60","1.535","5.932","7.467","17.79","0.586","4.771"
"70","1.548","6.995","8.543","19.04","0.6176","5.038"
"80","1.559","8.065","9.624","20.14","0.644","5.274"
"90","1.569","9.139","10.71","21.13","0.6664","5.484"
"100","1.577","10.22","11.79","22.02","0.6858","5.675"
"125","1.594","12.92","14.52","23.92","0.7245","6.084"
"150","1.608","15.65","17.25","25.5","0.7535","6.424"
"175","1.62","18.38","20","26.84","0.7763","6.713"
"200","1.63","21.12","22.75","28.02","0.7948","6.966"
"250","1.646","26.61","28.25","29.98","0.8229","7.392"
"300","1.659","32.11","33.77","31.6","0.8435","7.742"
"350","1.67","37.63","39.3","32.97","0.8594","8.04"
"400","1.679","43.16","44.83","34.16","0.872","8.299"
"450","1.688","48.69","50.37","35.21","0.8823","8.529"
"500","1.695","54.22","55.92","36.16","0.8908","8.735"
"550","1.702","59.76","61.47","37.01","0.8981","8.922"
"600","1.708","65.31","67.02","37.79","0.9044","9.093"
"700","1.718","76.41","78.13","39.17","0.9147","9.397"
"800","1.727","87.51","89.24","40.36","0.9228","9.661"
"900","1.735","98.63","100.4","41.42","0.9293","9.894"
"1000","1.743","109.8","111.5","42.37","0.9347","10.1"
