"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","16.49","0.006559","16.5","0.0003539","0.0002132","0.0003534"
"0.0125","13.98","0.0067","13.98","0.0005192","0.0002583","0.0004937"
"0.015","12.2","0.006798","12.21","0.0007111","0.0003017","0.0006538"
"0.0175","10.88","0.006871","10.88","0.0009284","0.0003435","0.0008332"
"0.02","9.844","0.006926","9.851","0.00117","0.000384","0.001031"
"0.025","8.338","0.007004","8.345","0.001724","0.0004616","0.001483"
"0.03","7.287","0.007058","7.294","0.002367","0.0005353","0.002005"
"0.035","6.509","0.0071","6.516","0.003094","0.0006058","0.002594"
"0.04","5.909","0.007133","5.916","0.0039","0.0006736","0.003246"
"0.045","5.43","0.007162","5.437","0.004783","0.000739","0.00396"
"0.05","5.039","0.007191","5.046","0.005738","0.0008022","0.004732"
"0.055","4.714","0.007217","4.721","0.006763","0.0008636","0.00556"
"0.06","4.439","0.007243","4.446","0.007855","0.0009232","0.00644"
"0.07","3.998","0.007295","4.005","0.01023","0.001038","0.008351"
"0.08","3.661","0.00735","3.668","0.01284","0.001147","0.01045"
"0.09","3.394","0.007411","3.401","0.01568","0.001252","0.01271"
"0.1","3.177","0.007476","3.185","0.01872","0.001353","0.01513"
"0.125","2.781","0.007659","2.789","0.02714","0.001593","0.02175"
"0.15","2.513","0.007865","2.521","0.03659","0.001816","0.02907"
"0.175","2.32","0.008096","2.328","0.04693","0.002028","0.03694"
"0.2","2.174","0.008344","2.183","0.05804","0.002231","0.04525"
"0.25","1.972","0.008888","1.981","0.08217","0.002616","0.0628"
"0.3","1.839","0.009487","1.849","0.1083","0.002982","0.08116"
"0.35","1.747","0.01013","1.757","0.1361","0.003335","0.09997"
"0.4","1.68","0.01082","1.691","0.1652","0.003678","0.119"
"0.45","1.63","0.01154","1.642","0.1952","0.004016","0.138"
"0.5","1.592","0.0123","1.604","0.226","0.004349","0.1569"
"0.55","1.563","0.01309","1.576","0.2575","0.00468","0.1757"
"0.6","1.54","0.0139","1.554","0.2894","0.005009","0.1943"
"0.7","1.507","0.0156","1.522","0.3545","0.005664","0.2307"
"0.8","1.486","0.01739","1.503","0.4206","0.006319","0.2661"
"0.9","1.473","0.01925","1.492","0.4874","0.006976","0.3005"
"1","1.465","0.02119","1.486","0.5546","0.007636","0.3339"
"1.25","1.457","0.0263","1.484","0.7231","0.009306","0.4138"
"1.5","1.46","0.03177","1.491","0.8913","0.01101","0.4898"
"1.75","1.466","0.03752","1.504","1.058","0.01274","0.5632"
"2","1.475","0.0435","1.518","1.224","0.01449","0.6349"
"2.5","1.493","0.05605","1.549","1.55","0.01808","0.7757"
"3","1.51","0.06924","1.58","1.869","0.02173","0.9145"
"3.5","1.526","0.08292","1.609","2.183","0.02544","1.051"
"4","1.54","0.09702","1.637","2.491","0.02918","1.183"
"4.5","1.552","0.1115","1.664","2.794","0.03296","1.311"
"5","1.564","0.1263","1.69","3.092","0.03675","1.433"
"5.5","1.574","0.1413","1.715","3.386","0.04055","1.55"
"6","1.583","0.1567","1.739","3.675","0.04436","1.661"
"7","1.599","0.1879","1.787","4.242","0.05197","1.868"
"8","1.613","0.22","1.833","4.795","0.05955","2.055"
"9","1.625","0.2526","1.877","5.334","0.06708","2.226"
"10","1.636","0.2858","1.921","5.861","0.07454","2.384"
"12.5","1.658","0.3706","2.029","7.127","0.09281","2.727"
"15","1.676","0.4574","2.134","8.328","0.1105","3.016"
"17.5","1.691","0.5459","2.237","9.472","0.1275","3.265"
"20","1.704","0.6357","2.34","10.56","0.1438","3.484"
"25","1.726","0.818","2.544","12.61","0.1745","3.857"
"30","1.743","1.003","2.746","14.5","0.2027","4.168"
"35","1.757","1.19","2.947","16.26","0.2287","4.435"
"40","1.769","1.379","3.148","17.9","0.2528","4.669"
"45","1.78","1.569","3.349","19.44","0.2751","4.878"
"50","1.789","1.761","3.55","20.89","0.2959","5.068"
"55","1.797","1.953","3.751","22.26","0.3152","5.241"
"60","1.805","2.147","3.951","23.56","0.3333","5.401"
"70","1.818","2.535","4.353","25.97","0.3662","5.687"
"80","1.829","2.927","4.755","28.17","0.3953","5.938"
"90","1.838","3.32","5.158","30.19","0.4214","6.161"
"100","1.847","3.714","5.561","32.05","0.4448","6.363"
"125","1.864","4.707","6.571","36.19","0.4945","6.794"
"150","1.879","5.705","7.583","39.72","0.5346","7.15"
"175","1.89","6.708","8.598","42.82","0.5678","7.452"
"200","1.9","7.714","9.614","45.57","0.5958","7.716"
"250","1.917","9.734","11.65","50.28","0.6406","8.157"
"300","1.931","11.76","13.69","54.24","0.6751","8.519"
"350","1.943","13.8","15.74","57.64","0.7027","8.826"
"400","1.952","15.83","17.78","60.63","0.7253","9.091"
"450","1.961","17.87","19.83","63.29","0.7443","9.326"
"500","1.969","19.92","21.89","65.69","0.7604","9.536"
"550","1.976","21.96","23.94","67.87","0.7744","9.726"
"600","1.983","24.01","25.99","69.88","0.7866","9.9"
"700","1.994","28.11","30.1","73.45","0.8069","10.21"
"800","2.004","32.21","34.21","76.56","0.8233","10.47"
"900","2.013","36.31","38.33","79.32","0.8367","10.71"
"1000","2.021","40.42","42.44","81.8","0.8481","10.92"
