"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","12.45","0.01295","12.46","0.0004897","0.0005257","0.0006076"
"0.0125","10.66","0.0137","10.68","0.0007072","0.0006529","0.0007822"
"0.015","9.38","0.01428","9.394","0.0009575","0.0007778","0.0009654"
"0.0175","8.41","0.01474","8.425","0.001239","0.0009003","0.001157"
"0.02","7.65","0.01513","7.665","0.001551","0.001021","0.001357"
"0.025","6.528","0.01573","6.544","0.002259","0.001255","0.001782"
"0.03","5.737","0.01618","5.753","0.003076","0.00148","0.002237"
"0.035","5.147","0.01655","5.163","0.003996","0.001699","0.002723"
"0.04","4.689","0.01686","4.706","0.005012","0.001911","0.003238"
"0.045","4.322","0.01712","4.339","0.006119","0.002117","0.00378"
"0.05","4.021","0.01735","4.039","0.007315","0.002317","0.004349"
"0.055","3.77","0.01756","3.788","0.008594","0.002513","0.004943"
"0.06","3.557","0.01775","3.575","0.009954","0.002704","0.005562"
"0.07","3.215","0.0181","3.233","0.0129","0.003072","0.00687"
"0.08","2.952","0.01841","2.97","0.01613","0.003426","0.008266"
"0.09","2.743","0.01871","2.762","0.01963","0.003766","0.009743"
"0.1","2.574","0.01898","2.593","0.02337","0.004095","0.0113"
"0.125","2.262","0.01964","2.282","0.03369","0.004871","0.01547"
"0.15","2.051","0.02028","2.071","0.04521","0.005593","0.02002"
"0.175","1.898","0.02091","1.919","0.05777","0.006272","0.02487"
"0.2","1.784","0.02154","1.805","0.07122","0.006916","0.02999"
"0.25","1.624","0.02286","1.647","0.1003","0.008116","0.04089"
"0.3","1.519","0.02426","1.543","0.1317","0.009232","0.05247"
"0.35","1.447","0.02575","1.472","0.165","0.01029","0.0646"
"0.4","1.394","0.02733","1.422","0.1995","0.0113","0.07716"
"0.45","1.356","0.029","1.385","0.2352","0.01227","0.09008"
"0.5","1.326","0.03074","1.357","0.2717","0.01322","0.1033"
"0.55","1.304","0.03254","1.336","0.3088","0.01416","0.1168"
"0.6","1.286","0.0344","1.321","0.3465","0.01508","0.1305"
"0.7","1.262","0.03828","1.3","0.4228","0.01689","0.1586"
"0.8","1.247","0.04233","1.29","0.5001","0.01867","0.1874"
"0.9","1.238","0.04654","1.285","0.5778","0.02043","0.2168"
"1","1.233","0.05089","1.284","0.6557","0.02218","0.2466"
"1.25","1.23","0.06232","1.292","0.8499","0.02653","0.3229"
"1.5","1.234","0.07444","1.309","1.042","0.03086","0.4001"
"1.75","1.242","0.08708","1.329","1.232","0.0352","0.477"
"2","1.25","0.1002","1.35","1.418","0.03953","0.5526"
"2.5","1.268","0.1274","1.395","1.783","0.04818","0.6981"
"3","1.284","0.1558","1.44","2.136","0.05678","0.8345"
"3.5","1.3","0.1851","1.485","2.477","0.0653","0.962"
"4","1.314","0.215","1.529","2.809","0.07373","1.081"
"4.5","1.327","0.2457","1.572","3.132","0.08203","1.193"
"5","1.338","0.2769","1.615","3.446","0.09022","1.298"
"5.5","1.349","0.3085","1.657","3.751","0.09828","1.397"
"6","1.358","0.3406","1.699","4.049","0.1062","1.491"
"7","1.375","0.406","1.781","4.624","0.1217","1.664"
"8","1.39","0.4727","1.863","5.173","0.1366","1.82"
"9","1.403","0.5404","1.944","5.698","0.1509","1.963"
"10","1.415","0.609","2.024","6.202","0.1648","2.094"
"12.5","1.439","0.7839","2.223","7.381","0.1973","2.381"
"15","1.459","0.9627","2.422","8.458","0.227","2.625"
"17.5","1.475","1.144","2.62","9.45","0.2543","2.838"
"20","1.489","1.329","2.818","10.37","0.2793","3.027"
"25","1.512","1.703","3.215","12.03","0.3238","3.353"
"30","1.53","2.082","3.612","13.5","0.3621","3.63"
"35","1.545","2.467","4.011","14.81","0.3956","3.871"
"40","1.557","2.854","4.412","16","0.4251","4.086"
"45","1.568","3.245","4.813","17.08","0.4513","4.279"
"50","1.577","3.638","5.215","18.08","0.4748","4.456"
"55","1.585","4.032","5.618","19","0.496","4.618"
"60","1.593","4.429","6.022","19.86","0.5152","4.768"
"70","1.606","5.226","6.831","21.42","0.5489","5.038"
"80","1.617","6.026","7.643","22.8","0.5774","5.276"
"90","1.626","6.83","8.457","24.05","0.6019","5.488"
"100","1.635","7.637","9.272","25.18","0.6233","5.68"
"125","1.652","9.664","11.32","27.61","0.6666","6.09"
"150","1.666","11.7","13.37","29.64","0.6997","6.43"
"175","1.678","13.74","15.42","31.38","0.726","6.719"
"200","1.688","15.79","17.48","32.91","0.7474","6.971"
"250","1.704","19.9","21.61","35.47","0.7805","7.397"
"300","1.718","24.02","25.74","37.59","0.805","7.747"
"350","1.729","28.15","29.88","39.39","0.824","8.046"
"400","1.738","32.29","34.03","40.96","0.8392","8.305"
"450","1.747","36.43","38.18","42.35","0.8517","8.536"
"500","1.754","40.57","42.33","43.59","0.8622","8.742"
"550","1.761","44.72","46.49","44.72","0.8711","8.93"
"600","1.767","48.88","50.64","45.75","0.8788","9.101"
"700","1.777","57.19","58.97","47.57","0.8915","9.406"
"800","1.787","65.51","67.3","49.16","0.9015","9.67"
"900","1.795","73.84","75.63","50.56","0.9097","9.904"
"1000","1.802","82.17","83.97","51.82","0.9165","10.11"
