"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.673","0.02036","8.694","0.0007919","0.00115","0.0006025"
"0.0125","7.562","0.02237","7.585","0.001101","0.001449","0.0007709"
"0.015","6.739","0.02402","6.763","0.00145","0.001749","0.000947"
"0.0175","6.103","0.02543","6.128","0.001839","0.00205","0.001131"
"0.02","5.595","0.02666","5.621","0.002266","0.002349","0.001323"
"0.025","4.832","0.02872","4.861","0.003226","0.002945","0.001735"
"0.03","4.284","0.03043","4.315","0.00432","0.003534","0.002183"
"0.035","3.87","0.0319","3.902","0.005541","0.004117","0.002673"
"0.04","3.545","0.03321","3.579","0.006881","0.004694","0.003208"
"0.045","3.283","0.03439","3.318","0.008333","0.005264","0.003791"
"0.05","3.067","0.03547","3.102","0.009893","0.005828","0.004427"
"0.055","2.885","0.03647","2.922","0.01155","0.006385","0.005121"
"0.06","2.73","0.03741","2.768","0.01331","0.006936","0.005877"
"0.07","2.48","0.03914","2.519","0.01711","0.008022","0.007597"
"0.08","2.286","0.0407","2.327","0.02124","0.009084","0.009624"
"0.09","2.132","0.04214","2.174","0.02569","0.01012","0.01199"
"0.1","2.006","0.04348","2.049","0.03044","0.01114","0.01471"
"0.125","1.773","0.04651","1.819","0.04343","0.0136","0.02288"
"0.15","1.614","0.0492","1.663","0.05784","0.01593","0.03231"
"0.175","1.499","0.05164","1.55","0.07343","0.01815","0.04212"
"0.2","1.412","0.05395","1.466","0.09004","0.02027","0.05187"
"0.25","1.291","0.05833","1.349","0.1257","0.02423","0.07074"
"0.3","1.212","0.06256","1.274","0.1639","0.02789","0.08883"
"0.35","1.157","0.06677","1.224","0.204","0.03132","0.1063"
"0.4","1.118","0.07099","1.189","0.2455","0.03455","0.1234"
"0.45","1.089","0.07524","1.164","0.288","0.03762","0.1401"
"0.5","1.067","0.07954","1.147","0.3313","0.04056","0.1566"
"0.55","1.051","0.08389","1.135","0.3751","0.04338","0.1729"
"0.6","1.038","0.08828","1.127","0.4194","0.04612","0.1891"
"0.7","1.021","0.0972","1.119","0.5085","0.05134","0.2209"
"0.8","1.011","0.1063","1.118","0.598","0.0563","0.2524"
"0.9","1.006","0.1155","1.122","0.6873","0.06105","0.2835"
"1","1.004","0.125","1.129","0.7762","0.06563","0.3143"
"1.25","1.005","0.1491","1.154","0.9954","0.07651","0.3903"
"1.5","1.011","0.1741","1.186","1.209","0.08678","0.4643"
"1.75","1.02","0.1998","1.22","1.417","0.09658","0.5361"
"2","1.029","0.226","1.255","1.619","0.106","0.6052"
"2.5","1.048","0.2799","1.327","2.006","0.1239","0.7354"
"3","1.065","0.3352","1.4","2.373","0.1408","0.8551"
"3.5","1.08","0.3917","1.472","2.721","0.1569","0.9655"
"4","1.095","0.4492","1.544","3.053","0.1721","1.068"
"4.5","1.107","0.5077","1.615","3.37","0.1866","1.163"
"5","1.119","0.5668","1.686","3.673","0.2005","1.253"
"5.5","1.13","0.6267","1.756","3.963","0.2138","1.337"
"6","1.139","0.6872","1.827","4.242","0.2265","1.417"
"7","1.157","0.8098","1.967","4.77","0.2505","1.565"
"8","1.172","0.9343","2.106","5.261","0.2727","1.699"
"9","1.185","1.061","2.245","5.721","0.2933","1.823"
"10","1.196","1.188","2.385","6.153","0.3125","1.937"
"12.5","1.221","1.513","2.733","7.132","0.3554","2.191"
"15","1.24","1.843","3.083","7.992","0.3922","2.41"
"17.5","1.256","2.179","3.435","8.76","0.4243","2.602"
"20","1.27","2.518","3.788","9.453","0.4525","2.775"
"25","1.292","3.207","4.5","10.66","0.5","3.075"
"30","1.31","3.907","5.217","11.69","0.5386","3.331"
"35","1.325","4.615","5.939","12.59","0.5707","3.556"
"40","1.337","5.329","6.666","13.39","0.5979","3.757"
"45","1.347","6.049","7.396","14.1","0.6214","3.939"
"50","1.356","6.772","8.129","14.74","0.6418","4.105"
"55","1.365","7.5","8.865","15.33","0.6598","4.257"
"60","1.372","8.232","9.604","15.87","0.6758","4.399"
"70","1.385","9.702","11.09","16.84","0.7031","4.653"
"80","1.395","11.18","12.58","17.69","0.7255","4.878"
"90","1.405","12.67","14.07","18.44","0.7443","5.08"
"100","1.413","14.16","15.57","19.11","0.7603","5.262"
"125","1.43","17.91","19.34","20.55","0.7919","5.656"
"150","1.443","21.68","23.12","21.73","0.8153","5.983"
"175","1.455","25.46","26.92","22.73","0.8334","6.264"
"200","1.464","29.25","30.72","23.6","0.8479","6.51"
"250","1.48","36.85","38.33","25.06","0.8697","6.926"
"300","1.492","44.47","45.96","26.25","0.8856","7.271"
"350","1.503","52.1","53.6","27.25","0.8976","7.564"
"400","1.511","59.74","61.25","28.12","0.9071","7.82"
"450","1.519","67.39","68.91","28.89","0.9148","8.047"
"500","1.526","75.04","76.56","29.58","0.9213","8.251"
"550","1.532","82.7","84.23","30.2","0.9267","8.436"
"600","1.538","90.36","91.9","30.77","0.9313","8.605"
"700","1.548","105.7","107.2","31.78","0.9389","8.905"
"800","1.557","121","122.6","32.65","0.9449","9.167"
"900","1.564","136.4","138","33.42","0.9497","9.398"
"1000","1.571","151.8","153.3","34.11","0.9536","9.605"
