"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","18.75","0.0024","18.75","0.0003028","7.14E-05","0.0004884"
"0.0125","15.77","0.002406","15.77","0.0004488","8.52E-05","0.0007442"
"0.015","13.68","0.00241","13.69","0.0006195","9.841E-05","0.001051"
"0.0175","12.14","0.002414","12.14","0.0008138","0.0001111","0.001407"
"0.02","10.95","0.002418","10.95","0.001031","0.0001235","0.001812"
"0.025","9.221","0.002427","9.223","0.001531","0.0001472","0.002763"
"0.03","8.023","0.002435","8.025","0.002114","0.0001699","0.003894"
"0.035","7.141","0.002446","7.143","0.002775","0.0001918","0.005197"
"0.04","6.463","0.002457","6.465","0.003512","0.000213","0.006665"
"0.045","5.925","0.002468","5.927","0.004321","0.0002336","0.008289"
"0.05","5.486","0.00248","5.489","0.005199","0.0002536","0.01006"
"0.055","5.123","0.002493","5.125","0.006142","0.0002732","0.01198"
"0.06","4.815","0.002506","4.818","0.007149","0.0002924","0.01403"
"0.07","4.325","0.002533","4.327","0.009344","0.0003296","0.01851"
"0.08","3.95","0.002562","3.952","0.01177","0.0003655","0.02346"
"0.09","3.654","0.002593","3.656","0.0144","0.0004004","0.02885"
"0.1","3.414","0.002625","3.417","0.01723","0.0004342","0.03462"
"0.125","2.977","0.002712","2.98","0.0251","0.0005153","0.05053"
"0.15","2.681","0.002806","2.684","0.03396","0.0005925","0.06818"
"0.175","2.468","0.002906","2.471","0.04369","0.0006666","0.08722"
"0.2","2.307","0.003011","2.31","0.05417","0.0007383","0.1073"
"0.25","2.084","0.003237","2.087","0.07701","0.0008762","0.1498"
"0.3","1.936","0.003482","1.94","0.1019","0.001009","0.1942"
"0.35","1.833","0.003746","1.837","0.1284","0.001139","0.2394"
"0.4","1.757","0.004025","1.761","0.1563","0.001267","0.285"
"0.45","1.7","0.004321","1.705","0.1851","0.001394","0.3304"
"0.5","1.657","0.004629","1.661","0.2149","0.00152","0.3753"
"0.55","1.622","0.00495","1.627","0.2453","0.001647","0.4195"
"0.6","1.594","0.005283","1.6","0.2763","0.001774","0.463"
"0.7","1.554","0.005978","1.56","0.3397","0.00203","0.5473"
"0.8","1.527","0.006709","1.534","0.4043","0.002289","0.6279"
"0.9","1.508","0.007475","1.516","0.47","0.002552","0.7048"
"1","1.496","0.008269","1.504","0.5362","0.002818","0.7781"
"1.25","1.479","0.01038","1.489","0.7034","0.0035","0.9472"
"1.5","1.474","0.01263","1.486","0.8715","0.004205","1.099"
"1.75","1.474","0.01501","1.489","1.04","0.00493","1.236"
"2","1.478","0.01749","1.495","1.207","0.005674","1.361"
"2.5","1.488","0.0227","1.511","1.54","0.00721","1.582"
"3","1.501","0.02821","1.529","1.869","0.008796","1.775"
"3.5","1.513","0.03394","1.547","2.194","0.01042","1.947"
"4","1.525","0.03987","1.564","2.515","0.01208","2.102"
"4.5","1.535","0.04598","1.581","2.833","0.01377","2.245"
"5","1.545","0.05223","1.597","3.148","0.01548","2.377"
"5.5","1.554","0.05862","1.613","3.459","0.01721","2.501"
"6","1.563","0.06513","1.628","3.768","0.01896","2.618"
"7","1.577","0.07847","1.656","4.377","0.02249","2.834"
"8","1.59","0.09218","1.682","4.976","0.02607","3.03"
"9","1.601","0.1062","1.707","5.566","0.02967","3.211"
"10","1.61","0.1205","1.731","6.148","0.0333","3.378"
"12.5","1.63","0.1572","1.787","7.569","0.0424","3.749"
"15","1.645","0.195","1.84","8.947","0.0515","4.067"
"17.5","1.658","0.2336","1.891","10.29","0.06054","4.344"
"20","1.668","0.2729","1.941","11.59","0.06948","4.589"
"25","1.686","0.353","2.039","14.1","0.087","5.007"
"30","1.7","0.4346","2.134","16.5","0.1039","5.355"
"35","1.711","0.5173","2.228","18.79","0.1202","5.653"
"40","1.721","0.6009","2.322","20.99","0.1359","5.912"
"45","1.73","0.6853","2.415","23.1","0.151","6.142"
"50","1.737","0.7703","2.508","25.13","0.1654","6.348"
"55","1.744","0.8558","2.6","27.09","0.1793","6.535"
"60","1.751","0.9418","2.692","28.98","0.1927","6.707"
"70","1.762","1.115","2.877","32.57","0.2179","7.011"
"80","1.771","1.29","3.061","35.94","0.2412","7.275"
"90","1.78","1.465","3.245","39.12","0.2629","7.509"
"100","1.788","1.642","3.429","42.11","0.2832","7.718"
"125","1.804","2.086","3.89","48.95","0.3283","8.161"
"150","1.817","2.534","4.351","55.03","0.3669","8.524"
"175","1.828","2.984","4.812","60.49","0.4005","8.831"
"200","1.837","3.437","5.274","65.45","0.43","9.097"
"250","1.853","4.347","6.2","74.19","0.4795","9.542"
"300","1.866","5.261","7.127","81.7","0.5197","9.906"
"350","1.877","6.179","8.056","88.3","0.553","10.21"
"400","1.887","7.099","8.985","94.17","0.5813","10.48"
"450","1.895","8.021","9.916","99.47","0.6055","10.72"
"500","1.902","8.945","10.85","104.3","0.6267","10.93"
"550","1.909","9.87","11.78","108.7","0.6453","11.12"
"600","1.915","10.8","12.71","112.8","0.6618","11.29"
"700","1.926","12.65","14.58","120.1","0.69","11.6"
"800","1.936","14.51","16.45","126.6","0.7132","11.87"
"900","1.944","16.37","18.32","132.3","0.7326","12.1"
"1000","1.952","18.24","20.19","137.5","0.7492","12.31"
