"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","12.42","0.01343","12.44","0.0004903","0.000543","0"
"0.0125","10.64","0.01424","10.65","0.0007083","0.0006763","0"
"0.015","9.357","0.01487","9.372","0.0009591","0.0008073","0"
"0.0175","8.389","0.01538","8.404","0.001241","0.0009362","0"
"0.02","7.63","0.0158","7.645","0.001554","0.001063","0"
"0.025","6.51","0.01646","6.527","0.002264","0.00131","0"
"0.03","5.721","0.01697","5.738","0.003084","0.001548","0"
"0.035","5.132","0.01738","5.15","0.004005","0.00178","0"
"0.04","4.675","0.01773","4.693","0.005024","0.002004","0"
"0.045","4.31","0.01802","4.328","0.006134","0.002223","0"
"0.05","4.01","0.01829","4.028","0.007333","0.002436","0"
"0.055","3.76","0.01853","3.778","0.008616","0.002644","0"
"0.06","3.547","0.01874","3.566","0.009979","0.002847","0"
"0.07","3.206","0.01914","3.225","0.01293","0.00324","0"
"0.08","2.944","0.01949","2.963","0.01617","0.003617","0"
"0.09","2.736","0.01982","2.756","0.01968","0.00398","0"
"0.1","2.567","0.02013","2.587","0.02342","0.004331","0"
"0.125","2.257","0.02086","2.278","0.03376","0.00516","0"
"0.15","2.047","0.02155","2.068","0.04531","0.005933","0"
"0.175","1.895","0.02223","1.917","0.05788","0.006659","0"
"0.2","1.781","0.02291","1.804","0.07134","0.007346","0"
"0.25","1.623","0.02433","1.647","0.1004","0.008627","0"
"0.3","1.519","0.02583","1.545","0.1318","0.009814","0"
"0.35","1.448","0.02741","1.475","0.165","0.01093","0"
"0.4","1.397","0.02909","1.426","0.1995","0.012","0"
"0.45","1.359","0.03085","1.39","0.2351","0.01304","0"
"0.5","1.331","0.03269","1.363","0.2714","0.01404","0"
"0.55","1.309","0.0346","1.344","0.3084","0.01503","0"
"0.6","1.292","0.03657","1.329","0.3458","0.01599","0"
"0.7","1.27","0.04066","1.311","0.4216","0.01789","0"
"0.8","1.257","0.04494","1.302","0.4982","0.01975","0"
"0.9","1.25","0.04938","1.299","0.5751","0.02159","0"
"1","1.247","0.05397","1.301","0.6521","0.0234","0"
"1.25","1.249","0.06602","1.315","0.8434","0.02789","0"
"1.5","1.258","0.07876","1.337","1.032","0.03234","0"
"1.75","1.27","0.09205","1.362","1.217","0.03676","0"
"2","1.283","0.1058","1.389","1.399","0.04115","0"
"2.5","1.311","0.1344","1.445","1.752","0.04984","0"
"3","1.336","0.1642","1.5","2.091","0.05842","0"
"3.5","1.36","0.1949","1.555","2.419","0.06685","0"
"4","1.382","0.2263","1.608","2.735","0.07512","0"
"4.5","1.402","0.2585","1.66","3.041","0.08325","0"
"5","1.42","0.2911","1.711","3.338","0.09122","0"
"5.5","1.437","0.3243","1.762","3.625","0.09903","0"
"6","1.453","0.3579","1.811","3.905","0.1067","0"
"7","1.482","0.4263","1.908","4.443","0.1215","0"
"8","1.507","0.4961","2.003","4.955","0.1358","0"
"9","1.529","0.567","2.096","5.443","0.1495","0"
"10","1.55","0.6389","2.189","5.909","0.1627","0"
"12.5","1.593","0.8219","2.415","6.996","0.1935","0"
"15","1.629","1.009","2.638","7.986","0.2216","0"
"17.5","1.66","1.199","2.859","8.896","0.2472","0.0008277"
"20","1.685","1.392","3.077","9.739","0.2709","0.01072"
"25","1.727","1.783","3.51","11.26","0.3129","0.04839"
"30","1.761","2.18","3.941","12.6","0.3493","0.0957"
"35","1.788","2.582","4.37","13.81","0.3812","0.1461"
"40","1.812","2.987","4.799","14.9","0.4094","0.1974"
"45","1.832","3.396","5.227","15.9","0.4347","0.2488"
"50","1.85","3.806","5.656","16.82","0.4573","0.2999"
"55","1.865","4.219","6.085","17.67","0.4779","0.3507"
"60","1.879","4.634","6.513","18.46","0.4966","0.4011"
"70","1.904","5.467","7.371","19.9","0.5296","0.5005"
"80","1.924","6.304","8.228","21.19","0.5577","0.5976"
"90","1.942","7.145","9.086","22.34","0.582","0.6919"
"100","1.957","7.989","9.945","23.4","0.6033","0.783"
"125","1.987","10.11","12.1","25.67","0.6467","0.9961"
"150","2.011","12.24","14.25","27.57","0.6802","1.189"
"175","2.03","14.37","16.4","29.21","0.7071","1.364"
"200","2.047","16.52","18.56","30.64","0.7291","1.524"
"250","2.073","20.81","22.89","33.06","0.7633","1.804"
"300","2.093","25.12","27.22","35.06","0.7889","2.045"
"350","2.11","29.44","31.55","36.77","0.8088","2.255"
"400","2.125","33.77","35.89","38.25","0.8248","2.442"
"450","2.137","38.1","40.23","39.57","0.8381","2.61"
"500","2.148","42.43","44.58","40.75","0.8492","2.763"
"550","2.158","46.77","48.93","41.82","0.8587","2.903"
"600","2.167","51.11","53.28","42.8","0.867","3.033"
"700","2.182","59.8","61.98","44.53","0.8806","3.268"
"800","2.195","68.5","70.69","46.04","0.8914","3.476"
"900","2.206","77.2","79.41","47.38","0.9002","3.664"
"1000","2.216","85.91","88.13","48.57","0.9075","3.835"
