"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","11.03","0.01624","11.05","0.0005686","0.0007302","0.001332"
"0.0125","9.499","0.01744","9.516","0.0008132","0.0009145","0.001694"
"0.015","8.389","0.01839","8.408","0.001093","0.001097","0.002068"
"0.0175","7.546","0.01918","7.565","0.001407","0.001278","0.002453"
"0.02","6.88","0.01985","6.9","0.001754","0.001456","0.002851"
"0.025","5.893","0.02093","5.914","0.00254","0.001807","0.003684"
"0.03","5.194","0.02178","5.216","0.003442","0.002149","0.004567"
"0.035","4.67","0.0225","4.692","0.004455","0.002483","0.005502"
"0.04","4.262","0.02311","4.285","0.005572","0.00281","0.006489"
"0.045","3.934","0.02365","3.958","0.006787","0.003129","0.00753"
"0.05","3.665","0.02413","3.689","0.008097","0.003442","0.008626"
"0.055","3.44","0.02457","3.464","0.009496","0.003749","0.009778"
"0.06","3.248","0.02498","3.273","0.01098","0.00405","0.01099"
"0.07","2.94","0.02571","2.966","0.0142","0.004636","0.01358"
"0.08","2.703","0.02637","2.729","0.01772","0.005203","0.01642"
"0.09","2.515","0.02698","2.541","0.02152","0.005752","0.0195"
"0.1","2.361","0.02755","2.389","0.02558","0.006284","0.02283"
"0.125","2.079","0.02883","2.107","0.03676","0.007552","0.03223"
"0.15","1.886","0.03001","1.916","0.04923","0.008741","0.043"
"0.175","1.747","0.0311","1.778","0.0628","0.009861","0.05481"
"0.2","1.642","0.03217","1.674","0.07731","0.01092","0.06727"
"0.25","1.496","0.03429","1.53","0.1086","0.01291","0.09284"
"0.3","1.4","0.03646","1.437","0.1424","0.01474","0.1182"
"0.35","1.334","0.03871","1.372","0.1781","0.01646","0.1428"
"0.4","1.286","0.04105","1.327","0.2152","0.0181","0.1667"
"0.45","1.25","0.0435","1.294","0.2534","0.01968","0.1899"
"0.5","1.223","0.04602","1.269","0.2924","0.02121","0.2125"
"0.55","1.203","0.04863","1.251","0.3321","0.02269","0.2345"
"0.6","1.187","0.05131","1.238","0.3723","0.02415","0.256"
"0.7","1.164","0.05684","1.221","0.4537","0.02698","0.2976"
"0.8","1.151","0.06259","1.213","0.5358","0.02974","0.3373"
"0.9","1.143","0.06854","1.211","0.6184","0.03245","0.3755"
"1","1.138","0.07466","1.213","0.7009","0.03511","0.4123"
"1.25","1.137","0.09065","1.227","0.9059","0.04163","0.4987"
"1.5","1.142","0.1075","1.249","1.108","0.04802","0.5785"
"1.75","1.15","0.125","1.275","1.306","0.05431","0.6529"
"2","1.159","0.143","1.302","1.5","0.06051","0.7226"
"2.5","1.178","0.1804","1.358","1.876","0.07269","0.8505"
"3","1.196","0.2191","1.415","2.237","0.08456","0.9659"
"3.5","1.213","0.259","1.472","2.583","0.09612","1.071"
"4","1.228","0.2997","1.528","2.917","0.1074","1.168"
"4.5","1.242","0.3411","1.583","3.238","0.1183","1.259"
"5","1.254","0.3833","1.638","3.549","0.129","1.343"
"5.5","1.266","0.426","1.692","3.849","0.1393","1.423"
"6","1.276","0.4692","1.746","4.14","0.1494","1.499"
"7","1.295","0.5572","1.852","4.696","0.1688","1.641"
"8","1.311","0.6466","1.958","5.221","0.1872","1.771"
"9","1.325","0.7374","2.063","5.718","0.2046","1.893"
"10","1.338","0.8293","2.167","6.191","0.2212","2.007"
"12.5","1.363","1.063","2.426","7.281","0.2592","2.267"
"15","1.383","1.302","2.685","8.26","0.293","2.495"
"17.5","1.4","1.544","2.944","9.149","0.3233","2.699"
"20","1.413","1.79","3.203","9.963","0.3507","2.884"
"25","1.436","2.288","3.724","11.41","0.3981","3.205"
"30","1.454","2.794","4.247","12.67","0.4379","3.478"
"35","1.468","3.305","4.773","13.78","0.4719","3.717"
"40","1.48","3.821","5.302","14.77","0.5013","3.928"
"45","1.491","4.341","5.832","15.67","0.527","4.117"
"50","1.5","4.864","6.364","16.49","0.5498","4.29"
"55","1.509","5.389","6.898","17.24","0.5701","4.448"
"60","1.516","5.917","7.433","17.94","0.5883","4.594"
"70","1.529","6.978","8.507","19.2","0.6198","4.858"
"80","1.54","8.045","9.585","20.3","0.6461","5.09"
"90","1.55","9.116","10.67","21.29","0.6684","5.298"
"100","1.558","10.19","11.75","22.19","0.6877","5.487"
"125","1.575","12.89","14.47","24.1","0.7262","5.892"
"150","1.589","15.61","17.2","25.68","0.7551","6.229"
"175","1.6","18.33","19.93","27.03","0.7778","6.517"
"200","1.61","21.06","22.67","28.21","0.7961","6.768"
"250","1.626","26.54","28.17","30.18","0.8241","7.192"
"300","1.639","32.03","33.67","31.8","0.8446","7.541"
"350","1.65","37.54","39.19","33.18","0.8604","7.838"
"400","1.659","43.04","44.7","34.37","0.8729","8.096"
"450","1.668","48.56","50.23","35.43","0.8831","8.325"
"500","1.675","54.09","55.76","36.37","0.8916","8.531"
"550","1.681","59.61","61.29","37.23","0.8989","8.717"
"600","1.687","65.14","66.83","38.01","0.9051","8.887"
"700","1.698","76.22","77.91","39.39","0.9153","9.191"
"800","1.707","87.29","89","40.59","0.9233","9.454"
"900","1.715","98.38","100.1","41.65","0.9299","9.687"
"1000","1.722","109.5","111.2","42.6","0.9352","9.896"
