"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","7.806","0.02175","7.828","0.0009638","0.001384","0.001044"
"0.0125","6.848","0.02417","6.872","0.001306","0.001737","0.001332"
"0.015","6.129","0.02621","6.155","0.001691","0.002096","0.001631"
"0.0175","5.568","0.02799","5.596","0.002117","0.002458","0.001941"
"0.02","5.118","0.02956","5.147","0.002584","0.002822","0.002263"
"0.025","4.437","0.03225","4.469","0.00363","0.003554","0.002942"
"0.03","3.945","0.03453","3.979","0.004818","0.004286","0.003669"
"0.035","3.571","0.03652","3.608","0.00614","0.005017","0.004445"
"0.04","3.277","0.03829","3.315","0.007587","0.005744","0.00527"
"0.045","3.039","0.0399","3.079","0.009154","0.006468","0.006146"
"0.05","2.842","0.04138","2.883","0.01083","0.007187","0.007073"
"0.055","2.676","0.04275","2.719","0.01262","0.007901","0.008051"
"0.06","2.535","0.04404","2.579","0.01451","0.008609","0.00908"
"0.07","2.306","0.0464","2.352","0.01858","0.01001","0.01129"
"0.08","2.128","0.04855","2.177","0.023","0.01139","0.01368"
"0.09","1.987","0.05053","2.037","0.02775","0.01274","0.01626"
"0.1","1.871","0.05238","1.923","0.03281","0.01407","0.01898"
"0.125","1.657","0.05658","1.713","0.04663","0.01729","0.02632"
"0.15","1.51","0.06036","1.571","0.06191","0.02037","0.03411"
"0.175","1.404","0.06385","1.468","0.0784","0.02331","0.04209"
"0.2","1.324","0.06714","1.391","0.09591","0.02613","0.0501"
"0.25","1.213","0.07337","1.286","0.1334","0.03145","0.06593"
"0.3","1.14","0.07933","1.219","0.1734","0.0364","0.08139"
"0.35","1.09","0.08514","1.175","0.2152","0.04103","0.09648"
"0.4","1.054","0.09087","1.145","0.2584","0.0454","0.1112"
"0.45","1.027","0.09654","1.124","0.3025","0.04954","0.1256"
"0.5","1.008","0.1022","1.11","0.3473","0.05349","0.1398"
"0.55","0.9929","0.1078","1.101","0.3925","0.05727","0.1536"
"0.6","0.9816","0.1135","1.095","0.4381","0.0609","0.1671"
"0.7","0.9666","0.1248","1.091","0.5296","0.06777","0.1935"
"0.8","0.9583","0.136","1.094","0.6212","0.07422","0.2188"
"0.9","0.9541","0.1474","1.102","0.7123","0.08032","0.2432"
"1","0.9527","0.1588","1.112","0.8026","0.08613","0.2668"
"1.25","0.9561","0.1876","1.144","1.024","0.09963","0.3224"
"1.5","0.9643","0.2168","1.181","1.24","0.112","0.3739"
"1.75","0.9743","0.2465","1.221","1.448","0.1236","0.4221"
"2","0.9849","0.2764","1.261","1.649","0.1344","0.4675"
"2.5","1.006","0.3374","1.343","2.033","0.1546","0.5516"
"3","1.025","0.3997","1.425","2.395","0.1732","0.6287"
"3.5","1.043","0.4632","1.506","2.736","0.1905","0.7004"
"4","1.059","0.5276","1.587","3.059","0.2067","0.7676"
"4.5","1.073","0.5931","1.666","3.367","0.222","0.8312"
"5","1.087","0.6593","1.746","3.66","0.2365","0.8916"
"5.5","1.098","0.7263","1.825","3.94","0.2502","0.9494"
"6","1.109","0.794","1.903","4.208","0.2634","1.005"
"7","1.129","0.9313","2.06","4.713","0.2879","1.109"
"8","1.146","1.071","2.216","5.181","0.3104","1.207"
"9","1.16","1.212","2.372","5.617","0.3311","1.299"
"10","1.173","1.355","2.528","6.025","0.3504","1.385"
"12.5","1.2","1.719","2.919","6.945","0.393","1.585"
"15","1.222","2.091","3.312","7.748","0.4293","1.764"
"17.5","1.239","2.469","3.708","8.461","0.4607","1.926"
"20","1.254","2.851","4.105","9.102","0.4882","2.074"
"25","1.278","3.629","4.907","10.21","0.5342","2.338"
"30","1.297","4.419","5.716","11.16","0.5713","2.567"
"35","1.312","5.22","6.532","11.98","0.6021","2.769"
"40","1.325","6.028","7.354","12.7","0.6281","2.95"
"45","1.336","6.844","8.18","13.34","0.6503","3.115"
"50","1.346","7.665","9.011","13.92","0.6697","3.265"
"55","1.355","8.49","9.845","14.45","0.6867","3.404"
"60","1.363","9.319","10.68","14.94","0.7018","3.533"
"70","1.377","10.99","12.37","15.81","0.7273","3.768"
"80","1.388","12.67","14.06","16.57","0.7483","3.976"
"90","1.398","14.35","15.75","17.24","0.7659","4.163"
"100","1.407","16.05","17.45","17.84","0.7809","4.334"
"125","1.424","20.31","21.73","19.12","0.8102","4.705"
"150","1.439","24.58","26.02","20.17","0.8318","5.016"
"175","1.45","28.87","30.33","21.06","0.8485","5.284"
"200","1.46","33.18","34.64","21.83","0.8618","5.52"
"250","1.476","41.8","43.27","23.12","0.8819","5.92"
"300","1.489","50.44","51.93","24.18","0.8964","6.253"
"350","1.5","59.09","60.59","25.07","0.9074","6.537"
"400","1.509","67.76","69.27","25.84","0.916","6.786"
"450","1.517","76.42","77.94","26.52","0.9231","7.008"
"500","1.524","85.11","86.63","27.13","0.9289","7.207"
"550","1.53","93.79","95.32","27.68","0.9339","7.388"
"600","1.536","102.5","104","28.18","0.9381","7.554"
"700","1.546","119.9","121.4","29.07","0.945","7.85"
"800","1.554","137.3","138.9","29.84","0.9504","8.108"
"900","1.562","154.7","156.3","30.52","0.9547","8.336"
"1000","1.568","172.2","173.7","31.12","0.9583","8.541"
