"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","16.23","0.008276","16.24","0.0003603","0.0002667","0"
"0.0125","13.76","0.00854","13.77","0.0005282","0.0003264","0"
"0.015","12.02","0.00873","12.03","0.000723","0.0003842","0"
"0.0175","10.72","0.008876","10.73","0.0009435","0.0004403","0"
"0.02","9.704","0.00899","9.713","0.001189","0.0004949","0"
"0.025","8.224","0.009157","8.233","0.00175","0.0005999","0"
"0.03","7.19","0.009275","7.199","0.002402","0.0007001","0"
"0.035","6.424","0.009366","6.433","0.003138","0.0007962","0"
"0.04","5.833","0.009438","5.842","0.003955","0.0008887","0"
"0.045","5.361","0.0095","5.371","0.004848","0.000978","0"
"0.05","4.977","0.009553","4.986","0.005816","0.001065","0"
"0.055","4.656","0.009602","4.666","0.006853","0.001148","0"
"0.06","4.385","0.009647","4.395","0.007958","0.00123","0"
"0.07","3.951","0.009733","3.961","0.01036","0.001387","0"
"0.08","3.619","0.009816","3.629","0.013","0.001536","0"
"0.09","3.356","0.009903","3.366","0.01587","0.001679","0"
"0.1","3.143","0.009993","3.153","0.01894","0.001817","0"
"0.125","2.753","0.01023","2.763","0.02744","0.002142","0"
"0.15","2.489","0.01051","2.499","0.03698","0.002444","0"
"0.175","2.299","0.0108","2.31","0.0474","0.002729","0"
"0.2","2.156","0.01112","2.168","0.05859","0.003001","0"
"0.25","1.958","0.01181","1.97","0.08287","0.003514","0"
"0.3","1.829","0.01258","1.841","0.1092","0.003997","0"
"0.35","1.739","0.0134","1.753","0.137","0.004461","0"
"0.4","1.675","0.01428","1.689","0.1661","0.00491","0"
"0.45","1.627","0.01521","1.642","0.1962","0.005349","0"
"0.5","1.591","0.01618","1.607","0.227","0.00578","0"
"0.55","1.563","0.01719","1.58","0.2584","0.006207","0"
"0.6","1.542","0.01824","1.56","0.2902","0.006631","0"
"0.7","1.512","0.02043","1.532","0.3549","0.007471","0"
"0.8","1.494","0.02272","1.517","0.4206","0.008306","0"
"0.9","1.483","0.02511","1.508","0.4867","0.00914","0"
"1","1.478","0.02759","1.505","0.5531","0.009975","0"
"1.25","1.476","0.03416","1.51","0.719","0.01207","0"
"1.5","1.484","0.04115","1.525","0.8838","0.01419","0"
"1.75","1.496","0.0485","1.544","1.047","0.01634","0"
"2","1.509","0.05614","1.565","1.208","0.0185","0"
"2.5","1.538","0.07215","1.61","1.523","0.02287","0"
"3","1.565","0.08894","1.654","1.829","0.02727","0"
"3.5","1.59","0.1063","1.697","2.127","0.03169","0"
"4","1.614","0.1242","1.738","2.419","0.03612","0"
"4.5","1.636","0.1426","1.778","2.703","0.04053","0"
"5","1.656","0.1613","1.817","2.981","0.04493","0"
"5.5","1.674","0.1804","1.855","3.253","0.0493","0"
"6","1.691","0.1998","1.891","3.52","0.05365","0"
"7","1.722","0.2394","1.962","4.039","0.06226","0"
"8","1.75","0.2799","2.03","4.541","0.07072","0"
"9","1.774","0.3211","2.096","5.025","0.07904","0"
"10","1.797","0.3629","2.16","5.495","0.08721","0"
"12.5","1.844","0.4698","2.314","6.613","0.1069","0"
"15","1.883","0.5792","2.463","7.66","0.1257","0"
"17.5","1.917","0.6907","2.607","8.646","0.1435","0"
"20","1.945","0.8036","2.749","9.58","0.1604","0.00817"
"25","1.99","1.033","3.023","11.31","0.1918","0.06431"
"30","2.024","1.266","3.29","12.9","0.2205","0.1406"
"35","2.052","1.501","3.553","14.36","0.2467","0.2213"
"40","2.076","1.738","3.814","15.72","0.2708","0.3009"
"45","2.096","1.977","4.073","16.99","0.293","0.3773"
"50","2.114","2.218","4.332","18.18","0.3136","0.45"
"55","2.13","2.46","4.589","19.3","0.3328","0.5189"
"60","2.144","2.703","4.846","20.36","0.3506","0.5841"
"70","2.169","3.191","5.36","22.32","0.383","0.7049"
"80","2.19","3.682","5.872","24.1","0.4115","0.8148"
"90","2.209","4.176","6.385","25.73","0.437","0.9157"
"100","2.225","4.672","6.897","27.24","0.4599","1.009"
"125","2.259","5.918","8.177","30.57","0.5083","1.22"
"150","2.285","7.172","9.457","33.41","0.5472","1.407"
"175","2.307","8.431","10.74","35.89","0.5794","1.577"
"200","2.325","9.694","12.02","38.08","0.6065","1.735"
"250","2.353","12.23","14.58","41.86","0.6499","2.022"
"300","2.374","14.78","17.15","45.01","0.6834","2.277"
"350","2.392","17.33","19.72","47.73","0.7101","2.506"
"400","2.406","19.88","22.29","50.11","0.732","2.713"
"450","2.418","22.44","24.86","52.24","0.7504","2.9"
"500","2.429","25.01","27.44","54.15","0.7661","3.071"
"550","2.438","27.57","30.01","55.89","0.7797","3.229"
"600","2.447","30.14","32.59","57.49","0.7915","3.374"
"700","2.461","35.28","37.74","60.34","0.8113","3.636"
"800","2.474","40.43","42.9","62.82","0.8272","3.866"
"900","2.485","45.58","48.06","65.02","0.8404","4.071"
"1000","2.495","50.73","53.22","67","0.8514","4.256"
