"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","7.86","0.02148","7.881","0.000939","0.001352","0.001023"
"0.0125","6.888","0.02385","6.912","0.001279","0.001699","0.001303"
"0.015","6.161","0.02584","6.187","0.001662","0.002051","0.001592"
"0.0175","5.595","0.02756","5.622","0.002086","0.002407","0.001892"
"0.02","5.14","0.02908","5.169","0.00255","0.002764","0.002202"
"0.025","4.454","0.03169","4.486","0.003592","0.003481","0.002852"
"0.03","3.959","0.0339","3.992","0.004776","0.004197","0.003542"
"0.035","3.582","0.03581","3.618","0.006094","0.004911","0.004275"
"0.04","3.287","0.03753","3.324","0.007538","0.005622","0.005049"
"0.045","3.047","0.03907","3.086","0.0091","0.006328","0.005866"
"0.05","2.849","0.0405","2.89","0.01078","0.007029","0.006725"
"0.055","2.683","0.04182","2.725","0.01256","0.007725","0.007626"
"0.06","2.541","0.04306","2.584","0.01444","0.008415","0.008569"
"0.07","2.311","0.04534","2.356","0.01851","0.009779","0.01058"
"0.08","2.132","0.04741","2.18","0.02292","0.01112","0.01274"
"0.09","1.99","0.04932","2.039","0.02767","0.01244","0.01506"
"0.1","1.874","0.0511","1.925","0.03272","0.01373","0.0175"
"0.125","1.659","0.05514","1.714","0.04653","0.01686","0.0241"
"0.15","1.512","0.05877","1.571","0.0618","0.01985","0.03119"
"0.175","1.406","0.06211","1.468","0.07829","0.02272","0.03854"
"0.2","1.326","0.06527","1.391","0.0958","0.02546","0.04601"
"0.25","1.214","0.07125","1.285","0.1333","0.03062","0.06098"
"0.3","1.141","0.07698","1.218","0.1733","0.03541","0.07577"
"0.35","1.09","0.08256","1.173","0.2152","0.0399","0.0903"
"0.4","1.054","0.08807","1.143","0.2585","0.04413","0.1046"
"0.45","1.028","0.09355","1.122","0.3027","0.04815","0.1186"
"0.5","1.008","0.09901","1.107","0.3475","0.05198","0.1323"
"0.55","0.9934","0.1045","1.098","0.3929","0.05565","0.1459"
"0.6","0.9821","0.1099","1.092","0.4386","0.05917","0.1591"
"0.7","0.967","0.1209","1.088","0.5304","0.06585","0.1851"
"0.8","0.9585","0.1318","1.09","0.6222","0.07213","0.2102"
"0.9","0.9543","0.1429","1.097","0.7137","0.07807","0.2345"
"1","0.9528","0.154","1.107","0.8044","0.08374","0.2581"
"1.25","0.956","0.1822","1.138","1.027","0.09694","0.3145"
"1.5","0.9639","0.2107","1.175","1.244","0.1091","0.3674"
"1.75","0.9738","0.2398","1.214","1.453","0.1204","0.4176"
"2","0.9842","0.2692","1.253","1.656","0.1312","0.4654"
"2.5","1.005","0.3291","1.334","2.042","0.1511","0.5551"
"3","1.024","0.3903","1.414","2.406","0.1696","0.6385"
"3.5","1.041","0.4527","1.494","2.75","0.1867","0.7166"
"4","1.056","0.5161","1.572","3.077","0.2029","0.7904"
"4.5","1.07","0.5804","1.651","3.387","0.2181","0.8605"
"5","1.083","0.6456","1.728","3.683","0.2326","0.9274"
"5.5","1.094","0.7115","1.806","3.966","0.2463","0.9915"
"6","1.105","0.778","1.883","4.237","0.2594","1.053"
"7","1.124","0.913","2.037","4.748","0.284","1.17"
"8","1.14","1.05","2.19","5.221","0.3065","1.279"
"9","1.153","1.189","2.343","5.662","0.3273","1.382"
"10","1.166","1.33","2.496","6.076","0.3466","1.479"
"12.5","1.191","1.688","2.879","7.008","0.3894","1.7"
"15","1.212","2.053","3.264","7.823","0.4259","1.897"
"17.5","1.228","2.424","3.652","8.547","0.4575","2.073"
"20","1.242","2.8","4.042","9.197","0.4851","2.234"
"25","1.265","3.564","4.828","10.33","0.5314","2.516"
"30","1.283","4.34","5.622","11.29","0.5688","2.758"
"35","1.297","5.126","6.423","12.12","0.5997","2.972"
"40","1.31","5.919","7.229","12.85","0.6259","3.162"
"45","1.321","6.72","8.041","13.51","0.6483","3.335"
"50","1.33","7.526","8.856","14.1","0.6677","3.492"
"55","1.338","8.336","9.675","14.64","0.6848","3.638"
"60","1.346","9.15","10.5","15.14","0.7","3.773"
"70","1.359","10.79","12.15","16.02","0.7258","4.017"
"80","1.37","12.44","13.81","16.79","0.7469","4.233"
"90","1.379","14.09","15.47","17.48","0.7646","4.428"
"100","1.387","15.75","17.14","18.09","0.7796","4.605"
"125","1.405","19.93","21.34","19.39","0.8091","4.987"
"150","1.418","24.13","25.55","20.46","0.8309","5.307"
"175","1.429","28.35","29.78","21.37","0.8477","5.581"
"200","1.439","32.57","34.01","22.15","0.8611","5.822"
"250","1.454","41.03","42.49","23.47","0.8813","6.231"
"300","1.467","49.51","50.98","24.54","0.8958","6.569"
"350","1.477","58.01","59.49","25.45","0.9069","6.858"
"400","1.486","66.52","68","26.23","0.9156","7.111"
"450","1.494","75.03","76.52","26.92","0.9227","7.335"
"500","1.5","83.55","85.05","27.54","0.9286","7.537"
"550","1.507","92.08","93.59","28.1","0.9335","7.72"
"600","1.512","100.6","102.1","28.62","0.9378","7.888"
"700","1.522","117.7","119.2","29.52","0.9447","8.186"
"800","1.53","134.8","136.3","30.31","0.9501","8.446"
"900","1.538","151.9","153.4","31","0.9545","8.676"
"1000","1.544","169","170.6","31.61","0.9581","8.881"
