"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.999","0.01864","10.02","0.0006446","0.0009085","0.001184"
"0.0125","8.649","0.02026","8.669","0.0009137","0.001147","0.001515"
"0.015","7.664","0.02157","7.686","0.001221","0.001384","0.00186"
"0.0175","6.911","0.02267","6.933","0.001564","0.001621","0.002221"
"0.02","6.314","0.02361","6.338","0.001941","0.001855","0.002597"
"0.025","5.425","0.02518","5.45","0.002795","0.002319","0.003397"
"0.03","4.792","0.02644","4.818","0.003773","0.002775","0.004262"
"0.035","4.316","0.02752","4.344","0.004868","0.003224","0.005194"
"0.04","3.944","0.02845","3.973","0.006074","0.003664","0.006197"
"0.045","3.645","0.02929","3.675","0.007384","0.004098","0.00727"
"0.05","3.399","0.03006","3.43","0.008793","0.004525","0.008414"
"0.055","3.193","0.03077","3.224","0.0103","0.004946","0.00963"
"0.06","3.018","0.03142","3.049","0.01189","0.005361","0.01092"
"0.07","2.735","0.03262","2.768","0.01534","0.006173","0.01369"
"0.08","2.517","0.0337","2.551","0.01911","0.006965","0.01672"
"0.09","2.344","0.03469","2.378","0.02317","0.007736","0.01997"
"0.1","2.202","0.03562","2.238","0.02751","0.008488","0.02339"
"0.125","1.942","0.0377","1.979","0.03944","0.01029","0.03243"
"0.15","1.764","0.03955","1.804","0.0527","0.01199","0.04179"
"0.175","1.636","0.04126","1.677","0.06709","0.01361","0.05117"
"0.2","1.539","0.04288","1.582","0.08246","0.01514","0.06045"
"0.25","1.405","0.04599","1.451","0.1156","0.018","0.07861"
"0.3","1.317","0.04908","1.366","0.1511","0.02064","0.09626"
"0.35","1.256","0.05221","1.308","0.1886","0.02311","0.1135"
"0.4","1.212","0.05541","1.268","0.2275","0.02545","0.1304"
"0.45","1.18","0.05869","1.239","0.2674","0.02769","0.1469"
"0.5","1.156","0.06205","1.218","0.3081","0.02984","0.1632"
"0.55","1.137","0.06548","1.202","0.3495","0.03192","0.1792"
"0.6","1.123","0.06897","1.192","0.3912","0.03394","0.1949"
"0.7","1.103","0.07615","1.179","0.4757","0.03784","0.2256"
"0.8","1.092","0.08353","1.175","0.5606","0.04159","0.2554"
"0.9","1.085","0.09112","1.176","0.6457","0.04522","0.2842"
"1","1.082","0.09888","1.181","0.7306","0.04876","0.3123"
"1.25","1.082","0.1191","1.202","0.9406","0.0573","0.3789"
"1.5","1.089","0.1401","1.229","1.146","0.06551","0.4411"
"1.75","1.098","0.1619","1.26","1.347","0.07348","0.4994"
"2","1.108","0.1843","1.292","1.543","0.08124","0.5544"
"2.5","1.128","0.2305","1.359","1.92","0.09624","0.6559"
"3","1.148","0.2782","1.426","2.28","0.1106","0.7485"
"3.5","1.165","0.3271","1.492","2.622","0.1244","0.8342"
"4","1.181","0.3769","1.558","2.95","0.1377","0.9143"
"4.5","1.196","0.4276","1.623","3.265","0.1505","0.9897"
"5","1.209","0.479","1.688","3.567","0.1628","1.061"
"5.5","1.221","0.5311","1.752","3.857","0.1747","1.129"
"6","1.232","0.5837","1.815","4.138","0.1862","1.194"
"7","1.251","0.6907","1.942","4.67","0.208","1.316"
"8","1.268","0.7994","2.067","5.169","0.2284","1.428"
"9","1.283","0.9096","2.192","5.639","0.2476","1.532"
"10","1.296","1.021","2.317","6.083","0.2656","1.629"
"12.5","1.323","1.305","2.628","7.095","0.3064","1.847"
"15","1.345","1.594","2.939","7.994","0.342","2.037"
"17.5","1.363","1.887","3.25","8.803","0.3735","2.206"
"20","1.379","2.184","3.563","9.537","0.4014","2.359"
"25","1.404","2.787","4.191","10.83","0.4492","2.629"
"30","1.423","3.399","4.823","11.94","0.4886","2.862"
"35","1.439","4.018","5.457","12.92","0.5218","3.069"
"40","1.453","4.642","6.095","13.78","0.5503","3.256"
"45","1.465","5.271","6.736","14.56","0.575","3.426"
"50","1.475","5.904","7.379","15.27","0.5966","3.582"
"55","1.484","6.541","8.024","15.92","0.6158","3.726"
"60","1.492","7.179","8.671","16.52","0.633","3.86"
"70","1.506","8.465","9.97","17.59","0.6624","4.103"
"80","1.517","9.757","11.27","18.54","0.6868","4.319"
"90","1.528","11.06","12.58","19.38","0.7074","4.512"
"100","1.536","12.36","13.9","20.13","0.7251","4.688"
"125","1.555","15.63","17.19","21.75","0.7601","5.068"
"150","1.569","18.93","20.5","23.08","0.7862","5.386"
"175","1.581","22.23","23.81","24.21","0.8066","5.659"
"200","1.592","25.54","27.13","25.19","0.823","5.9"
"250","1.608","32.18","33.79","26.84","0.8478","6.308"
"300","1.621","38.84","40.46","28.19","0.8659","6.647"
"350","1.632","45.51","47.14","29.33","0.8798","6.937"
"400","1.642","52.19","53.83","30.32","0.8907","7.19"
"450","1.65","58.88","60.53","31.2","0.8997","7.414"
"500","1.657","65.57","67.23","31.98","0.9071","7.616"
"550","1.664","72.27","73.93","32.69","0.9134","7.799"
"600","1.67","78.97","80.64","33.34","0.9188","7.966"
"700","1.68","92.38","94.06","34.49","0.9277","8.265"
"800","1.689","105.8","107.5","35.48","0.9346","8.524"
"900","1.697","119.2","120.9","36.36","0.9402","8.754"
"1000","1.704","132.7","134.4","37.14","0.9449","8.96"
