"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.293","0.0207","8.313","0.0008403","0.001218","3.207E-05"
"0.0125","7.24","0.02286","7.263","0.001163","0.001538","4.273E-05"
"0.015","6.458","0.02465","6.483","0.001528","0.001861","5.441E-05"
"0.0175","5.852","0.02619","5.879","0.001934","0.002185","6.706E-05"
"0.02","5.368","0.02754","5.396","0.002378","0.00251","8.068E-05"
"0.025","4.641","0.02983","4.671","0.003377","0.003157","0.0001107"
"0.03","4.117","0.03175","4.149","0.004516","0.003801","0.0001444"
"0.035","3.721","0.03341","3.755","0.005785","0.00444","0.0001814"
"0.04","3.41","0.03488","3.445","0.007177","0.005074","0.0002218"
"0.045","3.159","0.03622","3.196","0.008685","0.005703","0.0002652"
"0.05","2.952","0.03745","2.99","0.0103","0.006326","0.0003117"
"0.055","2.778","0.03859","2.817","0.01203","0.006943","0.0003611"
"0.06","2.63","0.03966","2.669","0.01385","0.007555","0.0004131"
"0.07","2.39","0.04162","2.431","0.01779","0.00876","0.000525"
"0.08","2.204","0.0434","2.247","0.02207","0.009943","0.0006464"
"0.09","2.056","0.04505","2.101","0.02668","0.0111","0.0007767"
"0.1","1.935","0.04658","1.982","0.03158","0.01224","0.0009149"
"0.125","1.713","0.05003","1.763","0.045","0.01499","0.001291"
"0.15","1.56","0.0531","1.614","0.05986","0.0176","0.001705"
"0.175","1.451","0.05591","1.506","0.07592","0.02009","0.002148"
"0.2","1.368","0.05856","1.426","0.093","0.02247","0.002616"
"0.25","1.253","0.06357","1.316","0.1296","0.02692","0.003606"
"0.3","1.178","0.06839","1.246","0.1687","0.03104","0.004648"
"0.35","1.126","0.07315","1.199","0.2097","0.03489","0.005723"
"0.4","1.089","0.07789","1.167","0.252","0.03851","0.006821"
"0.45","1.063","0.08265","1.145","0.2952","0.04195","0.007932"
"0.5","1.043","0.08743","1.13","0.3392","0.04524","0.009053"
"0.55","1.028","0.09224","1.12","0.3837","0.04839","0.01018"
"0.6","1.017","0.09708","1.114","0.4284","0.05142","0.01131"
"0.7","1.002","0.1069","1.109","0.5185","0.05719","0.01359"
"0.8","0.994","0.1167","1.111","0.6086","0.06264","0.01589"
"0.9","0.9905","0.1267","1.117","0.6984","0.06782","0.01823"
"1","0.9899","0.1368","1.127","0.7876","0.07279","0.02062"
"1.25","0.9952","0.1626","1.158","1.007","0.08444","0.02697"
"1.5","1.005","0.1889","1.194","1.219","0.09526","0.03413"
"1.75","1.017","0.2158","1.233","1.425","0.1055","0.04238"
"2","1.03","0.2431","1.273","1.625","0.1152","0.05179"
"2.5","1.054","0.299","1.353","2.006","0.1334","0.07352"
"3","1.076","0.3562","1.433","2.365","0.1503","0.09781"
"3.5","1.097","0.4146","1.511","2.705","0.1662","0.1236"
"4","1.115","0.4741","1.589","3.027","0.1813","0.1502"
"4.5","1.131","0.5344","1.666","3.335","0.1955","0.1773"
"5","1.146","0.5956","1.742","3.628","0.2091","0.2046"
"5.5","1.16","0.6574","1.817","3.909","0.2221","0.2321"
"6","1.172","0.72","1.892","4.179","0.2345","0.2595"
"7","1.195","0.8468","2.042","4.687","0.2579","0.3139"
"8","1.214","0.9757","2.19","5.16","0.2794","0.3674"
"9","1.231","1.106","2.337","5.602","0.2995","0.4197"
"10","1.246","1.239","2.485","6.017","0.3181","0.4709"
"12.5","1.278","1.575","2.853","6.955","0.3598","0.5937"
"15","1.303","1.919","3.221","7.779","0.3956","0.7098"
"17.5","1.323","2.267","3.591","8.514","0.4268","0.8197"
"20","1.341","2.621","3.961","9.177","0.4543","0.9237"
"25","1.369","3.338","4.707","10.33","0.5007","1.116"
"30","1.391","4.068","5.459","11.32","0.5386","1.289"
"35","1.409","4.806","6.215","12.18","0.5702","1.446"
"40","1.425","5.551","6.975","12.94","0.597","1.59"
"45","1.438","6.302","7.739","13.62","0.6202","1.722"
"50","1.449","7.058","8.507","14.23","0.6404","1.845"
"55","1.459","7.818","9.277","14.79","0.6582","1.959"
"60","1.469","8.581","10.05","15.31","0.674","2.066"
"70","1.485","10.12","11.6","16.24","0.7011","2.262"
"80","1.498","11.66","13.16","17.05","0.7234","2.437"
"90","1.51","13.21","14.72","17.76","0.7421","2.596"
"100","1.52","14.77","16.29","18.41","0.7581","2.742"
"125","1.541","18.69","20.23","19.78","0.7897","3.061"
"150","1.557","22.62","24.18","20.91","0.8131","3.333"
"175","1.571","26.57","28.14","21.87","0.8312","3.57"
"200","1.582","30.53","32.11","22.7","0.8458","3.781"
"250","1.6","38.45","40.06","24.09","0.8678","4.145"
"300","1.615","46.4","48.02","25.23","0.8837","4.45"
"350","1.627","54.36","55.99","26.2","0.8958","4.714"
"400","1.637","62.33","63.97","27.03","0.9055","4.946"
"450","1.646","70.31","71.96","27.77","0.9133","5.153"
"500","1.653","78.3","79.95","28.43","0.9198","5.341"
"550","1.66","86.29","87.95","29.02","0.9253","5.512"
"600","1.666","94.29","95.95","29.57","0.93","5.669"
"700","1.677","110.3","112","30.53","0.9377","5.951"
"800","1.686","126.3","128","31.36","0.9437","6.198"
"900","1.694","142.4","144","32.1","0.9486","6.417"
"1000","1.701","158.4","160.1","32.76","0.9526","6.615"
