"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","12.71","0.01249","12.72","0.0004784","0.0004987","0.0008945"
"0.0125","10.87","0.01318","10.89","0.0006917","0.0006184","0.001144"
"0.015","9.561","0.01371","9.574","0.0009372","0.0007357","0.001404"
"0.0175","8.569","0.01414","8.583","0.001213","0.0008507","0.001674"
"0.02","7.792","0.01449","7.806","0.001519","0.0009633","0.001953"
"0.025","6.646","0.01503","6.661","0.002216","0.001182","0.00254"
"0.03","5.839","0.01543","5.854","0.003018","0.001393","0.003164"
"0.035","5.237","0.01576","5.253","0.003922","0.001597","0.003823"
"0.04","4.77","0.01603","4.786","0.004921","0.001794","0.004516"
"0.045","4.396","0.01626","4.412","0.00601","0.001986","0.005242"
"0.05","4.089","0.01646","4.106","0.007186","0.002172","0.006001"
"0.055","3.833","0.01665","3.85","0.008444","0.002353","0.00679"
"0.06","3.616","0.01681","3.633","0.009782","0.00253","0.007609"
"0.07","3.268","0.01712","3.285","0.01268","0.002872","0.009334"
"0.08","3","0.0174","3.017","0.01586","0.003199","0.01117"
"0.09","2.787","0.01765","2.805","0.01931","0.003514","0.0131"
"0.1","2.614","0.0179","2.632","0.02299","0.003817","0.01513"
"0.125","2.297","0.01849","2.316","0.03315","0.004534","0.02061"
"0.15","2.082","0.01907","2.101","0.04451","0.005202","0.02658"
"0.175","1.927","0.01965","1.946","0.0569","0.005829","0.033"
"0.2","1.81","0.02024","1.83","0.07016","0.006423","0.03983"
"0.25","1.647","0.02148","1.668","0.09887","0.007534","0.05456"
"0.3","1.54","0.0228","1.563","0.1299","0.008568","0.07055"
"0.35","1.466","0.02421","1.49","0.1627","0.009547","0.08765"
"0.4","1.412","0.0257","1.438","0.1969","0.01049","0.1057"
"0.45","1.373","0.02727","1.4","0.2322","0.0114","0.1246"
"0.5","1.342","0.02891","1.371","0.2683","0.01228","0.1443"
"0.55","1.319","0.03062","1.349","0.305","0.01316","0.1645"
"0.6","1.301","0.03238","1.333","0.3423","0.01402","0.1851"
"0.7","1.275","0.03605","1.311","0.418","0.01572","0.2272"
"0.8","1.258","0.03989","1.298","0.4947","0.01739","0.2698"
"0.9","1.248","0.04388","1.292","0.572","0.01905","0.3124"
"1","1.242","0.04801","1.29","0.6494","0.0207","0.3546"
"1.25","1.237","0.05887","1.296","0.8429","0.02482","0.4572"
"1.5","1.24","0.07039","1.311","1.035","0.02895","0.5545"
"1.75","1.247","0.08241","1.329","1.224","0.03308","0.6462"
"2","1.254","0.09487","1.349","1.411","0.03721","0.7327"
"2.5","1.271","0.1208","1.392","1.776","0.04548","0.8919"
"3","1.288","0.1479","1.436","2.129","0.05372","1.036"
"3.5","1.303","0.1758","1.479","2.473","0.0619","1.167"
"4","1.317","0.2044","1.522","2.806","0.06999","1.289"
"4.5","1.33","0.2336","1.564","3.13","0.07798","1.401"
"5","1.342","0.2634","1.605","3.446","0.08587","1.507"
"5.5","1.352","0.2937","1.646","3.753","0.09363","1.606"
"6","1.362","0.3243","1.686","4.053","0.1013","1.699"
"7","1.379","0.3868","1.766","4.633","0.1162","1.87"
"8","1.395","0.4504","1.845","5.187","0.1306","2.024"
"9","1.408","0.5152","1.923","5.717","0.1446","2.164"
"10","1.42","0.5808","2.001","6.227","0.158","2.293"
"12.5","1.445","0.7481","2.193","7.42","0.1897","2.574"
"15","1.465","0.9191","2.384","8.513","0.2187","2.813"
"17.5","1.482","1.093","2.575","9.522","0.2454","3.021"
"20","1.496","1.269","2.765","10.46","0.27","3.205"
"25","1.52","1.627","3.147","12.15","0.3138","3.523"
"30","1.538","1.99","3.529","13.65","0.3517","3.794"
"35","1.554","2.358","3.912","15","0.3849","4.03"
"40","1.566","2.729","4.296","16.22","0.4142","4.241"
"45","1.577","3.103","4.68","17.33","0.4404","4.431"
"50","1.587","3.479","5.066","18.36","0.4639","4.605"
"55","1.596","3.857","5.452","19.31","0.4851","4.765"
"60","1.603","4.236","5.839","20.2","0.5044","4.913"
"70","1.617","4.998","6.615","21.8","0.5382","5.179"
"80","1.628","5.765","7.393","23.23","0.5669","5.415"
"90","1.638","6.534","8.172","24.52","0.5917","5.625"
"100","1.646","7.307","8.953","25.69","0.6134","5.815"
"125","1.664","9.246","10.91","28.21","0.6572","6.222"
"150","1.678","11.2","12.87","30.32","0.6909","6.559"
"175","1.69","13.15","14.84","32.13","0.7177","6.847"
"200","1.7","15.11","16.81","33.71","0.7395","7.098"
"250","1.717","19.04","20.76","36.38","0.7734","7.521"
"300","1.731","22.99","24.72","38.58","0.7985","7.87"
"350","1.742","26.94","28.68","40.46","0.818","8.167"
"400","1.752","30.9","32.65","42.09","0.8336","8.426"
"450","1.76","34.87","36.63","43.54","0.8464","8.655"
"500","1.768","38.83","40.6","44.83","0.8572","8.861"
"550","1.774","42.8","44.58","46.01","0.8664","9.048"
"600","1.781","46.78","48.56","47.08","0.8744","9.219"
"700","1.791","54.74","56.53","48.99","0.8874","9.523"
"800","1.801","62.7","64.5","50.65","0.8978","9.788"
"900","1.809","70.67","72.48","52.11","0.9062","10.02"
"1000","1.816","78.65","80.46","53.42","0.9132","10.23"
