"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","51.24","0.0009702","51.24","0.0001076","1.029E-05","0"
"0.0125","42.71","0.0009793","42.71","0.0001613","1.242E-05","0"
"0.015","36.81","0.0009881","36.82","0.0002245","1.45E-05","0"
"0.0175","32.49","0.0009964","32.49","0.000297","1.654E-05","0"
"0.02","29.16","0.001004","29.16","0.0003783","1.854E-05","0"
"0.025","24.39","0.001019","24.39","0.0005667","2.246E-05","0"
"0.03","21.1","0.001034","21.1","0.0007878","2.628E-05","0"
"0.035","18.7","0.001048","18.7","0.00104","3.003E-05","0"
"0.04","16.87","0.001061","16.87","0.001322","3.371E-05","0"
"0.045","15.42","0.001075","15.42","0.001633","3.733E-05","0"
"0.05","14.24","0.001088","14.24","0.00197","4.091E-05","0"
"0.055","13.27","0.001101","13.27","0.002334","4.443E-05","0"
"0.06","12.45","0.001113","12.45","0.002724","4.791E-05","0"
"0.07","11.14","0.001138","11.14","0.003575","5.476E-05","0"
"0.08","10.15","0.001164","10.15","0.004517","6.147E-05","0"
"0.09","9.367","0.00119","9.368","0.005544","6.807E-05","0"
"0.1","8.737","0.001216","8.738","0.00665","7.457E-05","0"
"0.125","7.59","0.001285","7.591","0.009733","9.051E-05","0"
"0.15","6.818","0.001357","6.82","0.01322","0.0001061","0"
"0.175","6.265","0.001433","6.267","0.01705","0.0001215","0"
"0.2","5.851","0.001511","5.852","0.02118","0.0001367","0"
"0.25","5.274","0.001677","5.276","0.03021","0.000167","0"
"0.3","4.897","0.001852","4.899","0.04007","0.0001971","0"
"0.35","4.635","0.002038","4.637","0.05057","0.0002273","0"
"0.4","4.445","0.002232","4.447","0.06159","0.0002577","0"
"0.45","4.302","0.002436","4.305","0.07303","0.0002884","0"
"0.5","4.193","0.002648","4.196","0.0848","0.0003194","0"
"0.55","4.108","0.002869","4.111","0.09684","0.0003508","0"
"0.6","4.041","0.003096","4.044","0.1091","0.0003825","0"
"0.7","3.945","0.003573","3.949","0.1342","0.0004471","0"
"0.8","3.883","0.004076","3.887","0.1597","0.0005133","0"
"0.9","3.842","0.004603","3.846","0.1856","0.000581","0"
"1","3.815","0.005152","3.821","0.2117","0.0006501","0"
"1.25","3.787","0.006614","3.794","0.2774","0.0008289","0"
"1.5","3.788","0.00819","3.796","0.3433","0.001016","0"
"1.75","3.802","0.009862","3.812","0.409","0.001209","0"
"2","3.823","0.01162","3.835","0.4744","0.001409","0"
"2.5","3.873","0.01534","3.888","0.6039","0.001824","0"
"3","3.924","0.01931","3.943","0.7316","0.002257","0"
"3.5","3.973","0.02348","3.997","0.8576","0.002703","0"
"4","4.02","0.02782","4.047","0.9819","0.003162","0"
"4.5","4.063","0.0323","4.095","1.105","0.003631","0"
"5","4.103","0.03693","4.14","1.226","0.004108","0"
"5.5","4.14","0.04166","4.182","1.346","0.004593","0"
"6","4.175","0.0465","4.222","1.465","0.005084","0"
"7","4.238","0.05647","4.295","1.7","0.006083","0"
"8","4.295","0.06675","4.361","1.931","0.007101","0"
"9","4.345","0.07731","4.422","2.159","0.008134","0"
"10","4.39","0.08809","4.479","2.383","0.009178","0"
"12.5","4.488","0.1159","4.604","2.934","0.01183","0"
"15","4.569","0.1448","4.714","3.47","0.01451","0"
"17.5","4.638","0.1744","4.812","3.995","0.01722","0"
"20","4.698","0.2046","4.903","4.51","0.01994","0"
"25","4.799","0.2668","5.065","5.513","0.0254","0"
"30","4.881","0.3305","5.212","6.486","0.03084","0"
"35","4.951","0.3955","5.347","7.433","0.03625","0"
"40","5.01","0.4615","5.471","8.357","0.04161","0.01249"
"45","5.055","0.5283","5.583","9.261","0.04693","0.06872"
"50","5.09","0.5959","5.686","10.15","0.05221","0.1504"
"55","5.119","0.664","5.783","11.02","0.05745","0.2451"
"60","5.144","0.7326","5.876","11.88","0.06264","0.3459"
"70","5.183","0.8713","6.054","13.55","0.07289","0.5514"
"80","5.213","1.011","6.224","15.18","0.08293","0.7512"
"90","5.238","1.152","6.39","16.77","0.09277","0.9405"
"100","5.259","1.295","6.554","18.31","0.1024","1.118"
"125","5.301","1.654","6.955","22.02","0.1255","1.513"
"150","5.333","2.017","7.35","25.51","0.1473","1.849"
"175","5.359","2.383","7.742","28.83","0.1679","2.14"
"200","5.381","2.752","8.133","31.98","0.1873","2.396"
"250","5.417","3.496","8.913","37.85","0.2231","2.828"
"300","5.446","4.246","9.692","43.22","0.2552","3.186"
"350","5.47","5.001","10.47","48.19","0.2842","3.489"
"400","5.491","5.76","11.25","52.79","0.3106","3.753"
"450","5.509","6.522","12.03","57.09","0.3347","3.987"
"500","5.525","7.286","12.81","61.12","0.3568","4.196"
"550","5.54","8.053","13.59","64.9","0.3771","4.385"
"600","5.553","8.821","14.37","68.48","0.396","4.559"
"700","5.577","10.36","15.94","75.08","0.4298","4.866"
"800","5.597","11.91","17.51","81.07","0.4593","5.132"
"900","5.616","13.46","19.08","86.54","0.4853","5.367"
"1000","5.632","15.02","20.65","91.57","0.5084","5.577"
