"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.64","0.01692","10.65","0.0005928","0.0007821","0"
"0.0125","9.168","0.01825","9.186","0.0008463","0.0009833","0"
"0.015","8.103","0.01931","8.122","0.001136","0.001183","0"
"0.0175","7.292","0.02019","7.312","0.001461","0.001381","0"
"0.02","6.652","0.02094","6.673","0.00182","0.001577","0"
"0.025","5.702","0.02217","5.724","0.002632","0.001964","0"
"0.03","5.028","0.02315","5.051","0.003564","0.002341","0"
"0.035","4.523","0.02397","4.547","0.004609","0.002711","0"
"0.04","4.129","0.02468","4.154","0.005761","0.003073","0"
"0.045","3.813","0.02531","3.838","0.007015","0.003428","0"
"0.05","3.553","0.02588","3.579","0.008365","0.003777","0"
"0.055","3.336","0.0264","3.362","0.009808","0.004119","0"
"0.06","3.151","0.02688","3.178","0.01134","0.004455","0"
"0.07","2.854","0.02775","2.882","0.01465","0.005111","0"
"0.08","2.625","0.02854","2.653","0.01827","0.005747","0"
"0.09","2.443","0.02925","2.472","0.02218","0.006364","0"
"0.1","2.295","0.02992","2.324","0.02635","0.006963","0"
"0.125","2.022","0.03145","2.054","0.03784","0.008393","0"
"0.15","1.837","0.03281","1.87","0.05063","0.009735","0"
"0.175","1.703","0.03408","1.738","0.06452","0.011","0"
"0.2","1.603","0.03531","1.638","0.07935","0.0122","0"
"0.25","1.463","0.0377","1.501","0.1113","0.01443","0"
"0.3","1.372","0.04014","1.412","0.1458","0.01649","0.004309"
"0.35","1.308","0.04263","1.351","0.182","0.01842","0.01104"
"0.4","1.263","0.04522","1.308","0.2196","0.02025","0.01873"
"0.45","1.229","0.0479","1.277","0.2584","0.02201","0.02714"
"0.5","1.204","0.05067","1.254","0.2979","0.0237","0.03612"
"0.55","1.184","0.0535","1.238","0.338","0.02535","0.04554"
"0.6","1.169","0.05642","1.226","0.3786","0.02696","0.05532"
"0.7","1.149","0.06242","1.211","0.4607","0.03007","0.07565"
"0.8","1.137","0.06865","1.206","0.5435","0.0331","0.09672"
"0.9","1.13","0.07508","1.205","0.6265","0.03604","0.1183"
"1","1.127","0.08167","1.208","0.7094","0.03893","0.1402"
"1.25","1.127","0.0989","1.226","0.915","0.04598","0.1959"
"1.5","1.133","0.117","1.25","1.117","0.05284","0.2519"
"1.75","1.142","0.1357","1.277","1.315","0.05957","0.3076"
"2","1.151","0.1551","1.307","1.508","0.06619","0.3625"
"2.5","1.171","0.1951","1.366","1.883","0.07911","0.4687"
"3","1.19","0.2365","1.426","2.241","0.09166","0.569"
"3.5","1.207","0.279","1.486","2.584","0.1038","0.6634"
"4","1.222","0.3224","1.545","2.914","0.1157","0.7521"
"4.5","1.236","0.3666","1.603","3.232","0.1271","0.8356"
"5","1.249","0.4115","1.66","3.539","0.1382","0.9145"
"5.5","1.26","0.457","1.717","3.835","0.1491","0.9892"
"6","1.271","0.5031","1.774","4.121","0.1595","1.06"
"7","1.29","0.5966","1.886","4.668","0.1796","1.192"
"8","1.306","0.6917","1.998","5.183","0.1986","1.313"
"9","1.32","0.7883","2.109","5.67","0.2166","1.426"
"10","1.333","0.886","2.219","6.132","0.2336","1.53"
"12.5","1.359","1.135","2.494","7.194","0.2725","1.767"
"15","1.38","1.388","2.768","8.145","0.3068","1.976"
"17.5","1.397","1.646","3.043","9.006","0.3375","2.164"
"20","1.412","1.906","3.318","9.793","0.3651","2.335"
"25","1.435","2.435","3.87","11.19","0.4127","2.638"
"30","1.453","2.972","4.425","12.39","0.4525","2.899"
"35","1.468","3.515","4.983","13.46","0.4863","3.128"
"40","1.48","4.063","5.543","14.41","0.5154","3.333"
"45","1.491","4.615","6.106","15.27","0.5409","3.517"
"50","1.5","5.17","6.67","16.05","0.5634","3.685"
"55","1.509","5.728","7.237","16.77","0.5834","3.839"
"60","1.516","6.289","7.805","17.44","0.6014","3.982"
"70","1.529","7.415","8.945","18.63","0.6323","4.239"
"80","1.541","8.548","10.09","19.68","0.6581","4.465"
"90","1.55","9.687","11.24","20.62","0.6799","4.669"
"100","1.559","10.83","12.39","21.47","0.6988","4.853"
"125","1.576","13.7","15.28","23.28","0.7363","5.25"
"150","1.59","16.59","18.18","24.78","0.7644","5.582"
"175","1.601","19.48","21.08","26.06","0.7864","5.866"
"200","1.611","22.38","24","27.17","0.8042","6.115"
"250","1.627","28.21","29.83","29.04","0.8313","6.535"
"300","1.64","34.04","35.68","30.57","0.8511","6.881"
"350","1.65","39.89","41.54","31.86","0.8663","7.176"
"400","1.66","45.75","47.41","32.99","0.8783","7.433"
"450","1.668","51.61","53.28","33.98","0.8882","7.661"
"500","1.675","57.48","59.16","34.87","0.8964","7.865"
"550","1.681","63.36","65.04","35.68","0.9033","8.051"
"600","1.687","69.23","70.92","36.42","0.9093","8.22"
"700","1.698","81","82.7","37.72","0.9191","8.522"
"800","1.706","92.77","94.48","38.85","0.9268","8.784"
"900","1.714","104.6","106.3","39.85","0.9331","9.016"
"1000","1.721","116.3","118.1","40.74","0.9382","9.224"
