"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","12.1","0.01344","12.11","0.0005047","0.0005575","0"
"0.0125","10.36","0.01427","10.38","0.0007285","0.0006946","0"
"0.015","9.116","0.01491","9.131","0.000986","0.0008296","0"
"0.0175","8.175","0.01543","8.19","0.001276","0.0009624","0"
"0.02","7.437","0.01586","7.452","0.001596","0.001093","0"
"0.025","6.347","0.01654","6.364","0.002325","0.001348","0"
"0.03","5.579","0.01707","5.596","0.003165","0.001594","0"
"0.035","5.006","0.0175","5.024","0.00411","0.001833","0"
"0.04","4.561","0.01785","4.579","0.005154","0.002065","0"
"0.045","4.205","0.01816","4.223","0.006292","0.002292","0"
"0.05","3.913","0.01844","3.931","0.007521","0.002512","0"
"0.055","3.669","0.01869","3.688","0.008835","0.002727","0"
"0.06","3.462","0.01891","3.481","0.01023","0.002938","0"
"0.07","3.129","0.01932","3.149","0.01326","0.003345","0"
"0.08","2.874","0.01969","2.893","0.01658","0.003736","0"
"0.09","2.671","0.02003","2.691","0.02016","0.004113","0"
"0.1","2.506","0.02035","2.527","0.024","0.004476","0"
"0.125","2.204","0.02111","2.225","0.03459","0.005337","0"
"0.15","1.999","0.02182","2.021","0.0464","0.006139","0"
"0.175","1.851","0.02252","1.873","0.05928","0.006893","0"
"0.2","1.74","0.02322","1.763","0.07305","0.007607","0"
"0.25","1.585","0.02465","1.61","0.1028","0.008936","0"
"0.3","1.484","0.02617","1.51","0.135","0.01017","0"
"0.35","1.415","0.02777","1.442","0.1689","0.01133","0"
"0.4","1.365","0.02947","1.394","0.2042","0.01244","0"
"0.45","1.328","0.03125","1.359","0.2405","0.01351","0"
"0.5","1.3","0.03311","1.333","0.2777","0.01455","0"
"0.55","1.279","0.03504","1.314","0.3154","0.01557","0"
"0.6","1.263","0.03703","1.3","0.3537","0.01657","0"
"0.7","1.241","0.04116","1.283","0.4312","0.01853","0"
"0.8","1.229","0.04547","1.274","0.5095","0.02045","0"
"0.9","1.222","0.04996","1.272","0.588","0.02234","0"
"1","1.219","0.05459","1.273","0.6666","0.02421","0"
"1.25","1.221","0.06673","1.288","0.862","0.02884","0"
"1.5","1.23","0.07957","1.31","1.055","0.03342","0"
"1.75","1.242","0.09297","1.335","1.244","0.03796","0"
"2","1.255","0.1068","1.362","1.429","0.04247","0"
"2.5","1.282","0.1356","1.417","1.789","0.05139","0"
"3","1.307","0.1656","1.473","2.135","0.06018","0"
"3.5","1.33","0.1965","1.527","2.468","0.06882","0"
"4","1.352","0.2282","1.58","2.79","0.07729","0"
"4.5","1.371","0.2605","1.632","3.102","0.0856","0"
"5","1.389","0.2933","1.683","3.403","0.09374","0"
"5.5","1.406","0.3267","1.733","3.696","0.1017","0"
"6","1.422","0.3605","1.782","3.981","0.1095","0"
"7","1.45","0.4293","1.879","4.527","0.1247","0"
"8","1.474","0.4995","1.974","5.046","0.1392","0"
"9","1.497","0.5708","2.067","5.541","0.1531","0"
"10","1.516","0.643","2.159","6.014","0.1665","0"
"12.5","1.559","0.8269","2.386","7.115","0.1978","0"
"15","1.594","1.015","2.609","8.116","0.2262","0"
"17.5","1.624","1.206","2.83","9.036","0.2521","0"
"20","1.65","1.399","3.05","9.887","0.276","0"
"25","1.694","1.792","3.486","11.42","0.3183","0"
"30","1.729","2.191","3.921","12.77","0.3548","0.007432"
"35","1.758","2.595","4.353","13.98","0.3867","0.03031"
"40","1.782","3.002","4.785","15.08","0.4149","0.06047"
"45","1.803","3.413","5.216","16.08","0.44","0.09396"
"50","1.822","3.825","5.647","17","0.4626","0.1289"
"55","1.838","4.24","6.078","17.85","0.4831","0.1643"
"60","1.853","4.656","6.509","18.65","0.5017","0.1998"
"70","1.879","5.493","7.372","20.09","0.5344","0.27"
"80","1.901","6.334","8.235","21.37","0.5623","0.3388"
"90","1.92","7.179","9.098","22.53","0.5865","0.4061"
"100","1.936","8.027","9.963","23.58","0.6076","0.4721"
"125","1.97","10.15","12.12","25.85","0.6506","0.6316"
"150","1.996","12.29","14.29","27.74","0.6837","0.783"
"175","2.017","14.44","16.46","29.37","0.7102","0.9259"
"200","2.034","16.59","18.63","30.8","0.732","1.06"
"250","2.062","20.91","22.97","33.21","0.7658","1.304"
"300","2.084","25.24","27.32","35.21","0.7911","1.521"
"350","2.102","29.58","31.68","36.9","0.8108","1.714"
"400","2.117","33.92","36.04","38.38","0.8266","1.887"
"450","2.13","38.27","40.4","39.69","0.8397","2.045"
"500","2.141","42.62","44.76","40.87","0.8507","2.189"
"550","2.151","46.98","49.13","41.93","0.8601","2.322"
"600","2.16","51.34","53.5","42.91","0.8683","2.445"
"700","2.176","60.07","62.25","44.64","0.8817","2.667"
"800","2.19","68.81","71","46.14","0.8924","2.864"
"900","2.201","77.55","79.75","47.47","0.9011","3.042"
"1000","2.211","86.3","88.51","48.66","0.9084","3.203"
