"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.38","0.01739","10.4","0.0006087","0.0008169","0.0006893"
"0.0125","8.953","0.01881","8.972","0.0008683","0.001031","0.0008777"
"0.015","7.915","0.01996","7.935","0.001165","0.001243","0.001072"
"0.0175","7.125","0.02092","7.146","0.001498","0.001454","0.001273"
"0.02","6.5","0.02173","6.522","0.001865","0.001664","0.001479"
"0.025","5.574","0.02307","5.597","0.002695","0.002077","0.00191"
"0.03","4.915","0.02415","4.94","0.003649","0.002482","0.002364"
"0.035","4.422","0.02505","4.447","0.004718","0.002879","0.002841"
"0.04","4.037","0.02584","4.063","0.005895","0.003269","0.003339"
"0.045","3.729","0.02654","3.755","0.007177","0.003652","0.003858"
"0.05","3.475","0.02718","3.502","0.008557","0.004028","0.004398"
"0.055","3.262","0.02776","3.29","0.01003","0.004399","0.004958"
"0.06","3.082","0.0283","3.11","0.0116","0.004763","0.005537"
"0.07","2.791","0.02929","2.82","0.01498","0.005475","0.006752"
"0.08","2.567","0.03018","2.597","0.01868","0.006167","0.00804"
"0.09","2.389","0.03099","2.42","0.02267","0.006839","0.009397"
"0.1","2.244","0.03174","2.276","0.02694","0.007493","0.01082"
"0.125","1.977","0.03346","2.011","0.03867","0.009057","0.01465"
"0.15","1.796","0.03499","1.831","0.05173","0.01053","0.01883"
"0.175","1.665","0.0364","1.701","0.06592","0.01192","0.02333"
"0.2","1.566","0.03776","1.604","0.08107","0.01324","0.02812"
"0.25","1.429","0.0404","1.469","0.1137","0.0157","0.03845"
"0.3","1.339","0.04304","1.382","0.1489","0.01798","0.04961"
"0.35","1.277","0.04574","1.322","0.1859","0.02011","0.0614"
"0.4","1.232","0.04852","1.28","0.2244","0.02212","0.07364"
"0.45","1.199","0.05139","1.25","0.2639","0.02406","0.08619"
"0.5","1.174","0.05435","1.228","0.3043","0.02592","0.09893"
"0.55","1.155","0.05738","1.212","0.3453","0.02773","0.1118"
"0.6","1.14","0.06048","1.201","0.3867","0.02949","0.1247"
"0.7","1.12","0.06686","1.187","0.4706","0.0329","0.1505"
"0.8","1.108","0.07345","1.182","0.555","0.03619","0.176"
"0.9","1.101","0.08024","1.182","0.6397","0.03939","0.2013"
"1","1.098","0.08721","1.185","0.7242","0.04253","0.2263"
"1.25","1.098","0.1053","1.203","0.9337","0.05014","0.2871"
"1.5","1.104","0.1244","1.228","1.139","0.05752","0.3457"
"1.75","1.113","0.1441","1.257","1.341","0.06473","0.4024"
"2","1.122","0.1644","1.287","1.537","0.07179","0.4574"
"2.5","1.142","0.2063","1.348","1.917","0.08552","0.5627"
"3","1.16","0.2497","1.41","2.279","0.09879","0.6624"
"3.5","1.177","0.2941","1.471","2.626","0.1116","0.7567"
"4","1.192","0.3395","1.532","2.959","0.124","0.8459"
"4.5","1.206","0.3858","1.592","3.28","0.136","0.9304"
"5","1.218","0.4327","1.651","3.588","0.1477","1.011"
"5.5","1.229","0.4802","1.71","3.886","0.1589","1.087"
"6","1.24","0.5283","1.768","4.173","0.1698","1.159"
"7","1.258","0.6259","1.884","4.721","0.1907","1.295"
"8","1.274","0.7252","1.999","5.236","0.2103","1.419"
"9","1.288","0.8259","2.114","5.723","0.2288","1.534"
"10","1.3","0.928","2.228","6.183","0.2463","1.642"
"12.5","1.326","1.187","2.513","7.239","0.2861","1.883"
"15","1.346","1.452","2.798","8.181","0.3212","2.096"
"17.5","1.363","1.72","3.083","9.032","0.3523","2.286"
"20","1.377","1.992","3.369","9.808","0.3801","2.46"
"25","1.399","2.544","3.943","11.18","0.428","2.766"
"30","1.417","3.104","4.521","12.36","0.4678","3.029"
"35","1.431","3.671","5.102","13.4","0.5015","3.261"
"40","1.443","4.242","5.686","14.33","0.5304","3.467"
"45","1.454","4.818","6.272","15.17","0.5557","3.654"
"50","1.463","5.398","6.861","15.93","0.5779","3.823"
"55","1.471","5.98","7.451","16.63","0.5976","3.979"
"60","1.478","6.565","8.044","17.27","0.6153","4.123"
"70","1.491","7.741","9.232","18.43","0.6456","4.382"
"80","1.502","8.924","10.43","19.45","0.6709","4.611"
"90","1.511","10.11","11.62","20.36","0.6922","4.816"
"100","1.519","11.31","12.83","21.18","0.7106","5.001"
"125","1.536","14.3","15.84","22.93","0.7471","5.402"
"150","1.55","17.32","18.87","24.37","0.7744","5.735"
"175","1.561","20.34","21.9","25.6","0.7957","6.02"
"200","1.57","23.38","24.95","26.67","0.8129","6.27"
"250","1.586","29.46","31.04","28.46","0.839","6.692"
"300","1.599","35.55","37.15","29.93","0.858","7.039"
"350","1.609","41.66","43.27","31.18","0.8726","7.335"
"400","1.618","47.78","49.4","32.26","0.8841","7.593"
"450","1.626","53.91","55.54","33.22","0.8936","7.821"
"500","1.633","60.04","61.67","34.07","0.9014","8.026"
"550","1.639","66.18","67.82","34.84","0.9081","8.211"
"600","1.645","72.32","73.97","35.55","0.9138","8.381"
"700","1.655","84.61","86.26","36.8","0.9232","8.684"
"800","1.664","96.91","98.57","37.88","0.9305","8.946"
"900","1.671","109.2","110.9","38.84","0.9365","9.178"
"1000","1.678","121.5","123.2","39.69","0.9414","9.386"
