"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","19.76","0.001303","19.76","0.0002827","3.649E-05","0.0004575"
"0.0125","16.54","0.001307","16.54","0.0004216","4.369E-05","0.0006467"
"0.015","14.3","0.001312","14.31","0.0005847","5.065E-05","0.0008645"
"0.0175","12.66","0.001316","12.66","0.0007709","5.739E-05","0.00111"
"0.02","11.39","0.001321","11.39","0.0009795","6.397E-05","0.001383"
"0.025","9.553","0.00133","9.554","0.001461","7.671E-05","0.002007"
"0.03","8.288","0.001339","8.29","0.002025","8.899E-05","0.002733"
"0.035","7.361","0.001348","7.362","0.002666","0.0001009","0.003556"
"0.04","6.65","0.001358","6.651","0.003382","0.0001125","0.00447"
"0.045","6.086","0.001367","6.088","0.004169","0.0001238","0.005473"
"0.05","5.629","0.001377","5.63","0.005024","0.0001349","0.006559"
"0.055","5.249","0.001386","5.251","0.005944","0.0001458","0.007725"
"0.06","4.93","0.001396","4.931","0.006927","0.0001564","0.008967"
"0.07","4.42","0.001415","4.421","0.009074","0.0001772","0.01167"
"0.08","4.031","0.001435","4.032","0.01145","0.0001973","0.01463"
"0.09","3.725","0.001455","3.726","0.01403","0.0002168","0.01784"
"0.1","3.477","0.001477","3.479","0.01681","0.0002359","0.02127"
"0.125","3.026","0.001533","3.028","0.02454","0.0002819","0.03067"
"0.15","2.722","0.001593","2.723","0.03327","0.0003259","0.04108"
"0.175","2.503","0.001656","2.504","0.04287","0.0003684","0.05227"
"0.2","2.339","0.001723","2.34","0.05321","0.0004097","0.06407"
"0.25","2.11","0.001865","2.112","0.07578","0.0004898","0.08903"
"0.3","1.959","0.002019","1.961","0.1004","0.0005676","0.1151"
"0.35","1.854","0.002183","1.857","0.1266","0.000644","0.1418"
"0.4","1.778","0.002357","1.78","0.1542","0.0007197","0.1688"
"0.45","1.72","0.002539","1.723","0.1827","0.0007952","0.1957"
"0.5","1.676","0.002731","1.679","0.2122","0.0008707","0.2225"
"0.55","1.641","0.00293","1.644","0.2423","0.0009464","0.2491"
"0.6","1.614","0.003135","1.617","0.2729","0.001023","0.2753"
"0.7","1.574","0.003565","1.577","0.3356","0.001176","0.3265"
"0.8","1.547","0.004018","1.551","0.3996","0.001332","0.3761"
"0.9","1.529","0.004491","1.534","0.4644","0.001491","0.4241"
"1","1.517","0.004983","1.522","0.5299","0.001652","0.4705"
"1.25","1.501","0.006289","1.508","0.6951","0.002065","0.5806"
"1.5","1.498","0.007687","1.505","0.8611","0.002494","0.6836"
"1.75","1.499","0.009164","1.508","1.027","0.002936","0.7815"
"2","1.503","0.01071","1.514","1.192","0.00339","0.8757"
"2.5","1.515","0.01396","1.529","1.521","0.004331","1.056"
"3","1.527","0.0174","1.544","1.847","0.005309","1.23"
"3.5","1.538","0.02099","1.559","2.169","0.006317","1.397"
"4","1.548","0.02471","1.572","2.488","0.00735","1.558"
"4.5","1.557","0.02854","1.585","2.805","0.008407","1.712"
"5","1.565","0.03248","1.597","3.119","0.009483","1.86"
"5.5","1.572","0.0365","1.608","3.431","0.01058","1.999"
"6","1.578","0.0406","1.619","3.741","0.01169","2.132"
"7","1.59","0.04902","1.639","4.355","0.01394","2.379"
"8","1.6","0.05767","1.658","4.962","0.01624","2.602"
"9","1.608","0.06654","1.675","5.562","0.01858","2.805"
"10","1.616","0.07558","1.692","6.156","0.02094","2.991"
"12.5","1.632","0.09883","1.731","7.616","0.02693","3.395"
"15","1.645","0.1228","1.768","9.046","0.03299","3.734"
"17.5","1.656","0.1473","1.803","10.45","0.03908","4.025"
"20","1.665","0.1723","1.837","11.82","0.04517","4.28"
"25","1.68","0.2233","1.904","14.49","0.05726","4.71"
"30","1.693","0.2752","1.968","17.08","0.06915","5.065"
"35","1.703","0.3279","2.031","19.58","0.08081","5.366"
"40","1.712","0.3812","2.094","22","0.09219","5.628"
"45","1.72","0.4351","2.155","24.35","0.1033","5.86"
"50","1.727","0.4893","2.217","26.64","0.1141","6.068"
"55","1.734","0.5439","2.278","28.87","0.1246","6.256"
"60","1.74","0.5989","2.339","31.03","0.1349","6.428"
"70","1.75","0.7095","2.46","35.2","0.1545","6.734"
"80","1.759","0.8211","2.58","39.17","0.1731","6.999"
"90","1.767","0.9335","2.7","42.96","0.1908","7.233"
"100","1.774","1.046","2.82","46.58","0.2076","7.442"
"125","1.789","1.331","3.12","55.01","0.246","7.886"
"150","1.801","1.618","3.419","62.66","0.2801","8.249"
"175","1.811","1.907","3.718","69.67","0.3106","8.556"
"200","1.82","2.197","4.017","76.13","0.3381","8.823"
"250","1.835","2.781","4.616","87.74","0.3856","9.268"
"300","1.847","3.368","5.215","97.92","0.4255","9.632"
"350","1.858","3.958","5.815","107","0.4596","9.94"
"400","1.866","4.549","6.416","115.2","0.489","10.21"
"450","1.874","5.142","7.016","122.6","0.5148","10.44"
"500","1.881","5.736","7.618","129.5","0.5377","10.65"
"550","1.888","6.332","8.22","135.8","0.5581","10.84"
"600","1.893","6.928","8.822","141.7","0.5764","11.02"
"700","1.904","8.123","10.03","152.3","0.6081","11.32"
"800","1.912","9.32","11.23","161.7","0.6346","11.59"
"900","1.92","10.52","12.44","170.2","0.6572","11.83"
"1000","1.927","11.72","13.65","177.8","0.6767","12.04"
