"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.199","0.0195","9.218","0.0007232","0.001036","0.001165"
"0.0125","7.992","0.02131","8.013","0.001015","0.001306","0.001481"
"0.015","7.104","0.0228","7.127","0.001346","0.001577","0.001805"
"0.0175","6.421","0.02404","6.445","0.001716","0.001846","0.00214"
"0.02","5.878","0.02513","5.903","0.002122","0.002115","0.002484"
"0.025","5.065","0.02693","5.092","0.003037","0.002647","0.003202"
"0.03","4.483","0.02841","4.512","0.004083","0.003171","0.003959"
"0.035","4.045","0.02968","4.074","0.005251","0.003689","0.004756"
"0.04","3.701","0.03079","3.732","0.006535","0.004199","0.005594"
"0.045","3.425","0.0318","3.456","0.007929","0.004702","0.006473"
"0.05","3.197","0.03271","3.229","0.009426","0.005198","0.007393"
"0.055","3.005","0.03356","3.039","0.01102","0.005688","0.008355"
"0.06","2.842","0.03435","2.877","0.01272","0.006172","0.00936"
"0.07","2.579","0.0358","2.615","0.01637","0.007122","0.0115"
"0.08","2.376","0.03712","2.413","0.02035","0.008049","0.01382"
"0.09","2.214","0.03833","2.252","0.02465","0.008956","0.01631"
"0.1","2.082","0.03946","2.121","0.02923","0.009841","0.01899"
"0.125","1.839","0.04199","1.881","0.04179","0.01197","0.02651"
"0.15","1.672","0.04424","1.717","0.05573","0.01399","0.03517"
"0.175","1.552","0.0463","1.598","0.07085","0.0159","0.04487"
"0.2","1.461","0.04824","1.509","0.08697","0.01772","0.05543"
"0.25","1.334","0.05195","1.386","0.1216","0.02113","0.07819"
"0.3","1.251","0.05557","1.307","0.1589","0.02428","0.1019"
"0.35","1.194","0.0592","1.253","0.198","0.02723","0.1256"
"0.4","1.152","0.06288","1.215","0.2385","0.03002","0.149"
"0.45","1.121","0.06661","1.188","0.2802","0.03267","0.1719"
"0.5","1.098","0.07041","1.169","0.3226","0.03522","0.1945"
"0.55","1.081","0.07427","1.155","0.3657","0.03768","0.2166"
"0.6","1.067","0.07819","1.145","0.4092","0.04007","0.2383"
"0.7","1.048","0.08619","1.135","0.4969","0.04465","0.2804"
"0.8","1.037","0.09439","1.132","0.5852","0.04903","0.3209"
"0.9","1.031","0.1028","1.134","0.6735","0.05325","0.3598"
"1","1.028","0.1113","1.139","0.7615","0.05734","0.3973"
"1.25","1.028","0.1334","1.161","0.979","0.06715","0.4852"
"1.5","1.034","0.1564","1.19","1.192","0.07649","0.5657"
"1.75","1.042","0.1801","1.222","1.399","0.08548","0.6399"
"2","1.051","0.2044","1.256","1.601","0.09419","0.7087"
"2.5","1.07","0.2544","1.325","1.989","0.1109","0.8331"
"3","1.088","0.3059","1.394","2.356","0.1267","0.9436"
"3.5","1.105","0.3586","1.463","2.707","0.1418","1.043"
"4","1.12","0.4122","1.532","3.04","0.1562","1.135"
"4.5","1.133","0.4667","1.6","3.36","0.17","1.219"
"5","1.146","0.522","1.668","3.666","0.1833","1.298"
"5.5","1.157","0.578","1.735","3.96","0.196","1.372"
"6","1.167","0.6345","1.802","4.243","0.2082","1.442"
"7","1.186","0.7492","1.935","4.778","0.2313","1.572"
"8","1.202","0.8658","2.068","5.278","0.2528","1.691"
"9","1.216","0.984","2.2","5.746","0.2728","1.8"
"10","1.229","1.103","2.332","6.188","0.2916","1.902"
"12.5","1.255","1.407","2.662","7.19","0.3336","2.129"
"15","1.276","1.717","2.993","8.076","0.37","2.325"
"17.5","1.294","2.031","3.325","8.868","0.4018","2.499"
"20","1.309","2.349","3.658","9.584","0.43","2.655"
"25","1.333","2.994","4.327","10.84","0.4776","2.927"
"30","1.352","3.649","5.001","11.91","0.5166","3.161"
"35","1.368","4.311","5.679","12.85","0.5492","3.367"
"40","1.381","4.98","6.361","13.68","0.577","3.551"
"45","1.393","5.653","7.046","14.43","0.601","3.719"
"50","1.403","6.33","7.733","15.11","0.622","3.873"
"55","1.412","7.012","8.424","15.73","0.6405","4.015"
"60","1.42","7.695","9.115","16.3","0.657","4.148"
"70","1.434","9.071","10.5","17.32","0.6852","4.388"
"80","1.445","10.45","11.9","18.21","0.7084","4.601"
"90","1.455","11.84","13.3","19.01","0.728","4.793"
"100","1.464","13.24","14.7","19.72","0.7448","4.967"
"125","1.482","16.75","18.23","21.24","0.7779","5.344"
"150","1.497","20.27","21.77","22.5","0.8024","5.66"
"175","1.509","23.81","25.31","23.56","0.8215","5.931"
"200","1.519","27.35","28.87","24.49","0.8368","6.169"
"250","1.535","34.46","35.99","26.03","0.86","6.574"
"300","1.548","41.58","43.13","27.3","0.8768","6.911"
"350","1.559","48.72","50.27","28.37","0.8897","7.199"
"400","1.568","55.86","57.43","29.3","0.8998","7.45"
"450","1.577","63.01","64.59","30.12","0.9081","7.673"
"500","1.584","70.17","71.76","30.86","0.915","7.874"
"550","1.59","77.34","78.93","31.52","0.9208","8.057"
"600","1.596","84.5","86.1","32.13","0.9258","8.224"
"700","1.606","98.85","100.5","33.2","0.9339","8.521"
"800","1.615","113.2","114.8","34.13","0.9403","8.78"
"900","1.623","127.6","129.2","34.95","0.9455","9.009"
"1000","1.63","141.9","143.6","35.69","0.9497","9.215"
