"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","17.15","0.006245","17.15","0.0003395","0.0001963","0.0002879"
"0.0125","14.52","0.006361","14.53","0.0004985","0.0002373","0.0003975"
"0.015","12.67","0.006441","12.68","0.0006832","0.0002766","0.0005214"
"0.0175","11.29","0.006499","11.3","0.0008926","0.0003145","0.0006594"
"0.02","10.22","0.006543","10.22","0.001126","0.0003512","0.000811"
"0.025","8.648","0.006604","8.655","0.001659","0.0004214","0.001154"
"0.03","7.555","0.006647","7.562","0.002279","0.0004881","0.001548"
"0.035","6.746","0.006679","6.753","0.00298","0.0005519","0.001991"
"0.04","6.122","0.006706","6.129","0.003759","0.0006131","0.00248"
"0.045","5.625","0.006731","5.632","0.004611","0.0006722","0.003013"
"0.05","5.22","0.006754","5.226","0.005533","0.0007294","0.003588"
"0.055","4.882","0.006778","4.889","0.006523","0.0007849","0.004204"
"0.06","4.596","0.006801","4.603","0.007578","0.0008388","0.004858"
"0.07","4.139","0.006849","4.146","0.009872","0.0009426","0.006276"
"0.08","3.789","0.006901","3.796","0.0124","0.001042","0.007827"
"0.09","3.512","0.006958","3.519","0.01514","0.001137","0.0095"
"0.1","3.288","0.007019","3.295","0.01807","0.001229","0.01129"
"0.125","2.878","0.007193","2.885","0.02622","0.001446","0.01617"
"0.15","2.6","0.007392","2.607","0.03535","0.001649","0.02157"
"0.175","2.4","0.007612","2.407","0.04535","0.001842","0.02736"
"0.2","2.249","0.007849","2.257","0.05609","0.002027","0.03348"
"0.25","2.04","0.008368","2.048","0.07942","0.002378","0.04641"
"0.3","1.903","0.008939","1.912","0.1047","0.002712","0.05994"
"0.35","1.808","0.009555","1.817","0.1316","0.003034","0.07382"
"0.4","1.739","0.01021","1.749","0.1597","0.003348","0.08786"
"0.45","1.687","0.0109","1.698","0.1887","0.003657","0.1019"
"0.5","1.648","0.01162","1.66","0.2185","0.003962","0.116"
"0.55","1.618","0.01237","1.631","0.2489","0.004265","0.1299"
"0.6","1.595","0.01314","1.608","0.2798","0.004566","0.1438"
"0.7","1.561","0.01475","1.576","0.3427","0.005166","0.171"
"0.8","1.54","0.01645","1.556","0.4066","0.005766","0.1976"
"0.9","1.527","0.01822","1.545","0.4711","0.006367","0.2236"
"1","1.519","0.02006","1.539","0.5359","0.006972","0.249"
"1.25","1.512","0.02493","1.537","0.6986","0.008502","0.3107"
"1.5","1.516","0.03013","1.546","0.8609","0.01006","0.3707"
"1.75","1.523","0.03561","1.559","1.022","0.01165","0.4302"
"2","1.532","0.04131","1.574","1.182","0.01326","0.4902"
"2.5","1.552","0.05327","1.606","1.496","0.01655","0.6133"
"3","1.571","0.06584","1.637","1.805","0.01991","0.7404"
"3.5","1.587","0.0789","1.666","2.107","0.02332","0.8688"
"4","1.602","0.09235","1.694","2.405","0.02677","0.9958"
"4.5","1.615","0.1062","1.721","2.698","0.03025","1.119"
"5","1.627","0.1203","1.747","2.986","0.03375","1.238"
"5.5","1.637","0.1347","1.772","3.27","0.03727","1.352"
"6","1.647","0.1493","1.796","3.55","0.04079","1.46"
"7","1.664","0.1792","1.843","4.1","0.04785","1.663"
"8","1.678","0.2098","1.888","4.636","0.05489","1.847"
"9","1.691","0.241","1.931","5.16","0.0619","2.015"
"10","1.702","0.2726","1.974","5.672","0.06886","2.169"
"12.5","1.725","0.3537","2.079","6.906","0.08594","2.506"
"15","1.744","0.4367","2.181","8.08","0.1025","2.79"
"17.5","1.76","0.5213","2.281","9.2","0.1185","3.035"
"20","1.774","0.6071","2.381","10.27","0.1339","3.251"
"25","1.796","0.7814","2.577","12.29","0.1631","3.617"
"30","1.814","0.9584","2.772","14.16","0.19","3.922"
"35","1.829","1.138","2.966","15.9","0.215","4.184"
"40","1.842","1.318","3.16","17.54","0.2382","4.414"
"45","1.853","1.5","3.353","19.07","0.2598","4.62"
"50","1.863","1.683","3.546","20.52","0.28","4.806"
"55","1.871","1.867","3.739","21.9","0.2988","4.976"
"60","1.879","2.052","3.931","23.2","0.3165","5.133"
"70","1.893","2.424","4.317","25.63","0.3487","5.415"
"80","1.904","2.798","4.702","27.85","0.3775","5.663"
"90","1.914","3.174","5.088","29.89","0.4033","5.884"
"100","1.923","3.551","5.474","31.78","0.4266","6.083"
"125","1.941","4.5","6.442","35.99","0.4763","6.511"
"150","1.956","5.455","7.411","39.6","0.5166","6.865"
"175","1.968","6.414","8.382","42.77","0.5501","7.166"
"200","1.979","7.376","9.355","45.6","0.5785","7.429"
"250","1.996","9.309","11.3","50.45","0.6242","7.869"
"300","2.01","11.25","13.26","54.53","0.6596","8.23"
"350","2.022","13.19","15.22","58.05","0.688","8.536"
"400","2.032","15.14","17.17","61.14","0.7113","8.802"
"450","2.041","17.09","19.13","63.9","0.7309","9.037"
"500","2.049","19.05","21.1","66.38","0.7476","9.247"
"550","2.056","21","23.06","68.65","0.7621","9.437"
"600","2.063","22.96","25.02","70.73","0.7748","9.61"
"700","2.075","26.88","28.95","74.44","0.796","9.918"
"800","2.085","30.8","32.89","77.68","0.8131","10.18"
"900","2.094","34.73","36.82","80.55","0.8272","10.42"
"1000","2.102","38.66","40.76","83.13","0.8391","10.63"
