"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","11.67","0.01524","11.68","0.000532","0.0006528","0.0007953"
"0.0125","10.03","0.01627","10.04","0.0007636","0.0008148","0.001029"
"0.015","8.843","0.01709","8.86","0.001029","0.0009749","0.001275"
"0.0175","7.945","0.01776","7.963","0.001327","0.001133","0.001535"
"0.02","7.238","0.01832","7.256","0.001657","0.001288","0.001807"
"0.025","6.192","0.01922","6.211","0.002404","0.001593","0.002389"
"0.03","5.452","0.01992","5.471","0.003264","0.001889","0.003017"
"0.035","4.898","0.0205","4.918","0.00423","0.002177","0.003692"
"0.04","4.467","0.02099","4.488","0.005296","0.002458","0.00441"
"0.045","4.122","0.02142","4.143","0.006457","0.002732","0.005169"
"0.05","3.838","0.02181","3.86","0.007708","0.003","0.005969"
"0.055","3.601","0.02216","3.623","0.009046","0.003262","0.006807"
"0.06","3.4","0.02247","3.422","0.01047","0.003519","0.007682"
"0.07","3.076","0.02305","3.099","0.01354","0.004017","0.009535"
"0.08","2.826","0.02357","2.85","0.01691","0.004497","0.01152"
"0.09","2.628","0.02404","2.652","0.02055","0.004961","0.01362"
"0.1","2.467","0.02449","2.492","0.02445","0.005409","0.01584"
"0.125","2.171","0.02551","2.197","0.03517","0.006474","0.0218"
"0.15","1.97","0.02646","1.996","0.04714","0.007469","0.0283"
"0.175","1.825","0.02737","1.852","0.06016","0.008406","0.03523"
"0.2","1.715","0.02826","1.743","0.07409","0.009292","0.04252"
"0.25","1.563","0.03005","1.593","0.1042","0.01095","0.05795"
"0.3","1.463","0.03192","1.495","0.1367","0.01248","0.07423"
"0.35","1.394","0.03388","1.427","0.1709","0.01391","0.09109"
"0.4","1.344","0.03593","1.38","0.2066","0.01529","0.1084"
"0.45","1.307","0.03808","1.345","0.2433","0.01661","0.1259"
"0.5","1.279","0.04032","1.319","0.2809","0.01789","0.1437"
"0.55","1.257","0.04264","1.3","0.3191","0.01915","0.1615"
"0.6","1.24","0.04502","1.285","0.3578","0.02038","0.1794"
"0.7","1.217","0.04996","1.267","0.4362","0.02279","0.2151"
"0.8","1.203","0.0551","1.258","0.5155","0.02514","0.2505"
"0.9","1.194","0.06043","1.255","0.5951","0.02746","0.2854"
"1","1.19","0.06592","1.255","0.6748","0.02974","0.3198"
"1.25","1.187","0.08032","1.268","0.8731","0.03538","0.4028"
"1.5","1.192","0.0955","1.288","1.069","0.04095","0.4816"
"1.75","1.2","0.1113","1.311","1.261","0.04646","0.5563"
"2","1.209","0.1276","1.337","1.45","0.05193","0.6275"
"2.5","1.228","0.1615","1.389","1.817","0.06272","0.7606"
"3","1.246","0.1967","1.442","2.17","0.07333","0.8838"
"3.5","1.262","0.2329","1.495","2.511","0.08373","0.9994"
"4","1.277","0.2699","1.547","2.84","0.09392","1.109"
"4.5","1.29","0.3077","1.598","3.158","0.1039","1.212"
"5","1.302","0.3461","1.648","3.466","0.1136","1.311"
"5.5","1.313","0.3851","1.698","3.765","0.1232","1.406"
"6","1.322","0.4246","1.747","4.055","0.1325","1.496"
"7","1.34","0.5049","1.845","4.612","0.1505","1.666"
"8","1.355","0.5867","1.941","5.14","0.1677","1.822"
"9","1.367","0.6697","2.037","5.643","0.1841","1.966"
"10","1.379","0.7538","2.133","6.123","0.1999","2.1"
"12.5","1.402","0.968","2.37","7.234","0.2362","2.398"
"15","1.421","1.187","2.608","8.239","0.2689","2.653"
"17.5","1.437","1.409","2.845","9.157","0.2984","2.877"
"20","1.45","1.634","3.084","10","0.3252","3.075"
"25","1.471","2.091","3.562","11.51","0.3721","3.418"
"30","1.488","2.555","4.043","12.82","0.4118","3.707"
"35","1.502","3.024","4.526","13.99","0.4459","3.959"
"40","1.514","3.497","5.011","15.04","0.4756","4.182"
"45","1.524","3.974","5.498","15.99","0.5017","4.382"
"50","1.533","4.453","5.987","16.87","0.5249","4.564"
"55","1.541","4.935","6.477","17.67","0.5457","4.73"
"60","1.549","5.419","6.968","18.41","0.5644","4.884"
"70","1.561","6.392","7.953","19.76","0.5968","5.16"
"80","1.572","7.37","8.942","20.94","0.624","5.403"
"90","1.581","8.352","9.933","22","0.6472","5.619"
"100","1.589","9.339","10.93","22.96","0.6673","5.814"
"125","1.606","11.81","13.42","25.02","0.7075","6.231"
"150","1.619","14.3","15.92","26.73","0.7379","6.575"
"175","1.631","16.8","18.43","28.19","0.7618","6.868"
"200","1.641","19.31","20.95","29.46","0.7811","7.124"
"250","1.657","24.33","25.98","31.6","0.8108","7.553"
"300","1.67","29.36","31.03","33.36","0.8326","7.907"
"350","1.68","34.41","36.09","34.85","0.8494","8.208"
"400","1.69","39.46","41.15","36.15","0.8627","8.469"
"450","1.698","44.52","46.22","37.29","0.8737","8.701"
"500","1.705","49.59","51.29","38.32","0.8828","8.909"
"550","1.712","54.66","56.37","39.25","0.8906","9.097"
"600","1.718","59.73","61.45","40.1","0.8973","9.269"
"700","1.728","69.88","71.61","41.6","0.9082","9.575"
"800","1.737","80.04","81.78","42.91","0.9169","9.84"
"900","1.745","90.22","91.96","44.06","0.9239","10.07"
"1000","1.753","100.4","102.1","45.09","0.9297","10.28"
