"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","19.95","0.003711","19.96","0.0002851","0.0001023","0"
"0.0125","16.79","0.003729","16.8","0.0004223","0.0001227","0"
"0.015","14.58","0.00374","14.59","0.0005825","0.0001421","0"
"0.0175","12.94","0.003747","12.95","0.0007648","0.0001608","0"
"0.02","11.68","0.003753","11.68","0.0009684","0.0001789","0"
"0.025","9.838","0.003762","9.842","0.001437","0.0002135","0"
"0.03","8.564","0.00377","8.568","0.001983","0.0002465","0"
"0.035","7.625","0.003779","7.629","0.002603","0.0002781","0"
"0.04","6.904","0.00379","6.908","0.003293","0.0003086","0"
"0.045","6.331","0.003803","6.335","0.004049","0.0003382","0"
"0.05","5.865","0.003816","5.868","0.00487","0.0003669","0"
"0.055","5.477","0.003831","5.481","0.005753","0.0003949","0"
"0.06","5.15","0.003846","5.154","0.006694","0.0004222","0"
"0.07","4.628","0.003881","4.632","0.008745","0.0004751","0"
"0.08","4.229","0.00392","4.233","0.01101","0.000526","0"
"0.09","3.914","0.003961","3.918","0.01347","0.0005752","0"
"0.1","3.66","0.004005","3.664","0.01611","0.0006229","0"
"0.125","3.195","0.004127","3.199","0.02344","0.0007368","0"
"0.15","2.881","0.004259","2.885","0.03169","0.0008447","0"
"0.175","2.655","0.0044","2.66","0.04073","0.0009477","0"
"0.2","2.486","0.00455","2.491","0.05046","0.001047","0"
"0.25","2.251","0.004874","2.256","0.07162","0.001236","0"
"0.3","2.097","0.005227","2.103","0.09463","0.001418","0"
"0.35","1.991","0.005606","1.996","0.1191","0.001593","0"
"0.4","1.914","0.006009","1.92","0.1446","0.001765","0"
"0.45","1.857","0.006436","1.863","0.1711","0.001935","0"
"0.5","1.813","0.006882","1.82","0.1982","0.002103","0"
"0.55","1.779","0.007347","1.787","0.226","0.002271","0"
"0.6","1.753","0.007827","1.761","0.2542","0.002438","0"
"0.7","1.716","0.008831","1.725","0.3116","0.002773","0"
"0.8","1.693","0.009889","1.703","0.37","0.003109","0"
"0.9","1.679","0.01099","1.69","0.4289","0.003447","0"
"1","1.67","0.01214","1.683","0.4883","0.003789","0"
"1.25","1.664","0.01518","1.68","0.6371","0.004655","0"
"1.5","1.67","0.01842","1.688","0.7856","0.005541","0"
"1.75","1.681","0.02184","1.702","0.9331","0.006444","0"
"2","1.693","0.0254","1.719","1.079","0.007364","0"
"2.5","1.721","0.0329","1.754","1.367","0.009243","0"
"3","1.749","0.04078","1.79","1.649","0.01116","0"
"3.5","1.775","0.04899","1.824","1.926","0.01311","0"
"4","1.799","0.05747","1.857","2.198","0.01509","0"
"4.5","1.821","0.0662","1.888","2.465","0.01708","0"
"5","1.842","0.07512","1.917","2.728","0.01909","0"
"5.5","1.861","0.08423","1.945","2.987","0.0211","0"
"6","1.879","0.09352","1.972","3.242","0.02312","0"
"7","1.911","0.1125","2.024","3.742","0.02718","0"
"8","1.94","0.132","2.072","4.231","0.03124","0"
"9","1.965","0.152","2.117","4.708","0.0353","0"
"10","1.988","0.1723","2.161","5.176","0.03934","0"
"12.5","2.038","0.2244","2.262","6.306","0.04938","0"
"15","2.079","0.278","2.356","7.388","0.05926","0"
"17.5","2.113","0.3327","2.446","8.43","0.06894","0"
"20","2.144","0.3884","2.532","9.434","0.07842","0"
"25","2.194","0.5016","2.696","11.35","0.09672","0"
"30","2.235","0.6169","2.852","13.15","0.1142","0.009662"
"35","2.266","0.7336","3","14.86","0.1308","0.06591"
"40","2.29","0.8515","3.142","16.49","0.1467","0.1474"
"45","2.31","0.9704","3.281","18.04","0.1619","0.2393"
"50","2.327","1.09","3.417","19.54","0.1765","0.3344"
"55","2.342","1.211","3.552","20.97","0.1904","0.4291"
"60","2.355","1.332","3.686","22.35","0.2038","0.5217"
"70","2.377","1.575","3.952","24.97","0.229","0.6973"
"80","2.395","1.821","4.216","27.42","0.2523","0.859"
"90","2.411","2.067","4.478","29.72","0.274","1.008"
"100","2.424","2.315","4.74","31.89","0.2941","1.144"
"125","2.453","2.939","5.392","36.84","0.3389","1.443"
"150","2.475","3.567","6.042","41.21","0.3771","1.695"
"175","2.494","4.198","6.693","45.14","0.4103","1.911"
"200","2.51","4.832","7.343","48.71","0.4394","2.102"
"250","2.537","6.106","8.643","54.98","0.4883","2.427"
"300","2.558","7.385","9.943","60.37","0.5278","2.699"
"350","2.575","8.668","11.24","65.09","0.5606","2.934"
"400","2.59","9.955","12.54","69.3","0.5883","3.142"
"450","2.603","11.24","13.85","73.09","0.6122","3.329"
"500","2.614","12.53","15.15","76.54","0.633","3.499"
"550","2.624","13.83","16.45","79.71","0.6513","3.657"
"600","2.633","15.12","17.75","82.64","0.6675","3.803"
"700","2.648","17.71","20.36","87.89","0.6952","4.067"
"800","2.66","20.31","22.97","92.51","0.718","4.303"
"900","2.671","22.9","25.58","96.64","0.7371","4.515"
"1000","2.681","25.5","28.18","100.4","0.7534","4.707"
