"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","17.73","0.005273","17.74","0.0003265","0.0001622","0"
"0.0125","14.99","0.00534","15","0.0004805","0.0001952","0"
"0.015","13.07","0.005384","13.07","0.0006595","0.0002266","0"
"0.0175","11.63","0.005416","11.64","0.0008625","0.0002569","0"
"0.02","10.52","0.005439","10.53","0.001089","0.0002862","0"
"0.025","8.898","0.00547","8.903","0.001607","0.0003422","0"
"0.03","7.767","0.005492","7.773","0.00221","0.0003953","0"
"0.035","6.932","0.00551","6.937","0.002893","0.0004461","0"
"0.04","6.288","0.005526","6.293","0.003651","0.0004949","0"
"0.045","5.775","0.005543","5.78","0.004481","0.000542","0"
"0.05","5.357","0.005559","5.362","0.00538","0.0005876","0"
"0.055","5.009","0.005577","5.014","0.006345","0.0006319","0"
"0.06","4.715","0.005595","4.72","0.007373","0.000675","0"
"0.07","4.244","0.005634","4.25","0.00961","0.000758","0"
"0.08","3.884","0.005679","3.89","0.01207","0.0008374","0"
"0.09","3.599","0.005727","3.605","0.01475","0.0009138","0"
"0.1","3.369","0.005781","3.375","0.01762","0.0009876","0"
"0.125","2.948","0.005934","2.953","0.02557","0.001163","0"
"0.15","2.663","0.006106","2.669","0.0345","0.001327","0"
"0.175","2.458","0.006296","2.464","0.04426","0.001484","0"
"0.2","2.304","0.0065","2.31","0.05475","0.001634","0"
"0.25","2.09","0.006945","2.097","0.07755","0.00192","0"
"0.3","1.95","0.007432","1.958","0.1023","0.002192","0"
"0.35","1.853","0.007956","1.861","0.1285","0.002456","0"
"0.4","1.784","0.008511","1.792","0.1559","0.002713","0"
"0.45","1.732","0.009096","1.741","0.1842","0.002965","0"
"0.5","1.693","0.009707","1.703","0.2133","0.003215","0"
"0.55","1.663","0.01034","1.673","0.2429","0.003463","0"
"0.6","1.639","0.011","1.65","0.273","0.003709","0"
"0.7","1.607","0.01236","1.619","0.3342","0.004201","0"
"0.8","1.587","0.0138","1.601","0.3964","0.004691","0"
"0.9","1.575","0.0153","1.59","0.4591","0.005184","0"
"1","1.568","0.01686","1.585","0.5221","0.005678","0"
"1.25","1.565","0.021","1.586","0.6799","0.006929","0"
"1.5","1.572","0.02542","1.598","0.837","0.008202","0"
"1.75","1.584","0.03008","1.614","0.9927","0.009497","0"
"2","1.598","0.03493","1.633","1.147","0.01081","0"
"2.5","1.626","0.04513","1.672","1.449","0.01349","0"
"3","1.654","0.05586","1.71","1.745","0.01621","0"
"3.5","1.681","0.06701","1.748","2.034","0.01897","0"
"4","1.705","0.07852","1.783","2.317","0.02174","0"
"4.5","1.727","0.09033","1.817","2.595","0.02454","0"
"5","1.748","0.1024","1.85","2.868","0.02734","0"
"5.5","1.767","0.1147","1.881","3.136","0.03014","0"
"6","1.784","0.1273","1.912","3.399","0.03294","0"
"7","1.817","0.1529","1.969","3.915","0.03854","0"
"8","1.845","0.1791","2.024","4.416","0.0441","0"
"9","1.87","0.2058","2.076","4.903","0.04963","0"
"10","1.893","0.233","2.126","5.379","0.0551","0"
"12.5","1.942","0.3026","2.245","6.523","0.06855","0"
"15","1.983","0.3739","2.357","7.61","0.08159","0"
"17.5","2.017","0.4466","2.464","8.647","0.09423","0"
"20","2.047","0.5204","2.568","9.641","0.1065","0"
"25","2.098","0.6703","2.768","11.52","0.1297","0"
"30","2.139","0.8226","2.961","13.26","0.1515","0"
"35","2.174","0.9766","3.15","14.9","0.1719","0"
"40","2.204","1.132","3.336","16.44","0.191","0"
"45","2.231","1.289","3.52","17.9","0.209","0"
"50","2.255","1.446","3.701","19.28","0.2259","0"
"55","2.277","1.605","3.881","20.6","0.242","0"
"60","2.296","1.764","4.06","21.86","0.2571","0"
"70","2.329","2.084","4.413","24.22","0.2852","0.02872"
"80","2.355","2.406","4.761","26.4","0.3107","0.09311"
"90","2.376","2.729","5.105","28.43","0.334","0.1741"
"100","2.393","3.054","5.447","30.33","0.3554","0.2624"
"125","2.427","3.871","6.298","34.59","0.4021","0.4887"
"150","2.452","4.693","7.144","38.32","0.4412","0.7044"
"175","2.472","5.518","7.99","41.62","0.4745","0.9031"
"200","2.488","6.347","8.835","44.6","0.5033","1.085"
"250","2.515","8.01","10.52","49.78","0.5508","1.403"
"300","2.536","9.68","12.22","54.18","0.5886","1.674"
"350","2.553","11.35","13.91","58.02","0.6195","1.908"
"400","2.568","13.03","15.6","61.41","0.6453","2.114"
"450","2.581","14.71","17.29","64.45","0.6673","2.298"
"500","2.593","16.39","18.99","67.21","0.6863","2.464"
"550","2.603","18.08","20.68","69.73","0.7029","2.616"
"600","2.612","19.76","22.37","72.06","0.7176","2.754"
"700","2.628","23.13","25.76","76.22","0.7423","3.003"
"800","2.642","26.51","29.15","79.87","0.7625","3.22"
"900","2.654","29.89","32.54","83.11","0.7794","3.413"
"1000","2.665","33.27","35.94","86.03","0.7937","3.587"
