"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","19.37","0.004267","19.37","0.000295","0.0001207","0"
"0.0125","16.32","0.004298","16.33","0.0004362","0.0001449","0"
"0.015","14.19","0.004316","14.19","0.0006009","0.0001681","0"
"0.0175","12.6","0.004328","12.61","0.0007882","0.0001903","0"
"0.02","11.38","0.004336","11.38","0.0009973","0.0002118","0"
"0.025","9.595","0.004347","9.6","0.001478","0.0002529","0"
"0.03","8.359","0.004356","8.363","0.002037","0.0002919","0"
"0.035","7.447","0.004365","7.452","0.002672","0.0003293","0"
"0.04","6.746","0.004376","6.75","0.003378","0.0003653","0"
"0.045","6.189","0.004388","6.193","0.004153","0.0004001","0"
"0.05","5.735","0.004402","5.739","0.004992","0.0004339","0"
"0.055","5.358","0.004417","5.362","0.005894","0.0004668","0"
"0.06","5.039","0.004434","5.044","0.006856","0.0004988","0"
"0.07","4.53","0.004471","4.535","0.008951","0.0005608","0"
"0.08","4.142","0.004512","4.146","0.01126","0.0006204","0"
"0.09","3.835","0.004558","3.839","0.01377","0.0006779","0"
"0.1","3.586","0.004607","3.591","0.01647","0.0007337","0"
"0.125","3.133","0.004741","3.137","0.02394","0.0008666","0"
"0.15","2.826","0.004889","2.831","0.03235","0.0009922","0"
"0.175","2.606","0.005048","2.611","0.04157","0.001112","0"
"0.2","2.441","0.005215","2.446","0.05147","0.001227","0"
"0.25","2.211","0.005578","2.217","0.07302","0.001447","0"
"0.3","2.061","0.005975","2.067","0.09642","0.001656","0"
"0.35","1.957","0.006402","1.963","0.1213","0.001859","0"
"0.4","1.882","0.006856","1.889","0.1473","0.002057","0"
"0.45","1.826","0.007335","1.833","0.1742","0.002253","0"
"0.5","1.784","0.007838","1.791","0.2018","0.002446","0"
"0.55","1.751","0.008362","1.759","0.2299","0.002639","0"
"0.6","1.725","0.008904","1.734","0.2586","0.002831","0"
"0.7","1.69","0.01004","1.7","0.3169","0.003215","0"
"0.8","1.667","0.01122","1.679","0.3761","0.0036","0"
"0.9","1.654","0.01247","1.666","0.4359","0.003987","0"
"1","1.646","0.01376","1.659","0.4961","0.004377","0"
"1.25","1.641","0.01718","1.658","0.6469","0.005366","0"
"1.5","1.647","0.02084","1.667","0.7973","0.006376","0"
"1.75","1.658","0.02468","1.682","0.9466","0.007405","0"
"2","1.671","0.02869","1.699","1.094","0.008452","0"
"2.5","1.699","0.03711","1.736","1.386","0.01059","0"
"3","1.727","0.04598","1.773","1.671","0.01276","0"
"3.5","1.753","0.05519","1.808","1.95","0.01497","0"
"4","1.777","0.06471","1.842","2.224","0.01721","0"
"4.5","1.799","0.07448","1.874","2.493","0.01945","0"
"5","1.82","0.08449","1.905","2.758","0.02171","0"
"5.5","1.839","0.0947","1.934","3.018","0.02398","0"
"6","1.857","0.1051","1.962","3.275","0.02626","0"
"7","1.889","0.1264","2.016","3.777","0.03081","0"
"8","1.918","0.1482","2.066","4.267","0.03536","0"
"9","1.944","0.1705","2.114","4.746","0.0399","0"
"10","1.967","0.1932","2.16","5.214","0.04441","0"
"12.5","2.016","0.2514","2.267","6.343","0.05558","0"
"15","2.057","0.3112","2.368","7.421","0.06652","0"
"17.5","2.092","0.3723","2.464","8.456","0.0772","0"
"20","2.122","0.4343","2.556","9.452","0.08762","0"
"25","2.173","0.5606","2.733","11.34","0.1076","0"
"30","2.214","0.689","2.903","13.12","0.1266","0.00299"
"35","2.246","0.819","3.065","14.79","0.1446","0.04426"
"40","2.272","0.9502","3.222","16.38","0.1617","0.1129"
"45","2.292","1.083","3.375","17.9","0.1779","0.194"
"50","2.31","1.216","3.526","19.35","0.1934","0.2804"
"55","2.325","1.35","3.675","20.74","0.2082","0.3682"
"60","2.338","1.484","3.823","22.07","0.2224","0.4554"
"70","2.361","1.755","4.116","24.59","0.2488","0.6239"
"80","2.379","2.028","4.407","26.94","0.2732","0.7819"
"90","2.395","2.302","4.697","29.14","0.2957","0.9288"
"100","2.409","2.577","4.986","31.2","0.3165","1.065"
"125","2.437","3.27","5.707","35.89","0.3624","1.366"
"150","2.46","3.967","6.427","40.01","0.4013","1.622"
"175","2.478","4.668","7.146","43.7","0.4348","1.843"
"200","2.494","5.371","7.865","47.03","0.464","2.038"
"250","2.52","6.784","9.303","52.87","0.5127","2.369"
"300","2.541","8.202","10.74","57.87","0.5517","2.644"
"350","2.558","9.625","12.18","62.23","0.584","2.879"
"400","2.573","11.05","13.62","66.11","0.6111","3.086"
"450","2.586","12.48","15.07","69.6","0.6343","3.271"
"500","2.597","13.91","16.51","72.77","0.6544","3.438"
"550","2.608","15.34","17.95","75.68","0.6721","3.592"
"600","2.617","16.78","19.39","78.35","0.6878","3.733"
"700","2.633","19.65","22.28","83.16","0.7144","3.989"
"800","2.646","22.52","25.17","87.38","0.7361","4.215"
"900","2.657","25.4","28.05","91.14","0.7544","4.418"
"1000","2.668","28.27","30.94","94.54","0.7699","4.603"
