"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","16.41","0.007495","16.42","0.0003562","0.0002418","0.0009821"
"0.0125","13.92","0.007696","13.92","0.0005223","0.0002944","0.001275"
"0.015","12.15","0.00784","12.16","0.0007149","0.0003452","0.001586"
"0.0175","10.84","0.007948","10.84","0.0009331","0.0003943","0.001915"
"0.02","9.81","0.008032","9.818","0.001176","0.000442","0.002261"
"0.025","8.312","0.008153","8.321","0.001731","0.0005336","0.003004"
"0.03","7.266","0.008236","7.275","0.002376","0.0006208","0.003811"
"0.035","6.492","0.008301","6.5","0.003104","0.0007042","0.004681"
"0.04","5.894","0.008352","5.902","0.003913","0.0007845","0.00561"
"0.045","5.417","0.008396","5.425","0.004798","0.000862","0.006595"
"0.05","5.028","0.008436","5.036","0.005755","0.000937","0.007635"
"0.055","4.704","0.008473","4.712","0.006782","0.00101","0.008726"
"0.06","4.429","0.008508","4.438","0.007876","0.00108","0.009868"
"0.07","3.99","0.008575","3.999","0.01025","0.001216","0.01229"
"0.08","3.654","0.008643","3.662","0.01287","0.001346","0.01489"
"0.09","3.388","0.008715","3.396","0.01571","0.00147","0.01765"
"0.1","3.172","0.008792","3.181","0.01876","0.00159","0.02055"
"0.125","2.777","0.009004","2.786","0.02719","0.001872","0.02838"
"0.15","2.509","0.009243","2.518","0.03665","0.002136","0.03689"
"0.175","2.316","0.009506","2.326","0.047","0.002385","0.04594"
"0.2","2.171","0.00979","2.181","0.05811","0.002623","0.05545"
"0.25","1.969","0.01041","1.979","0.08226","0.003074","0.07545"
"0.3","1.836","0.0111","1.848","0.1085","0.003501","0.09637"
"0.35","1.744","0.01184","1.756","0.1363","0.003912","0.1178"
"0.4","1.677","0.01263","1.69","0.1653","0.004311","0.1396"
"0.45","1.628","0.01347","1.641","0.1953","0.004703","0.1614"
"0.5","1.589","0.01434","1.604","0.2262","0.00509","0.1832"
"0.55","1.56","0.01524","1.575","0.2577","0.005474","0.2049"
"0.6","1.537","0.01618","1.553","0.2896","0.005855","0.2264"
"0.7","1.504","0.01814","1.522","0.3547","0.006613","0.2687"
"0.8","1.483","0.02019","1.503","0.4209","0.007371","0.3098"
"0.9","1.469","0.02233","1.491","0.4877","0.008131","0.3496"
"1","1.461","0.02456","1.485","0.5549","0.008893","0.3881"
"1.25","1.453","0.03045","1.483","0.7235","0.01082","0.4788"
"1.5","1.455","0.03672","1.492","0.8916","0.01278","0.5625"
"1.75","1.461","0.04332","1.505","1.059","0.01477","0.6401"
"2","1.47","0.05019","1.52","1.224","0.01678","0.7127"
"2.5","1.489","0.06457","1.554","1.549","0.02088","0.8458"
"3","1.508","0.07967","1.588","1.868","0.02505","0.967"
"3.5","1.525","0.09534","1.621","2.179","0.02926","1.08"
"4","1.541","0.1115","1.653","2.485","0.03349","1.187"
"4.5","1.556","0.128","1.684","2.784","0.03774","1.289"
"5","1.569","0.1449","1.714","3.079","0.04199","1.387"
"5.5","1.581","0.1621","1.743","3.368","0.04625","1.482"
"6","1.591","0.1796","1.771","3.653","0.0505","1.574"
"7","1.61","0.2153","1.825","4.209","0.05896","1.749"
"8","1.625","0.2519","1.877","4.749","0.06735","1.913"
"9","1.639","0.2891","1.928","5.275","0.07566","2.067"
"10","1.651","0.3269","1.977","5.787","0.08386","2.211"
"12.5","1.675","0.4235","2.098","7.014","0.1038","2.534"
"15","1.694","0.5225","2.216","8.173","0.123","2.812"
"17.5","1.709","0.6233","2.333","9.272","0.1414","3.055"
"20","1.723","0.7255","2.448","10.32","0.159","3.27"
"25","1.745","0.9331","2.678","12.27","0.1918","3.638"
"30","1.762","1.144","2.906","14.06","0.2218","3.946"
"35","1.777","1.357","3.134","15.72","0.2492","4.21"
"40","1.789","1.572","3.361","17.26","0.2744","4.441"
"45","1.8","1.788","3.588","18.7","0.2976","4.648"
"50","1.809","2.006","3.816","20.05","0.3191","4.834"
"55","1.818","2.225","4.043","21.32","0.339","5.004"
"60","1.826","2.445","4.271","22.53","0.3575","5.161"
"70","1.839","2.888","4.727","24.75","0.3911","5.441"
"80","1.851","3.333","5.183","26.77","0.4206","5.687"
"90","1.861","3.78","5.64","28.62","0.4469","5.907"
"100","1.869","4.229","6.098","30.32","0.4704","6.105"
"125","1.888","5.358","7.246","34.08","0.5199","6.529"
"150","1.902","6.494","8.396","37.28","0.5594","6.881"
"175","1.914","7.635","9.549","40.07","0.5919","7.18"
"200","1.924","8.779","10.7","42.54","0.6192","7.442"
"250","1.942","11.08","13.02","46.77","0.6627","7.88"
"300","1.955","13.38","15.34","50.31","0.696","8.241"
"350","1.967","15.7","17.66","53.34","0.7224","8.546"
"400","1.977","18.02","19.99","56","0.744","8.812"
"450","1.986","20.34","22.32","58.37","0.762","9.046"
"500","1.994","22.66","24.65","60.5","0.7773","9.256"
"550","2.001","24.99","26.99","62.44","0.7905","9.446"
"600","2.008","27.31","29.32","64.21","0.802","9.619"
"700","2.019","31.97","33.99","67.38","0.8212","9.927"
"800","2.029","36.64","38.67","70.13","0.8366","10.19"
"900","2.038","41.31","43.35","72.57","0.8492","10.43"
"1000","2.046","45.98","48.03","74.77","0.8598","10.64"
