"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.18","0.02131","8.202","0.0008715","0.001278","0.001409"
"0.0125","7.154","0.0236","7.178","0.001198","0.001611","0.00178"
"0.015","6.389","0.02549","6.415","0.001567","0.001947","0.002157"
"0.0175","5.796","0.02713","5.823","0.001977","0.002286","0.00254"
"0.02","5.32","0.02857","5.349","0.002426","0.002625","0.002929"
"0.025","4.604","0.03104","4.635","0.003433","0.003304","0.003724"
"0.03","4.088","0.0331","4.121","0.00458","0.003981","0.004539"
"0.035","3.696","0.03489","3.731","0.005857","0.004654","0.005372"
"0.04","3.389","0.03649","3.426","0.007258","0.005323","0.006222"
"0.045","3.141","0.03794","3.179","0.008774","0.005987","0.007088"
"0.05","2.936","0.03926","2.975","0.0104","0.006645","0.007968"
"0.055","2.763","0.0405","2.804","0.01213","0.007297","0.00886"
"0.06","2.616","0.04165","2.658","0.01397","0.007944","0.009765"
"0.07","2.378","0.04378","2.422","0.01792","0.009221","0.01161"
"0.08","2.194","0.0457","2.239","0.02222","0.01047","0.01349"
"0.09","2.047","0.04748","2.094","0.02684","0.0117","0.0154"
"0.1","1.927","0.04914","1.976","0.03176","0.01291","0.01735"
"0.125","1.705","0.0529","1.758","0.04522","0.01583","0.02233"
"0.15","1.554","0.05625","1.61","0.06011","0.01862","0.02746"
"0.175","1.444","0.05934","1.504","0.07621","0.02128","0.03269"
"0.2","1.362","0.06225","1.424","0.09331","0.02382","0.03802"
"0.25","1.247","0.06775","1.314","0.13","0.02859","0.0489"
"0.3","1.171","0.07303","1.245","0.1691","0.03302","0.05999"
"0.35","1.12","0.07821","1.198","0.2101","0.03717","0.07119"
"0.4","1.083","0.08334","1.166","0.2525","0.04107","0.08245"
"0.45","1.056","0.08847","1.144","0.2958","0.04478","0.09372"
"0.5","1.035","0.09359","1.129","0.3398","0.04831","0.105"
"0.55","1.02","0.09874","1.119","0.3843","0.0517","0.1162"
"0.6","1.008","0.1039","1.112","0.4292","0.05497","0.1274"
"0.7","0.9927","0.1143","1.107","0.5193","0.06117","0.1495"
"0.8","0.984","0.1247","1.109","0.6096","0.06701","0.1714"
"0.9","0.9796","0.1353","1.115","0.6996","0.07256","0.193"
"1","0.9781","0.146","1.124","0.7889","0.07786","0.2143"
"1.25","0.9811","0.1731","1.154","1.009","0.0903","0.2665"
"1.5","0.9891","0.2008","1.19","1.222","0.1018","0.3173"
"1.75","0.9989","0.229","1.228","1.429","0.1127","0.3668"
"2","1.009","0.2577","1.267","1.629","0.123","0.4149"
"2.5","1.03","0.3164","1.346","2.012","0.1423","0.5076"
"3","1.049","0.3765","1.425","2.373","0.1602","0.596"
"3.5","1.066","0.4378","1.503","2.714","0.177","0.6804"
"4","1.081","0.5001","1.581","3.039","0.1929","0.7612"
"4.5","1.094","0.5635","1.658","3.348","0.2079","0.8388"
"5","1.107","0.6276","1.734","3.642","0.2222","0.9133"
"5.5","1.118","0.6925","1.81","3.925","0.2359","0.9851"
"6","1.128","0.7581","1.886","4.195","0.2489","1.054"
"7","1.146","0.8912","2.037","4.705","0.2733","1.185"
"8","1.162","1.026","2.188","5.179","0.2959","1.307"
"9","1.175","1.163","2.338","5.621","0.3167","1.422"
"10","1.187","1.302","2.489","6.035","0.3361","1.529"
"12.5","1.211","1.654","2.866","6.971","0.3791","1.771"
"15","1.231","2.014","3.244","7.79","0.4159","1.984"
"17.5","1.247","2.378","3.625","8.519","0.4477","2.173"
"20","1.261","2.747","4.008","9.174","0.4757","2.343"
"25","1.283","3.496","4.779","10.32","0.5225","2.641"
"30","1.3","4.256","5.556","11.28","0.5603","2.895"
"35","1.315","5.024","6.338","12.13","0.5917","3.118"
"40","1.327","5.799","7.125","12.87","0.6182","3.318"
"45","1.337","6.579","7.916","13.54","0.6409","3.498"
"50","1.346","7.365","8.711","14.14","0.6607","3.662"
"55","1.354","8.155","9.509","14.69","0.678","3.813"
"60","1.361","8.948","10.31","15.19","0.6934","3.954"
"70","1.374","10.54","11.92","16.09","0.7196","4.207"
"80","1.385","12.15","13.54","16.88","0.7411","4.431"
"90","1.394","13.77","15.16","17.58","0.7591","4.632"
"100","1.402","15.39","16.79","18.2","0.7744","4.814"
"125","1.419","19.46","20.88","19.54","0.8045","5.206"
"150","1.432","23.56","24.99","20.63","0.8267","5.533"
"175","1.443","27.67","29.12","21.56","0.8439","5.813"
"200","1.452","31.8","33.25","22.36","0.8576","6.058"
"250","1.468","40.07","41.54","23.7","0.8782","6.473"
"300","1.48","48.37","49.85","24.8","0.8931","6.817"
"350","1.49","56.68","58.17","25.73","0.9044","7.11"
"400","1.499","65","66.5","26.53","0.9134","7.366"
"450","1.507","73.33","74.83","27.24","0.9206","7.592"
"500","1.514","81.66","83.17","27.87","0.9267","7.796"
"550","1.52","90","91.52","28.44","0.9318","7.98"
"600","1.525","98.34","99.86","28.97","0.9361","8.149"
"700","1.535","115","116.6","29.89","0.9432","8.45"
"800","1.543","131.7","133.3","30.69","0.9488","8.711"
"900","1.551","148.5","150","31.4","0.9533","8.942"
"1000","1.557","165.2","166.7","32.03","0.9569","9.149"
