"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","11.16","0.01599","11.17","0.0005622","0.0007143","0.002009"
"0.0125","9.608","0.01714","9.625","0.0008041","0.0008927","0.002599"
"0.015","8.486","0.01805","8.504","0.001081","0.001069","0.003227"
"0.0175","7.632","0.0188","7.651","0.001392","0.001244","0.003896"
"0.02","6.959","0.01944","6.979","0.001734","0.001416","0.004606"
"0.025","5.961","0.02046","5.981","0.002511","0.001754","0.006159"
"0.03","5.253","0.02127","5.274","0.003404","0.002083","0.007895"
"0.035","4.723","0.02194","4.745","0.004405","0.002404","0.009822"
"0.04","4.309","0.02251","4.332","0.005509","0.002718","0.01194"
"0.045","3.978","0.02302","4.001","0.006712","0.003024","0.01425"
"0.05","3.705","0.02347","3.729","0.008008","0.003324","0.01673"
"0.055","3.477","0.02388","3.501","0.009392","0.003618","0.01937"
"0.06","3.283","0.02426","3.307","0.01086","0.003907","0.02215"
"0.07","2.971","0.02495","2.996","0.01405","0.004468","0.02803"
"0.08","2.731","0.02556","2.756","0.01753","0.00501","0.0342"
"0.09","2.539","0.02612","2.565","0.0213","0.005534","0.0405"
"0.1","2.384","0.02665","2.41","0.02532","0.006043","0.04683"
"0.125","2.098","0.02785","2.126","0.03641","0.007253","0.06244"
"0.15","1.903","0.02895","1.932","0.04877","0.008387","0.07751"
"0.175","1.762","0.02999","1.792","0.06223","0.009456","0.09204"
"0.2","1.657","0.031","1.688","0.07662","0.01047","0.1061"
"0.25","1.509","0.03301","1.542","0.1077","0.01236","0.1331"
"0.3","1.412","0.03509","1.447","0.1413","0.0141","0.1589"
"0.35","1.345","0.03725","1.383","0.1766","0.01575","0.1839"
"0.4","1.297","0.0395","1.337","0.2135","0.01731","0.2081"
"0.45","1.261","0.04185","1.303","0.2514","0.01881","0.2316"
"0.5","1.234","0.0443","1.278","0.2901","0.02027","0.2546"
"0.55","1.213","0.04682","1.26","0.3295","0.02169","0.2771"
"0.6","1.197","0.04941","1.247","0.3694","0.02308","0.2991"
"0.7","1.175","0.05476","1.23","0.4503","0.0258","0.3417"
"0.8","1.161","0.06034","1.222","0.5319","0.02845","0.3827"
"0.9","1.153","0.06611","1.219","0.6139","0.03104","0.4222"
"1","1.149","0.07204","1.221","0.6959","0.0336","0.4604"
"1.25","1.147","0.08757","1.234","0.8997","0.03988","0.5506"
"1.5","1.152","0.1039","1.256","1.101","0.04604","0.6343"
"1.75","1.159","0.1209","1.28","1.298","0.05213","0.7124"
"2","1.168","0.1385","1.307","1.491","0.05814","0.7857"
"2.5","1.187","0.1749","1.362","1.866","0.06996","0.9201"
"3","1.205","0.2127","1.418","2.226","0.08151","1.041"
"3.5","1.222","0.2515","1.473","2.571","0.09278","1.153"
"4","1.237","0.2912","1.528","2.905","0.1038","1.256"
"4.5","1.25","0.3316","1.582","3.226","0.1145","1.352"
"5","1.263","0.3727","1.636","3.537","0.1249","1.443"
"5.5","1.274","0.4144","1.688","3.838","0.1351","1.53"
"6","1.284","0.4566","1.741","4.129","0.145","1.612"
"7","1.302","0.5424","1.845","4.687","0.164","1.767"
"8","1.318","0.6298","1.948","5.215","0.1821","1.91"
"9","1.331","0.7184","2.05","5.715","0.1994","2.044"
"10","1.343","0.8082","2.151","6.191","0.2158","2.169"
"12.5","1.367","1.037","2.404","7.29","0.2535","2.451"
"15","1.387","1.27","2.657","8.279","0.2871","2.696"
"17.5","1.402","1.507","2.909","9.178","0.3173","2.912"
"20","1.416","1.747","3.162","10","0.3446","3.105"
"25","1.438","2.234","3.671","11.47","0.392","3.44"
"30","1.455","2.728","4.183","12.74","0.4318","3.722"
"35","1.469","3.228","4.697","13.87","0.4659","3.968"
"40","1.481","3.732","5.213","14.88","0.4954","4.185"
"45","1.492","4.24","5.731","15.8","0.5213","4.38"
"50","1.501","4.751","6.251","16.63","0.5442","4.558"
"55","1.509","5.264","6.773","17.4","0.5646","4.721"
"60","1.516","5.78","7.296","18.11","0.5829","4.871"
"70","1.529","6.817","8.345","19.39","0.6147","5.142"
"80","1.54","7.859","9.398","20.52","0.6412","5.38"
"90","1.549","8.906","10.45","21.53","0.6638","5.593"
"100","1.557","9.956","11.51","22.44","0.6832","5.785"
"125","1.574","12.6","14.17","24.39","0.7221","6.197"
"150","1.588","15.25","16.84","26.01","0.7514","6.539"
"175","1.599","17.91","19.51","27.39","0.7743","6.83"
"200","1.609","20.58","22.19","28.59","0.7929","7.083"
"250","1.625","25.93","27.55","30.61","0.8213","7.511"
"300","1.638","31.29","32.93","32.26","0.8421","7.862"
"350","1.649","36.67","38.32","33.67","0.858","8.161"
"400","1.658","42.05","43.71","34.89","0.8707","8.421"
"450","1.666","47.44","49.11","35.97","0.8811","8.652"
"500","1.673","52.84","54.51","36.94","0.8898","8.858"
"550","1.68","58.24","59.92","37.81","0.8971","9.046"
"600","1.686","63.64","65.33","38.61","0.9035","9.217"
"700","1.696","74.46","76.16","40.03","0.9138","9.522"
"800","1.705","85.29","86.99","41.25","0.922","9.786"
"900","1.713","96.12","97.83","42.34","0.9286","10.02"
"1000","1.72","107","108.7","43.31","0.9341","10.23"
