"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.27","0.01857","10.29","0.0006243","0.0008824","0.001971"
"0.0125","8.877","0.02016","8.897","0.0008865","0.001113","0.002516"
"0.015","7.861","0.02144","7.883","0.001186","0.001343","0.003082"
"0.0175","7.085","0.02251","7.108","0.00152","0.001572","0.003668"
"0.02","6.471","0.02343","6.494","0.001889","0.001799","0.004276"
"0.025","5.557","0.02494","5.582","0.002722","0.002247","0.005551"
"0.03","4.906","0.02617","4.932","0.003678","0.002687","0.006905"
"0.035","4.417","0.0272","4.445","0.004747","0.00312","0.008335"
"0.04","4.036","0.02811","4.064","0.005926","0.003545","0.009834"
"0.045","3.729","0.02891","3.758","0.007206","0.003963","0.0114"
"0.05","3.477","0.02965","3.506","0.008585","0.004374","0.01302"
"0.055","3.265","0.03032","3.296","0.01006","0.004779","0.0147"
"0.06","3.085","0.03095","3.116","0.01162","0.005178","0.01643"
"0.07","2.796","0.0321","2.828","0.01499","0.005959","0.02001"
"0.08","2.572","0.03313","2.605","0.01868","0.006719","0.02372"
"0.09","2.394","0.03408","2.428","0.02266","0.00746","0.02751"
"0.1","2.249","0.03496","2.284","0.02691","0.008181","0.03137"
"0.125","1.983","0.03696","2.02","0.03859","0.009909","0.04115"
"0.15","1.801","0.03873","1.84","0.05159","0.01154","0.05095"
"0.175","1.67","0.04037","1.71","0.06571","0.01308","0.06068"
"0.2","1.571","0.04192","1.613","0.08078","0.01455","0.07029"
"0.25","1.433","0.04493","1.478","0.1133","0.01728","0.08913"
"0.3","1.343","0.04793","1.391","0.1482","0.01981","0.1075"
"0.35","1.281","0.05097","1.332","0.185","0.02218","0.1255"
"0.4","1.236","0.05408","1.29","0.2231","0.02442","0.1431"
"0.45","1.203","0.05728","1.26","0.2624","0.02656","0.1603"
"0.5","1.178","0.06056","1.239","0.3024","0.02862","0.1773"
"0.55","1.159","0.06391","1.223","0.343","0.03062","0.1939"
"0.6","1.144","0.06734","1.212","0.3841","0.03256","0.2103"
"0.7","1.124","0.07437","1.199","0.4671","0.03631","0.2422"
"0.8","1.112","0.08162","1.194","0.5508","0.03992","0.2732"
"0.9","1.106","0.08907","1.195","0.6345","0.04343","0.3031"
"1","1.102","0.09672","1.199","0.7181","0.04685","0.3322"
"1.25","1.102","0.1166","1.219","0.925","0.05511","0.4015"
"1.5","1.109","0.1374","1.246","1.128","0.06309","0.4663"
"1.75","1.118","0.1589","1.277","1.326","0.07084","0.5274"
"2","1.128","0.181","1.309","1.52","0.07841","0.5854"
"2.5","1.148","0.2266","1.375","1.892","0.09306","0.6937"
"3","1.167","0.2737","1.441","2.248","0.1071","0.7938"
"3.5","1.184","0.322","1.506","2.587","0.1207","0.8873"
"4","1.2","0.3713","1.571","2.912","0.1337","0.9753"
"4.5","1.214","0.4215","1.636","3.224","0.1463","1.058"
"5","1.227","0.4724","1.699","3.524","0.1585","1.137"
"5.5","1.239","0.5239","1.762","3.813","0.1702","1.212"
"6","1.249","0.576","1.825","4.091","0.1816","1.283"
"7","1.268","0.6818","1.95","4.621","0.2032","1.415"
"8","1.285","0.7895","2.074","5.118","0.2235","1.537"
"9","1.299","0.8985","2.198","5.587","0.2425","1.65"
"10","1.312","1.009","2.321","6.029","0.2605","1.754"
"12.5","1.339","1.29","2.629","7.041","0.3011","1.989"
"15","1.36","1.576","2.936","7.94","0.3366","2.193"
"17.5","1.378","1.867","3.244","8.75","0.3681","2.375"
"20","1.393","2.161","3.553","9.486","0.3961","2.54"
"25","1.417","2.758","4.175","10.78","0.444","2.832"
"30","1.435","3.364","4.799","11.9","0.4836","3.085"
"35","1.451","3.977","5.427","12.88","0.517","3.308"
"40","1.464","4.595","6.059","13.75","0.5456","3.508"
"45","1.475","5.218","6.693","14.53","0.5705","3.689"
"50","1.484","5.845","7.329","15.25","0.5923","3.854"
"55","1.493","6.475","7.968","15.9","0.6117","4.006"
"60","1.501","7.108","8.608","16.51","0.629","4.147"
"70","1.514","8.38","9.894","17.59","0.6587","4.4"
"80","1.525","9.66","11.19","18.54","0.6833","4.625"
"90","1.535","10.95","12.48","19.38","0.7041","4.825"
"100","1.544","12.24","13.78","20.15","0.7219","5.007"
"125","1.562","15.48","17.04","21.78","0.7573","5.4"
"150","1.576","18.74","20.32","23.12","0.7837","5.728"
"175","1.588","22.01","23.6","24.26","0.8043","6.01"
"200","1.598","25.29","26.89","25.25","0.8209","6.256"
"250","1.614","31.87","33.48","26.91","0.846","6.674"
"300","1.627","38.46","40.09","28.28","0.8643","7.019"
"350","1.638","45.07","46.71","29.43","0.8783","7.313"
"400","1.647","51.69","53.34","30.43","0.8894","7.569"
"450","1.655","58.31","59.97","31.31","0.8985","7.796"
"500","1.662","64.94","66.6","32.11","0.906","7.999"
"550","1.669","71.58","73.25","32.82","0.9124","8.184"
"600","1.675","78.21","79.89","33.47","0.9179","8.353"
"700","1.685","91.5","93.19","34.63","0.9268","8.654"
"800","1.694","104.8","106.5","35.64","0.9338","8.915"
"900","1.702","118.1","119.8","36.52","0.9395","9.147"
"1000","1.709","131.4","133.1","37.31","0.9442","9.354"
