"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.646","0.02017","8.666","0.0007944","0.001145","0.001084"
"0.0125","7.538","0.02215","7.56","0.001104","0.001441","0.001393"
"0.015","6.717","0.02377","6.741","0.001455","0.001739","0.001717"
"0.0175","6.083","0.02515","6.108","0.001845","0.002037","0.002059"
"0.02","5.577","0.02635","5.603","0.002273","0.002334","0.002418"
"0.025","4.816","0.02838","4.845","0.003236","0.002923","0.00319"
"0.03","4.27","0.03005","4.3","0.004334","0.003507","0.004039"
"0.035","3.857","0.03149","3.889","0.005559","0.004084","0.004968"
"0.04","3.533","0.03277","3.566","0.006904","0.004654","0.005979"
"0.045","3.272","0.03392","3.306","0.008362","0.005218","0.007076"
"0.05","3.056","0.03497","3.091","0.009927","0.005775","0.008259"
"0.055","2.875","0.03595","2.911","0.0116","0.006326","0.009528"
"0.06","2.72","0.03687","2.757","0.01336","0.00687","0.01088"
"0.07","2.471","0.03856","2.509","0.01717","0.007943","0.01382"
"0.08","2.277","0.04008","2.317","0.02132","0.008992","0.01702"
"0.09","2.123","0.04149","2.165","0.02579","0.01002","0.02043"
"0.1","1.998","0.04279","2.04","0.03055","0.01102","0.02399"
"0.125","1.766","0.04575","1.811","0.0436","0.01345","0.0332"
"0.15","1.607","0.04836","1.656","0.05807","0.01575","0.0425"
"0.175","1.493","0.05075","1.543","0.07374","0.01794","0.0517"
"0.2","1.406","0.053","1.459","0.09042","0.02002","0.06076"
"0.25","1.286","0.05727","1.343","0.1262","0.02393","0.0785"
"0.3","1.207","0.06141","1.268","0.1646","0.02753","0.09586"
"0.35","1.153","0.06552","1.218","0.2049","0.0309","0.113"
"0.4","1.114","0.06965","1.183","0.2466","0.03408","0.13"
"0.45","1.085","0.07381","1.159","0.2893","0.03711","0.1468"
"0.5","1.063","0.07803","1.141","0.3328","0.04","0.1636"
"0.55","1.047","0.0823","1.129","0.3768","0.04278","0.1803"
"0.6","1.035","0.08662","1.121","0.4213","0.04547","0.1971"
"0.7","1.017","0.09538","1.113","0.5109","0.05062","0.2304"
"0.8","1.008","0.1043","1.112","0.6008","0.05552","0.2637"
"0.9","1.002","0.1134","1.115","0.6906","0.06021","0.297"
"1","0.9995","0.1226","1.122","0.78","0.06474","0.33"
"1.25","1","0.1465","1.147","1.001","0.07551","0.4116"
"1.5","1.007","0.1711","1.178","1.216","0.08568","0.4907"
"1.75","1.015","0.1964","1.211","1.425","0.09541","0.5668"
"2","1.024","0.2223","1.246","1.629","0.1048","0.6395"
"2.5","1.042","0.2754","1.317","2.019","0.1226","0.7751"
"3","1.059","0.3299","1.389","2.389","0.1394","0.8987"
"3.5","1.074","0.3857","1.46","2.74","0.1554","1.012"
"4","1.088","0.4425","1.531","3.074","0.1705","1.117"
"4.5","1.101","0.5001","1.601","3.393","0.185","1.214"
"5","1.112","0.5586","1.671","3.699","0.1989","1.305"
"5.5","1.123","0.6177","1.74","3.992","0.2121","1.391"
"6","1.132","0.6774","1.81","4.274","0.2248","1.472"
"7","1.15","0.7985","1.948","4.806","0.2488","1.622"
"8","1.164","0.9215","2.086","5.302","0.271","1.759"
"9","1.177","1.046","2.224","5.767","0.2916","1.884"
"10","1.189","1.172","2.361","6.203","0.3108","2"
"12.5","1.213","1.493","2.706","7.191","0.3536","2.256"
"15","1.232","1.819","3.051","8.061","0.3905","2.477"
"17.5","1.248","2.151","3.399","8.837","0.4226","2.671"
"20","1.262","2.486","3.748","9.537","0.4508","2.845"
"25","1.284","3.167","4.451","10.76","0.4984","3.148"
"30","1.301","3.858","5.16","11.8","0.5371","3.407"
"35","1.316","4.557","5.873","12.71","0.5692","3.634"
"40","1.328","5.263","6.59","13.51","0.5965","3.837"
"45","1.338","5.973","7.312","14.23","0.62","4.02"
"50","1.347","6.689","8.036","14.89","0.6405","4.187"
"55","1.355","7.408","8.763","15.48","0.6586","4.341"
"60","1.363","8.13","9.493","16.03","0.6746","4.483"
"70","1.375","9.583","10.96","17.01","0.7019","4.74"
"80","1.386","11.04","12.43","17.87","0.7244","4.966"
"90","1.395","12.51","13.91","18.63","0.7433","5.169"
"100","1.403","13.99","15.39","19.31","0.7594","5.352"
"125","1.42","17.69","19.11","20.76","0.7911","5.747"
"150","1.433","21.41","22.85","21.96","0.8145","6.076"
"175","1.444","25.15","26.59","22.97","0.8327","6.357"
"200","1.454","28.89","30.35","23.85","0.8472","6.604"
"250","1.469","36.4","37.87","25.32","0.8692","7.022"
"300","1.482","43.93","45.41","26.53","0.8851","7.367"
"350","1.492","51.46","52.95","27.55","0.8972","7.662"
"400","1.501","59.01","60.51","28.43","0.9067","7.918"
"450","1.509","66.56","68.07","29.21","0.9145","8.145"
"500","1.515","74.12","75.63","29.9","0.9209","8.349"
"550","1.522","81.68","83.2","30.53","0.9264","8.534"
"600","1.527","89.25","90.78","31.11","0.931","8.704"
"700","1.537","104.4","105.9","32.13","0.9387","9.005"
"800","1.546","119.6","121.1","33.01","0.9446","9.266"
"900","1.553","134.7","136.3","33.79","0.9494","9.497"
"1000","1.56","149.9","151.5","34.48","0.9534","9.705"
