"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.28","0.02076","8.301","0.0008412","0.001222","0.00016"
"0.0125","7.229","0.02295","7.251","0.001164","0.001544","0.0002057"
"0.015","6.448","0.02476","6.472","0.00153","0.001869","0.0002537"
"0.0175","5.843","0.02631","5.869","0.001936","0.002196","0.0003038"
"0.02","5.36","0.02768","5.387","0.002381","0.002522","0.000356"
"0.025","4.633","0.03","4.663","0.003382","0.003175","0.0004667"
"0.03","4.11","0.03195","4.142","0.004523","0.003825","0.0005854"
"0.035","3.715","0.03363","3.749","0.005794","0.004471","0.0007117"
"0.04","3.404","0.03513","3.44","0.007188","0.005111","0.0008454"
"0.045","3.154","0.03649","3.19","0.008699","0.005746","0.0009863"
"0.05","2.947","0.03773","2.985","0.01032","0.006376","0.001134"
"0.055","2.773","0.03889","2.812","0.01205","0.007","0.001288"
"0.06","2.625","0.03997","2.665","0.01388","0.007618","0.001449"
"0.07","2.385","0.04197","2.427","0.01781","0.008837","0.001788"
"0.08","2.2","0.04378","2.244","0.02211","0.01003","0.00215"
"0.09","2.052","0.04545","2.098","0.02672","0.01121","0.002534"
"0.1","1.932","0.047","1.979","0.03163","0.01236","0.002937"
"0.125","1.709","0.05051","1.76","0.04508","0.01514","0.004024"
"0.15","1.557","0.05365","1.611","0.05996","0.01779","0.00521"
"0.175","1.447","0.05652","1.504","0.07605","0.02031","0.006483"
"0.2","1.365","0.05923","1.424","0.09315","0.02272","0.007831"
"0.25","1.25","0.06434","1.314","0.1298","0.02725","0.01072"
"0.3","1.175","0.06927","1.244","0.169","0.03144","0.01384"
"0.35","1.123","0.07412","1.197","0.21","0.03535","0.01716"
"0.4","1.086","0.07893","1.165","0.2524","0.03904","0.02066"
"0.45","1.059","0.08376","1.143","0.2957","0.04254","0.02434"
"0.5","1.039","0.08859","1.128","0.3398","0.04588","0.02819"
"0.55","1.024","0.09344","1.118","0.3843","0.04908","0.0322"
"0.6","1.013","0.09832","1.111","0.4292","0.05216","0.03639"
"0.7","0.9978","0.1082","1.106","0.5195","0.05802","0.04523"
"0.8","0.9895","0.1181","1.108","0.6099","0.06355","0.05465"
"0.9","0.9856","0.1282","1.114","0.6999","0.06881","0.06458"
"1","0.9844","0.1384","1.123","0.7894","0.07385","0.07493"
"1.25","0.9885","0.1643","1.153","1.009","0.08568","0.1022"
"1.5","0.9974","0.191","1.188","1.223","0.09669","0.1307"
"1.75","1.008","0.2182","1.226","1.43","0.1071","0.1599"
"2","1.019","0.2459","1.265","1.631","0.117","0.1896"
"2.5","1.041","0.3025","1.344","2.014","0.1356","0.2493"
"3","1.062","0.3605","1.422","2.376","0.1529","0.3087"
"3.5","1.08","0.4198","1.5","2.718","0.1692","0.3671"
"4","1.096","0.4801","1.576","3.043","0.1846","0.4244"
"4.5","1.111","0.5413","1.652","3.353","0.1992","0.4803"
"5","1.124","0.6033","1.727","3.649","0.2131","0.5348"
"5.5","1.136","0.6661","1.802","3.932","0.2264","0.5881"
"6","1.147","0.7294","1.877","4.204","0.2392","0.6401"
"7","1.167","0.858","2.025","4.717","0.2631","0.7404"
"8","1.184","0.9886","2.172","5.194","0.2852","0.8361"
"9","1.198","1.121","2.319","5.639","0.3056","0.9272"
"10","1.211","1.255","2.466","6.057","0.3247","1.014"
"12.5","1.238","1.596","2.834","7.002","0.3672","1.215"
"15","1.259","1.943","3.202","7.831","0.4036","1.395"
"17.5","1.277","2.295","3.572","8.57","0.4352","1.558"
"20","1.291","2.652","3.943","9.236","0.4631","1.707"
"25","1.315","3.375","4.69","10.4","0.5099","1.97"
"30","1.334","4.108","5.443","11.39","0.5479","2.197"
"35","1.35","4.85","6.2","12.25","0.5795","2.398"
"40","1.363","5.599","6.961","13.01","0.6063","2.578"
"45","1.374","6.353","7.727","13.69","0.6293","2.741"
"50","1.384","7.111","8.495","14.31","0.6494","2.89"
"55","1.393","7.874","9.267","14.87","0.667","3.028"
"60","1.401","8.64","10.04","15.39","0.6827","3.157"
"70","1.414","10.18","11.6","16.31","0.7094","3.39"
"80","1.426","11.73","13.16","17.12","0.7314","3.597"
"90","1.436","13.29","14.73","17.84","0.7498","3.784"
"100","1.444","14.86","16.3","18.49","0.7655","3.955"
"125","1.462","18.79","20.25","19.86","0.7965","4.325"
"150","1.476","22.74","24.22","20.99","0.8193","4.635"
"175","1.488","26.72","28.2","21.94","0.837","4.903"
"200","1.498","30.7","32.19","22.77","0.8512","5.138"
"250","1.514","38.68","40.19","24.16","0.8726","5.538"
"300","1.527","46.69","48.21","25.29","0.8881","5.87"
"350","1.538","54.71","56.24","26.25","0.8999","6.154"
"400","1.547","62.74","64.28","27.08","0.9092","6.403"
"450","1.554","70.77","72.33","27.82","0.9168","6.625"
"500","1.561","78.81","80.38","28.47","0.923","6.824"
"550","1.568","86.86","88.43","29.06","0.9284","7.005"
"600","1.573","94.91","96.49","29.61","0.9329","7.171"
"700","1.583","111","112.6","30.56","0.9403","7.467"
"800","1.592","127.2","128.8","31.39","0.9461","7.725"
"900","1.599","143.3","144.9","32.13","0.9508","7.953"
"1000","1.606","159.4","161","32.78","0.9547","8.157"
