"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","11.45","0.01594","11.46","0.0005452","0.0006935","0.002698"
"0.0125","9.849","0.01707","9.866","0.0007811","0.0008671","0.003457"
"0.015","8.693","0.01797","8.711","0.001051","0.001039","0.004251"
"0.0175","7.815","0.01871","7.833","0.001355","0.001208","0.005079"
"0.02","7.122","0.01933","7.142","0.001689","0.001376","0.005943"
"0.025","6.097","0.02033","6.117","0.002449","0.001704","0.007775"
"0.03","5.37","0.02112","5.391","0.003322","0.002024","0.009746"
"0.035","4.826","0.02177","4.848","0.004302","0.002335","0.01185"
"0.04","4.402","0.02233","4.425","0.005383","0.00264","0.01408"
"0.045","4.063","0.02282","4.085","0.00656","0.002937","0.01644"
"0.05","3.784","0.02326","3.807","0.007829","0.003228","0.0189"
"0.055","3.55","0.02365","3.574","0.009186","0.003514","0.02146"
"0.06","3.352","0.02402","3.376","0.01063","0.003793","0.02412"
"0.07","3.032","0.02469","3.057","0.01374","0.004337","0.02963"
"0.08","2.786","0.02528","2.812","0.01716","0.004862","0.03537"
"0.09","2.591","0.02582","2.617","0.02085","0.00537","0.04123"
"0.1","2.432","0.02633","2.458","0.0248","0.005862","0.04718"
"0.125","2.14","0.0275","2.167","0.03567","0.007033","0.06209"
"0.15","1.941","0.02857","1.969","0.0478","0.008129","0.0768"
"0.175","1.797","0.02958","1.826","0.06101","0.009162","0.09118"
"0.2","1.689","0.03057","1.719","0.07513","0.01014","0.1052"
"0.25","1.538","0.03255","1.57","0.1057","0.01197","0.1323"
"0.3","1.439","0.03459","1.474","0.1386","0.01366","0.1583"
"0.35","1.371","0.03671","1.407","0.1734","0.01525","0.1834"
"0.4","1.321","0.03893","1.36","0.2095","0.01676","0.2078"
"0.45","1.285","0.04126","1.326","0.2468","0.01822","0.2315"
"0.5","1.257","0.04367","1.3","0.2849","0.01963","0.2547"
"0.55","1.235","0.04616","1.282","0.3236","0.02101","0.2773"
"0.6","1.219","0.04871","1.268","0.3629","0.02236","0.2994"
"0.7","1.196","0.05402","1.25","0.4424","0.025","0.3424"
"0.8","1.182","0.05953","1.241","0.5227","0.02757","0.3838"
"0.9","1.173","0.06523","1.239","0.6033","0.0301","0.4238"
"1","1.169","0.07112","1.24","0.6841","0.03259","0.4624"
"1.25","1.167","0.0865","1.253","0.8848","0.03871","0.5538"
"1.5","1.171","0.1027","1.274","1.083","0.04473","0.6387"
"1.75","1.179","0.1196","1.299","1.277","0.05068","0.7181"
"2","1.188","0.137","1.325","1.468","0.05656","0.7925"
"2.5","1.207","0.173","1.38","1.837","0.06814","0.9295"
"3","1.225","0.2105","1.435","2.193","0.07946","1.054"
"3.5","1.241","0.249","1.49","2.535","0.09053","1.168"
"4","1.256","0.2884","1.545","2.864","0.1013","1.275"
"4.5","1.27","0.3285","1.598","3.182","0.1119","1.375"
"5","1.282","0.3693","1.651","3.49","0.1221","1.47"
"5.5","1.293","0.4106","1.704","3.788","0.1322","1.561"
"6","1.303","0.4526","1.756","4.077","0.1419","1.647"
"7","1.321","0.5377","1.859","4.631","0.1608","1.809"
"8","1.336","0.6244","1.96","5.155","0.1787","1.959"
"9","1.349","0.7124","2.062","5.652","0.1957","2.099"
"10","1.361","0.8016","2.162","6.125","0.212","2.229"
"12.5","1.385","1.029","2.413","7.219","0.2494","2.52"
"15","1.404","1.26","2.664","8.205","0.2829","2.771"
"17.5","1.42","1.495","2.915","9.102","0.313","2.992"
"20","1.433","1.734","3.167","9.924","0.3402","3.189"
"25","1.455","2.217","3.672","11.39","0.3875","3.529"
"30","1.472","2.708","4.18","12.66","0.4274","3.815"
"35","1.486","3.205","4.691","13.79","0.4615","4.064"
"40","1.498","3.706","5.204","14.8","0.4911","4.285"
"45","1.508","4.21","5.719","15.72","0.517","4.483"
"50","1.517","4.718","6.236","16.56","0.54","4.663"
"55","1.525","5.228","6.754","17.33","0.5605","4.828"
"60","1.533","5.74","7.273","18.04","0.579","4.98"
"70","1.545","6.771","8.316","19.33","0.6109","5.254"
"80","1.556","7.806","9.362","20.46","0.6375","5.495"
"90","1.565","8.846","10.41","21.47","0.6603","5.71"
"100","1.573","9.889","11.46","22.39","0.6799","5.904"
"125","1.59","12.51","14.1","24.35","0.7191","6.319"
"150","1.604","15.15","16.75","25.97","0.7486","6.662"
"175","1.616","17.79","19.41","27.36","0.7718","6.954"
"200","1.625","20.44","22.07","28.57","0.7905","7.209"
"250","1.641","25.76","27.4","30.6","0.8191","7.638"
"300","1.654","31.09","32.74","32.26","0.8401","7.991"
"350","1.665","36.43","38.1","33.68","0.8563","8.291"
"400","1.675","41.78","43.46","34.91","0.8691","8.552"
"450","1.683","47.14","48.82","35.99","0.8796","8.783"
"500","1.69","52.5","54.19","36.96","0.8884","8.99"
"550","1.697","57.86","59.56","37.84","0.8958","9.178"
"600","1.703","63.23","64.94","38.65","0.9022","9.35"
"700","1.713","73.98","75.69","40.07","0.9127","9.655"
"800","1.722","84.74","86.46","41.31","0.921","9.92"
"900","1.73","95.5","97.23","42.4","0.9277","10.15"
"1000","1.738","106.3","108","43.37","0.9332","10.36"
