"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","11.46","0.01564","11.48","0.0005436","0.0006803","0.002927"
"0.0125","9.856","0.01673","9.872","0.0007794","0.0008501","0.003753"
"0.015","8.696","0.01759","8.714","0.00105","0.001018","0.004618"
"0.0175","7.816","0.0183","7.834","0.001353","0.001184","0.005521"
"0.02","7.122","0.0189","7.141","0.001687","0.001347","0.006462"
"0.025","6.095","0.01986","6.115","0.002447","0.001668","0.008455"
"0.03","5.368","0.02062","5.388","0.00332","0.00198","0.01059"
"0.035","4.823","0.02125","4.845","0.004301","0.002284","0.01286"
"0.04","4.399","0.02178","4.421","0.005383","0.00258","0.01525"
"0.045","4.059","0.02225","4.082","0.006561","0.00287","0.01775"
"0.05","3.78","0.02267","3.803","0.007831","0.003154","0.02035"
"0.055","3.547","0.02305","3.57","0.009189","0.003432","0.02303"
"0.06","3.348","0.02339","3.372","0.01063","0.003704","0.02578"
"0.07","3.029","0.02403","3.053","0.01375","0.004233","0.03142"
"0.08","2.783","0.02459","2.808","0.01717","0.004744","0.0372"
"0.09","2.588","0.02511","2.613","0.02087","0.005238","0.04305"
"0.1","2.429","0.0256","2.454","0.02482","0.005716","0.04892"
"0.125","2.137","0.02671","2.163","0.03571","0.006853","0.06349"
"0.15","1.938","0.02773","1.965","0.04787","0.007918","0.07777"
"0.175","1.794","0.02871","1.823","0.0611","0.008921","0.09168"
"0.2","1.686","0.02965","1.716","0.07525","0.009871","0.1052"
"0.25","1.535","0.03156","1.567","0.1058","0.01164","0.1314"
"0.3","1.437","0.03353","1.47","0.1388","0.01328","0.1566"
"0.35","1.368","0.03559","1.404","0.1737","0.01483","0.1809"
"0.4","1.319","0.03775","1.357","0.2099","0.0163","0.2045"
"0.45","1.282","0.04","1.322","0.2473","0.01771","0.2275"
"0.5","1.255","0.04235","1.297","0.2855","0.01909","0.25"
"0.55","1.234","0.04476","1.278","0.3243","0.02043","0.2721"
"0.6","1.217","0.04725","1.264","0.3637","0.02174","0.2936"
"0.7","1.194","0.0524","1.247","0.4434","0.02431","0.3356"
"0.8","1.18","0.05777","1.238","0.5239","0.02681","0.3761"
"0.9","1.172","0.06332","1.235","0.6048","0.02928","0.4153"
"1","1.167","0.06905","1.236","0.6858","0.03171","0.4532"
"1.25","1.165","0.08402","1.249","0.8872","0.03768","0.5432"
"1.5","1.169","0.09981","1.269","1.086","0.04356","0.627"
"1.75","1.177","0.1162","1.293","1.281","0.04938","0.7054"
"2","1.186","0.1332","1.319","1.472","0.05513","0.7793"
"2.5","1.205","0.1684","1.373","1.844","0.06647","0.9157"
"3","1.223","0.2049","1.428","2.201","0.07758","1.04"
"3.5","1.239","0.2424","1.481","2.545","0.08845","1.155"
"4","1.254","0.2809","1.535","2.876","0.09906","1.263"
"4.5","1.267","0.32","1.587","3.197","0.1094","1.365"
"5","1.279","0.3598","1.639","3.507","0.1196","1.461"
"5.5","1.29","0.4002","1.69","3.807","0.1294","1.554"
"6","1.3","0.4411","1.741","4.098","0.1391","1.642"
"7","1.318","0.5242","1.842","4.657","0.1577","1.807"
"8","1.332","0.6089","1.941","5.186","0.1754","1.96"
"9","1.345","0.6948","2.04","5.688","0.1922","2.102"
"10","1.357","0.7819","2.139","6.167","0.2083","2.234"
"12.5","1.381","1.003","2.384","7.273","0.2455","2.528"
"15","1.399","1.23","2.629","8.271","0.2787","2.782"
"17.5","1.415","1.46","2.874","9.18","0.3087","3.004"
"20","1.428","1.692","3.12","10.01","0.3358","3.202"
"25","1.45","2.165","3.614","11.5","0.383","3.543"
"30","1.467","2.645","4.111","12.8","0.4228","3.832"
"35","1.481","3.13","4.61","13.95","0.4569","4.082"
"40","1.492","3.619","5.112","14.98","0.4866","4.304"
"45","1.503","4.112","5.615","15.91","0.5126","4.503"
"50","1.512","4.608","6.12","16.76","0.5356","4.684"
"55","1.52","5.107","6.627","17.55","0.5562","4.85"
"60","1.527","5.608","7.134","18.27","0.5747","5.003"
"70","1.539","6.614","8.153","19.58","0.6068","5.278"
"80","1.55","7.625","9.175","20.74","0.6336","5.519"
"90","1.559","8.641","10.2","21.77","0.6565","5.735"
"100","1.567","9.661","11.23","22.71","0.6762","5.929"
"125","1.584","12.22","13.81","24.71","0.7157","6.345"
"150","1.598","14.8","16.39","26.37","0.7455","6.689"
"175","1.609","17.38","18.99","27.79","0.7689","6.982"
"200","1.619","19.97","21.59","29.02","0.7878","7.237"
"250","1.635","25.17","26.8","31.1","0.8168","7.666"
"300","1.648","30.37","32.02","32.8","0.838","8.02"
"350","1.658","35.59","37.25","34.25","0.8543","8.32"
"400","1.668","40.82","42.49","35.5","0.8673","8.581"
"450","1.676","46.05","47.73","36.61","0.8779","8.813"
"500","1.683","51.29","52.97","37.61","0.8868","9.02"
"550","1.69","56.53","58.22","38.51","0.8943","9.208"
"600","1.696","61.78","63.48","39.33","0.9008","9.38"
"700","1.706","72.28","73.99","40.79","0.9114","9.685"
"800","1.715","82.79","84.51","42.05","0.9198","9.95"
"900","1.723","93.31","95.04","43.17","0.9266","10.18"
"1000","1.73","103.8","105.6","44.16","0.9322","10.39"
