"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","16.75","0.008174","16.76","0.0003497","0.0002571","0.000746"
"0.0125","14.21","0.008414","14.22","0.0005123","0.0003137","0.0009898"
"0.015","12.41","0.008587","12.42","0.0007009","0.0003684","0.001256"
"0.0175","11.07","0.008718","11.08","0.0009145","0.0004214","0.001543"
"0.02","10.03","0.008821","10.03","0.001152","0.0004729","0.001851"
"0.025","8.498","0.00897","8.507","0.001695","0.0005718","0.002528"
"0.03","7.431","0.009074","7.44","0.002326","0.0006661","0.003282"
"0.035","6.64","0.009152","6.649","0.003038","0.0007565","0.004111"
"0.04","6.029","0.009216","6.039","0.003828","0.0008434","0.005012"
"0.045","5.542","0.00927","5.552","0.004693","0.0009273","0.005979"
"0.05","5.145","0.009318","5.154","0.005628","0.001008","0.007012"
"0.055","4.814","0.009362","4.823","0.006632","0.001087","0.008107"
"0.06","4.533","0.009403","4.543","0.007701","0.001164","0.00926"
"0.07","4.085","0.009482","4.094","0.01002","0.001311","0.01173"
"0.08","3.741","0.009561","3.75","0.01258","0.001451","0.01442"
"0.09","3.468","0.009643","3.478","0.01535","0.001586","0.01729"
"0.1","3.248","0.009728","3.257","0.01833","0.001715","0.02033"
"0.125","2.844","0.009963","2.854","0.02656","0.002021","0.02859"
"0.15","2.57","0.01023","2.58","0.0358","0.002305","0.03765"
"0.175","2.372","0.01051","2.383","0.0459","0.002575","0.04733"
"0.2","2.224","0.01083","2.235","0.05674","0.002831","0.05752"
"0.25","2.017","0.01151","2.029","0.0803","0.003317","0.07899"
"0.3","1.881","0.01226","1.894","0.1059","0.003777","0.1015"
"0.35","1.787","0.01307","1.8","0.133","0.004219","0.1245"
"0.4","1.719","0.01394","1.732","0.1613","0.004648","0.1478"
"0.45","1.667","0.01485","1.682","0.1906","0.005069","0.1711"
"0.5","1.628","0.0158","1.644","0.2207","0.005484","0.1944"
"0.55","1.598","0.0168","1.615","0.2514","0.005895","0.2176"
"0.6","1.574","0.01782","1.592","0.2826","0.006303","0.2405"
"0.7","1.54","0.01997","1.56","0.3461","0.007117","0.2854"
"0.8","1.519","0.02222","1.541","0.4106","0.007928","0.329"
"0.9","1.505","0.02457","1.529","0.4758","0.008741","0.3712"
"1","1.496","0.02701","1.523","0.5413","0.009556","0.412"
"1.25","1.488","0.03346","1.521","0.7057","0.01162","0.5079"
"1.5","1.49","0.04033","1.53","0.8696","0.01371","0.5961"
"1.75","1.496","0.04756","1.544","1.032","0.01583","0.6774"
"2","1.505","0.05507","1.56","1.193","0.01799","0.7529"
"2.5","1.524","0.07083","1.595","1.51","0.02236","0.8897"
"3","1.544","0.08734","1.631","1.82","0.02679","1.012"
"3.5","1.562","0.1045","1.667","2.124","0.03127","1.123"
"4","1.579","0.1221","1.701","2.42","0.03576","1.225"
"4.5","1.594","0.1402","1.735","2.712","0.04027","1.322"
"5","1.608","0.1587","1.767","2.997","0.04477","1.413"
"5.5","1.621","0.1775","1.799","3.278","0.04927","1.5"
"6","1.633","0.1966","1.829","3.553","0.05375","1.583"
"7","1.653","0.2356","1.889","4.091","0.06266","1.741"
"8","1.67","0.2755","1.946","4.613","0.07148","1.89"
"9","1.685","0.3161","2.001","5.119","0.08018","2.031"
"10","1.698","0.3574","2.056","5.612","0.08876","2.164"
"12.5","1.725","0.4628","2.187","6.791","0.1096","2.466"
"15","1.745","0.5708","2.316","7.902","0.1295","2.732"
"17.5","1.762","0.6807","2.443","8.952","0.1486","2.967"
"20","1.776","0.7922","2.568","9.95","0.1667","3.177"
"25","1.799","1.018","2.818","11.81","0.2005","3.539"
"30","1.817","1.248","3.066","13.51","0.2312","3.842"
"35","1.833","1.48","3.313","15.08","0.2593","4.104"
"40","1.846","1.715","3.56","16.53","0.2849","4.334"
"45","1.857","1.951","3.808","17.89","0.3085","4.538"
"50","1.867","2.188","4.055","19.16","0.3303","4.723"
"55","1.876","2.427","4.303","20.36","0.3505","4.892"
"60","1.884","2.667","4.55","21.49","0.3692","5.047"
"70","1.898","3.149","5.047","23.58","0.403","5.324"
"80","1.91","3.634","5.544","25.47","0.4326","5.567"
"90","1.92","4.121","6.042","27.19","0.4589","5.784"
"100","1.93","4.611","6.541","28.78","0.4824","5.98"
"125","1.949","5.842","7.79","32.28","0.5317","6.399"
"150","1.964","7.08","9.044","35.26","0.5709","6.747"
"175","1.976","8.323","10.3","37.85","0.6031","7.045"
"200","1.987","9.571","11.56","40.14","0.63","7.304"
"250","2.005","12.08","14.08","44.05","0.6727","7.741"
"300","2.02","14.59","16.61","47.31","0.7054","8.1"
"350","2.032","17.11","19.14","50.12","0.7312","8.404"
"400","2.042","19.64","21.68","52.57","0.7524","8.669"
"450","2.051","22.16","24.21","54.75","0.7699","8.903"
"500","2.059","24.7","26.75","56.71","0.7849","9.112"
"550","2.067","27.23","29.3","58.5","0.7977","9.302"
"600","2.073","29.77","31.84","60.14","0.8089","9.475"
"700","2.085","34.84","36.93","63.05","0.8276","9.783"
"800","2.096","39.93","42.02","65.59","0.8425","10.05"
"900","2.105","45.02","47.12","67.83","0.8548","10.28"
"1000","2.113","50.11","52.22","69.85","0.865","10.49"
