"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","16.89","0.007255","16.9","0.0003461","0.0002289","0.001037"
"0.0125","14.32","0.007431","14.33","0.0005074","0.000278","0.001332"
"0.015","12.51","0.007555","12.52","0.0006946","0.0003252","0.001641"
"0.0175","11.15","0.007648","11.16","0.0009065","0.0003709","0.001963"
"0.02","10.1","0.00772","10.11","0.001142","0.0004151","0.002298"
"0.025","8.556","0.007822","8.564","0.001682","0.0005","0.003007"
"0.03","7.48","0.007892","7.487","0.002308","0.0005807","0.003766"
"0.035","6.682","0.007946","6.69","0.003016","0.0006579","0.004572"
"0.04","6.067","0.007988","6.075","0.003802","0.0007322","0.005424"
"0.045","5.576","0.008026","5.584","0.004661","0.0008038","0.00632"
"0.05","5.175","0.008061","5.183","0.005592","0.0008731","0.007257"
"0.055","4.842","0.008092","4.85","0.00659","0.0009403","0.008235"
"0.06","4.559","0.008124","4.568","0.007653","0.001006","0.009252"
"0.07","4.107","0.008185","4.116","0.009964","0.001131","0.01139"
"0.08","3.761","0.008248","3.769","0.01251","0.001251","0.01368"
"0.09","3.487","0.008317","3.496","0.01526","0.001366","0.01608"
"0.1","3.265","0.008389","3.274","0.01822","0.001476","0.01861"
"0.125","2.859","0.008591","2.867","0.02642","0.001737","0.02538"
"0.15","2.583","0.008821","2.592","0.03561","0.001981","0.03271"
"0.175","2.385","0.009075","2.394","0.04566","0.002212","0.0405"
"0.2","2.236","0.009349","2.245","0.05646","0.002433","0.04868"
"0.25","2.028","0.009951","2.038","0.07991","0.002852","0.06592"
"0.3","1.892","0.01062","1.903","0.1054","0.003249","0.08402"
"0.35","1.797","0.01133","1.809","0.1323","0.003631","0.1027"
"0.4","1.729","0.01209","1.741","0.1606","0.004003","0.1216"
"0.45","1.677","0.0129","1.69","0.1897","0.004368","0.1407"
"0.5","1.638","0.01374","1.652","0.2197","0.004728","0.1599"
"0.55","1.608","0.01461","1.623","0.2502","0.005085","0.179"
"0.6","1.585","0.01551","1.6","0.2812","0.005441","0.198"
"0.7","1.551","0.0174","1.568","0.3444","0.006148","0.2355"
"0.8","1.529","0.01938","1.549","0.4086","0.006855","0.2721"
"0.9","1.516","0.02145","1.537","0.4734","0.007564","0.3077"
"1","1.507","0.0236","1.531","0.5386","0.008275","0.3424"
"1.25","1.5","0.02927","1.529","0.7022","0.01007","0.4248"
"1.5","1.502","0.03533","1.538","0.8652","0.0119","0.502"
"1.75","1.509","0.04171","1.551","1.027","0.01376","0.5747"
"2","1.518","0.04833","1.567","1.188","0.01565","0.6439"
"2.5","1.538","0.06223","1.6","1.503","0.01949","0.7743"
"3","1.558","0.07682","1.634","1.812","0.0234","0.8976"
"3.5","1.575","0.09197","1.667","2.115","0.02736","1.016"
"4","1.591","0.1076","1.699","2.412","0.03134","1.131"
"4.5","1.605","0.1236","1.729","2.704","0.03535","1.243"
"5","1.618","0.1399","1.758","2.991","0.03937","1.351"
"5.5","1.629","0.1566","1.786","3.273","0.0434","1.456"
"6","1.639","0.1735","1.813","3.551","0.04742","1.557"
"7","1.657","0.2081","1.865","4.095","0.05546","1.748"
"8","1.672","0.2435","1.916","4.624","0.06344","1.925"
"9","1.685","0.2795","1.965","5.139","0.07136","2.088"
"10","1.697","0.3161","2.013","5.642","0.07919","2.239"
"12.5","1.721","0.4098","2.13","6.849","0.09833","2.574"
"15","1.74","0.5057","2.245","7.992","0.1168","2.858"
"17.5","1.756","0.6033","2.359","9.078","0.1345","3.105"
"20","1.769","0.7023","2.472","10.11","0.1514","3.323"
"25","1.791","0.9035","2.695","12.05","0.1832","3.694"
"30","1.809","1.108","2.917","13.83","0.2123","4.003"
"35","1.824","1.314","3.139","15.48","0.2391","4.268"
"40","1.837","1.523","3.36","17.02","0.2638","4.501"
"45","1.848","1.733","3.581","18.47","0.2865","4.709"
"50","1.858","1.944","3.802","19.82","0.3077","4.897"
"55","1.866","2.156","4.023","21.1","0.3273","5.068"
"60","1.874","2.369","4.244","22.31","0.3457","5.226"
"70","1.888","2.798","4.686","24.55","0.3789","5.509"
"80","1.9","3.23","5.129","26.59","0.4083","5.757"
"90","1.91","3.663","5.573","28.46","0.4344","5.979"
"100","1.919","4.099","6.017","30.19","0.458","6.179"
"125","1.937","5.193","7.13","34","0.5076","6.606"
"150","1.952","6.294","8.246","37.26","0.5474","6.96"
"175","1.964","7.401","9.365","40.1","0.5803","7.261"
"200","1.975","8.511","10.49","42.62","0.6079","7.524"
"250","1.992","10.74","12.73","46.94","0.652","7.964"
"300","2.006","12.98","14.98","50.56","0.6859","8.325"
"350","2.018","15.22","17.24","53.67","0.7129","8.631"
"400","2.029","17.47","19.5","56.39","0.735","8.897"
"450","2.038","19.72","21.76","58.82","0.7535","9.131"
"500","2.046","21.97","24.02","61.01","0.7692","9.341"
"550","2.053","24.23","26.28","62.99","0.7828","9.531"
"600","2.06","26.48","28.54","64.82","0.7946","9.705"
"700","2.072","31","33.08","68.07","0.8144","10.01"
"800","2.082","35.53","37.61","70.9","0.8302","10.28"
"900","2.091","40.06","42.15","73.41","0.8433","10.51"
"1000","2.099","44.59","46.69","75.67","0.8542","10.72"
