"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.675","0.01872","9.693","0.0006721","0.0009441","0.002062"
"0.0125","8.38","0.02038","8.4","0.0009501","0.001191","0.002654"
"0.015","7.432","0.02172","7.454","0.001267","0.001438","0.003279"
"0.0175","6.706","0.02285","6.729","0.00162","0.001683","0.003937"
"0.02","6.131","0.02382","6.154","0.002009","0.001927","0.004629"
"0.025","5.272","0.02543","5.297","0.002888","0.002409","0.006116"
"0.03","4.659","0.02674","4.686","0.003894","0.002883","0.007744"
"0.035","4.198","0.02785","4.226","0.00502","0.00335","0.009511"
"0.04","3.838","0.02883","3.867","0.006258","0.003809","0.01141"
"0.045","3.548","0.0297","3.578","0.007604","0.004262","0.01344"
"0.05","3.309","0.03049","3.34","0.009052","0.004707","0.01559"
"0.055","3.109","0.03123","3.14","0.0106","0.005146","0.01785"
"0.06","2.939","0.03191","2.971","0.01224","0.00558","0.0202"
"0.07","2.664","0.03317","2.697","0.01577","0.006429","0.02512"
"0.08","2.452","0.0343","2.486","0.01964","0.007257","0.03025"
"0.09","2.283","0.03533","2.318","0.02381","0.008064","0.0355"
"0.1","2.145","0.0363","2.181","0.02826","0.008852","0.04081"
"0.125","1.892","0.03848","1.93","0.04049","0.01074","0.05404"
"0.15","1.719","0.04041","1.759","0.05409","0.01253","0.06699"
"0.175","1.594","0.04219","1.636","0.06885","0.01423","0.07958"
"0.2","1.5","0.04387","1.544","0.0846","0.01584","0.09183"
"0.25","1.369","0.0471","1.416","0.1185","0.01885","0.1154"
"0.3","1.283","0.0503","1.333","0.155","0.02163","0.138"
"0.35","1.223","0.05353","1.277","0.1934","0.02423","0.1599"
"0.4","1.181","0.05681","1.238","0.2332","0.02669","0.1811"
"0.45","1.149","0.06018","1.209","0.2741","0.02904","0.2017"
"0.5","1.125","0.06362","1.189","0.3158","0.0313","0.2218"
"0.55","1.107","0.06712","1.174","0.3581","0.03349","0.2414"
"0.6","1.093","0.07069","1.164","0.4009","0.03561","0.2606"
"0.7","1.074","0.07801","1.152","0.4873","0.0397","0.2977"
"0.8","1.063","0.08554","1.148","0.5743","0.04362","0.3333"
"0.9","1.056","0.09326","1.15","0.6613","0.04742","0.3675"
"1","1.053","0.1012","1.154","0.7482","0.05112","0.4005"
"1.25","1.053","0.1216","1.175","0.963","0.06002","0.4779"
"1.5","1.059","0.143","1.203","1.173","0.06857","0.5492"
"1.75","1.068","0.1651","1.233","1.379","0.07684","0.6155"
"2","1.078","0.1878","1.266","1.579","0.08488","0.6774"
"2.5","1.097","0.2346","1.332","1.964","0.1004","0.7909"
"3","1.116","0.2829","1.399","2.33","0.1152","0.8935"
"3.5","1.133","0.3324","1.465","2.679","0.1294","0.9878"
"4","1.148","0.3828","1.531","3.013","0.1431","1.075"
"4.5","1.162","0.4341","1.596","3.333","0.1562","1.158"
"5","1.174","0.4861","1.66","3.64","0.1688","1.235"
"5.5","1.186","0.5388","1.724","3.936","0.181","1.308"
"6","1.196","0.592","1.788","4.221","0.1927","1.378"
"7","1.215","0.7001","1.915","4.761","0.215","1.508"
"8","1.231","0.81","2.041","5.267","0.2358","1.627"
"9","1.245","0.9214","2.167","5.742","0.2553","1.737"
"10","1.258","1.034","2.292","6.191","0.2736","1.839"
"12.5","1.284","1.321","2.605","7.213","0.3149","2.068"
"15","1.305","1.613","2.918","8.119","0.3508","2.266"
"17.5","1.323","1.909","3.232","8.933","0.3825","2.442"
"20","1.338","2.209","3.547","9.671","0.4106","2.601"
"25","1.362","2.819","4.181","10.97","0.4584","2.879"
"30","1.381","3.437","4.818","12.08","0.4978","3.12"
"35","1.396","4.062","5.458","13.06","0.5309","3.333"
"40","1.409","4.693","6.102","13.92","0.5591","3.525"
"45","1.421","5.329","6.749","14.7","0.5836","3.699"
"50","1.43","5.968","7.398","15.41","0.6051","3.858"
"55","1.439","6.611","8.05","16.06","0.6241","4.005"
"60","1.447","7.256","8.703","16.65","0.6411","4.142"
"70","1.46","8.554","10.01","17.72","0.6701","4.389"
"80","1.472","9.86","11.33","18.66","0.6942","4.608"
"90","1.482","11.17","12.65","19.5","0.7144","4.804"
"100","1.49","12.49","13.98","20.25","0.7318","4.982"
"125","1.508","15.8","17.31","21.85","0.7662","5.367"
"150","1.522","19.12","20.65","23.17","0.7918","5.688"
"175","1.534","22.46","24","24.3","0.8118","5.964"
"200","1.544","25.81","27.35","25.27","0.8278","6.207"
"250","1.56","32.52","34.08","26.9","0.8521","6.618"
"300","1.573","39.25","40.82","28.24","0.8698","6.959"
"350","1.584","45.98","47.57","29.38","0.8833","7.25"
"400","1.593","52.73","54.32","30.36","0.8939","7.504"
"450","1.601","59.48","61.08","31.23","0.9026","7.729"
"500","1.608","66.24","67.85","32","0.9099","7.932"
"550","1.614","73.01","74.62","32.71","0.916","8.116"
"600","1.62","79.78","81.4","33.35","0.9213","8.284"
"700","1.63","93.33","94.96","34.48","0.9299","8.583"
"800","1.639","106.9","108.5","35.47","0.9367","8.843"
"900","1.647","120.5","122.1","36.34","0.9421","9.073"
"1000","1.654","134","135.7","37.11","0.9466","9.279"
