"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.42","0.01632","10.43","0.0006043","0.000771","0.0005988"
"0.0125","8.978","0.01758","8.995","0.0008632","0.0009687","0.0007681"
"0.015","7.933","0.01859","7.952","0.00116","0.001165","0.000945"
"0.0175","7.138","0.01943","7.158","0.001491","0.00136","0.001129"
"0.02","6.511","0.02014","6.531","0.001858","0.001552","0.001321"
"0.025","5.58","0.0213","5.601","0.002687","0.001931","0.001725"
"0.03","4.919","0.02223","4.942","0.00364","0.002301","0.002156"
"0.035","4.424","0.02301","4.447","0.004709","0.002664","0.002613"
"0.04","4.039","0.02368","4.062","0.005887","0.003019","0.003096"
"0.045","3.729","0.02428","3.753","0.007169","0.003367","0.003602"
"0.05","3.475","0.02481","3.5","0.00855","0.003708","0.004132"
"0.055","3.262","0.0253","3.287","0.01002","0.004043","0.004684"
"0.06","3.081","0.02575","3.107","0.01159","0.004372","0.005258"
"0.07","2.79","0.02657","2.816","0.01498","0.005014","0.006466"
"0.08","2.565","0.02731","2.593","0.01868","0.005636","0.007752"
"0.09","2.387","0.02799","2.415","0.02268","0.006239","0.009109"
"0.1","2.242","0.02862","2.27","0.02696","0.006826","0.01053"
"0.125","1.975","0.03004","2.005","0.03872","0.008223","0.01435"
"0.15","1.794","0.03134","1.825","0.05182","0.009535","0.0185"
"0.175","1.662","0.03254","1.695","0.06606","0.01077","0.02292"
"0.2","1.564","0.03369","1.597","0.08127","0.01194","0.02757"
"0.25","1.426","0.03597","1.462","0.1141","0.01413","0.03746"
"0.3","1.336","0.03828","1.375","0.1494","0.01615","0.04795"
"0.35","1.274","0.04066","1.315","0.1866","0.01804","0.05891"
"0.4","1.23","0.04312","1.273","0.2253","0.01984","0.07023"
"0.45","1.197","0.04568","1.242","0.2651","0.02156","0.08185"
"0.5","1.172","0.04832","1.22","0.3057","0.02322","0.09369"
"0.55","1.153","0.05103","1.204","0.347","0.02484","0.1057"
"0.6","1.138","0.05382","1.192","0.3888","0.02642","0.1179"
"0.7","1.118","0.05957","1.178","0.4732","0.02948","0.1427"
"0.8","1.106","0.06552","1.171","0.5584","0.03245","0.1679"
"0.9","1.099","0.07167","1.171","0.6438","0.03536","0.1934"
"1","1.095","0.07799","1.173","0.7292","0.03821","0.219"
"1.25","1.095","0.09449","1.19","0.9409","0.04516","0.2833"
"1.5","1.101","0.1118","1.213","1.149","0.05194","0.3471"
"1.75","1.109","0.1298","1.239","1.353","0.05859","0.4094"
"2","1.118","0.1483","1.267","1.553","0.06514","0.47"
"2.5","1.137","0.1867","1.324","1.939","0.07795","0.585"
"3","1.155","0.2265","1.381","2.309","0.09039","0.6919"
"3.5","1.171","0.2673","1.438","2.663","0.1025","0.7913"
"4","1.186","0.309","1.495","3.004","0.1142","0.8841"
"4.5","1.199","0.3514","1.55","3.333","0.1256","0.9709"
"5","1.211","0.3945","1.606","3.65","0.1367","1.053"
"5.5","1.222","0.4382","1.661","3.956","0.1474","1.13"
"6","1.233","0.4824","1.715","4.252","0.1578","1.203"
"7","1.251","0.5722","1.823","4.818","0.1778","1.339"
"8","1.267","0.6636","1.93","5.351","0.1967","1.463"
"9","1.28","0.7563","2.037","5.855","0.2146","1.579"
"10","1.293","0.8501","2.143","6.334","0.2316","1.687"
"12.5","1.318","1.089","2.407","7.434","0.2704","1.931"
"15","1.338","1.332","2.67","8.42","0.3047","2.147"
"17.5","1.354","1.58","2.934","9.312","0.3354","2.341"
"20","1.368","1.83","3.198","10.13","0.3629","2.517"
"25","1.39","2.338","3.728","11.58","0.4105","2.827"
"30","1.407","2.854","4.261","12.83","0.4503","3.093"
"35","1.421","3.376","4.797","13.93","0.4842","3.327"
"40","1.433","3.902","5.335","14.92","0.5134","3.534"
"45","1.444","4.432","5.876","15.81","0.5389","3.721"
"50","1.453","4.966","6.418","16.63","0.5615","3.89"
"55","1.461","5.502","6.962","17.38","0.5815","4.046"
"60","1.468","6.04","7.508","18.07","0.5995","4.19"
"70","1.481","7.122","8.603","19.31","0.6305","4.45"
"80","1.491","8.211","9.702","20.4","0.6564","4.679"
"90","1.501","9.304","10.81","21.38","0.6784","4.884"
"100","1.509","10.4","11.91","22.26","0.6973","5.07"
"125","1.526","13.16","14.68","24.15","0.7349","5.471"
"150","1.539","15.93","17.47","25.71","0.7632","5.805"
"175","1.55","18.71","20.26","27.04","0.7853","6.091"
"200","1.559","21.5","23.06","28.19","0.8031","6.341"
"250","1.575","27.09","28.67","30.13","0.8303","6.762"
"300","1.587","32.7","34.29","31.73","0.8502","7.11"
"350","1.598","38.32","39.91","33.08","0.8655","7.406"
"400","1.607","43.94","45.55","34.25","0.8776","7.664"
"450","1.614","49.58","51.19","35.28","0.8875","7.892"
"500","1.621","55.21","56.83","36.21","0.8957","8.096"
"550","1.628","60.86","62.48","37.05","0.9027","8.282"
"600","1.633","66.5","68.14","37.81","0.9088","8.452"
"700","1.643","77.8","79.45","39.17","0.9186","8.754"
"800","1.652","89.11","90.76","40.35","0.9264","9.017"
"900","1.66","100.4","102.1","41.39","0.9326","9.249"
"1000","1.666","111.8","113.4","42.32","0.9378","9.458"
