"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","14.46","0.009835","14.47","0.0004104","0.0003509","0.002037"
"0.0125","12.31","0.01025","12.32","0.0005983","0.000432","0.002585"
"0.015","10.78","0.01056","10.79","0.0008157","0.0005109","0.003148"
"0.0175","9.634","0.0108","9.644","0.001061","0.0005878","0.003727"
"0.02","8.737","0.01099","8.748","0.001334","0.0006629","0.00432"
"0.025","7.424","0.01129","7.435","0.001956","0.0008081","0.005551"
"0.03","6.503","0.0115","6.514","0.002677","0.0009472","0.006838"
"0.035","5.819","0.01167","5.831","0.00349","0.001081","0.008181"
"0.04","5.29","0.0118","5.301","0.00439","0.00121","0.009578"
"0.045","4.867","0.01192","4.879","0.005375","0.001335","0.01103"
"0.05","4.522","0.01202","4.534","0.006439","0.001456","0.01253"
"0.055","4.234","0.0121","4.246","0.007579","0.001574","0.01407"
"0.06","3.99","0.01218","4.002","0.008793","0.001689","0.01567"
"0.07","3.598","0.01233","3.611","0.01143","0.001909","0.01899"
"0.08","3.298","0.01246","3.311","0.01433","0.002119","0.02247"
"0.09","3.06","0.01259","3.073","0.01746","0.002321","0.02611"
"0.1","2.867","0.01272","2.88","0.02083","0.002514","0.02987"
"0.125","2.514","0.01306","2.527","0.03013","0.002971","0.03978"
"0.15","2.274","0.01341","2.287","0.04056","0.003396","0.05023"
"0.175","2.101","0.01379","2.115","0.05195","0.003796","0.06105"
"0.2","1.971","0.01419","1.985","0.06416","0.004176","0.07212"
"0.25","1.789","0.01506","1.804","0.09067","0.004892","0.09467"
"0.3","1.67","0.016","1.686","0.1194","0.005563","0.1174"
"0.35","1.588","0.01702","1.605","0.1498","0.006204","0.1402"
"0.4","1.528","0.01811","1.546","0.1816","0.006824","0.1629"
"0.45","1.483","0.01925","1.502","0.2144","0.007428","0.1855"
"0.5","1.449","0.02044","1.47","0.2481","0.008021","0.208"
"0.55","1.423","0.02169","1.445","0.2824","0.008607","0.2304"
"0.6","1.402","0.02297","1.425","0.3173","0.009187","0.2527"
"0.7","1.373","0.02566","1.399","0.3882","0.01034","0.2969"
"0.8","1.355","0.02848","1.383","0.4601","0.01148","0.3407"
"0.9","1.343","0.03141","1.374","0.5326","0.01262","0.3841"
"1","1.335","0.03446","1.37","0.6055","0.01375","0.427"
"1.25","1.328","0.0425","1.371","0.7881","0.01662","0.5317"
"1.5","1.33","0.05107","1.381","0.9699","0.01951","0.6321"
"1.75","1.336","0.06006","1.396","1.15","0.02244","0.7277"
"2","1.343","0.0694","1.412","1.328","0.02539","0.8184"
"2.5","1.359","0.08894","1.448","1.678","0.03137","0.9855"
"3","1.376","0.1094","1.485","2.019","0.0374","1.136"
"3.5","1.391","0.1306","1.521","2.351","0.04345","1.271"
"4","1.405","0.1523","1.557","2.676","0.04949","1.395"
"4.5","1.418","0.1746","1.593","2.993","0.05552","1.509"
"5","1.43","0.1974","1.627","3.304","0.06152","1.615"
"5.5","1.441","0.2205","1.661","3.608","0.06747","1.713"
"6","1.451","0.244","1.695","3.906","0.07337","1.806"
"7","1.469","0.2919","1.761","4.485","0.08502","1.975"
"8","1.485","0.3408","1.825","5.042","0.09643","2.129"
"9","1.498","0.3906","1.889","5.581","0.1076","2.271"
"10","1.51","0.4411","1.952","6.102","0.1185","2.402"
"12.5","1.535","0.5701","2.105","7.335","0.1445","2.696"
"15","1.555","0.7019","2.257","8.481","0.169","2.953"
"17.5","1.571","0.8361","2.407","9.554","0.1919","3.182"
"20","1.584","0.9721","2.556","10.56","0.2134","3.388"
"25","1.606","1.248","2.854","12.41","0.2527","3.746"
"30","1.622","1.528","3.15","14.08","0.2875","4.05"
"35","1.636","1.811","3.447","15.6","0.3187","4.313"
"40","1.648","2.096","3.744","16.99","0.3467","4.545"
"45","1.658","2.384","4.042","18.27","0.3721","4.752"
"50","1.667","2.673","4.34","19.46","0.3952","4.939"
"55","1.675","2.963","4.639","20.58","0.4163","5.11"
"60","1.683","3.255","4.938","21.62","0.4357","5.266"
"70","1.696","3.843","5.538","23.53","0.4702","5.547"
"80","1.707","4.433","6.14","25.25","0.5","5.792"
"90","1.716","5.027","6.743","26.8","0.526","6.01"
"100","1.724","5.623","7.348","28.22","0.549","6.206"
"125","1.742","7.122","8.864","31.32","0.5963","6.626"
"150","1.756","8.629","10.39","33.92","0.6332","6.974"
"175","1.768","10.14","11.91","36.17","0.663","7.27"
"200","1.778","11.66","13.44","38.14","0.6876","7.529"
"250","1.794","14.71","16.51","41.49","0.7262","7.965"
"300","1.808","17.77","19.58","44.27","0.7551","8.323"
"350","1.819","20.84","22.66","46.64","0.7778","8.627"
"400","1.828","23.91","25.74","48.71","0.7962","8.891"
"450","1.837","26.98","28.82","50.55","0.8113","9.125"
"500","1.844","30.06","31.91","52.19","0.8241","9.334"
"550","1.851","33.15","35","53.69","0.8351","9.524"
"600","1.857","36.23","38.09","55.06","0.8446","9.697"
"700","1.868","42.41","44.28","57.49","0.8603","10"
"800","1.878","48.59","50.47","59.61","0.8728","10.27"
"900","1.886","54.78","56.66","61.47","0.8831","10.51"
"1000","1.893","60.97","62.86","63.15","0.8916","10.72"
