"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.355","0.01933","9.374","0.0007069","0.00101","0.001758"
"0.0125","8.121","0.0211","8.142","0.000994","0.001273","0.002258"
"0.015","7.215","0.02254","7.237","0.00132","0.001537","0.002783"
"0.0175","6.518","0.02375","6.542","0.001684","0.001799","0.003336"
"0.02","5.965","0.0248","5.99","0.002084","0.00206","0.003916"
"0.025","5.137","0.02655","5.164","0.002986","0.002577","0.005162"
"0.03","4.545","0.02797","4.573","0.004018","0.003086","0.006529"
"0.035","4.099","0.0292","4.128","0.005171","0.003587","0.00802"
"0.04","3.75","0.03027","3.78","0.006438","0.004081","0.009642"
"0.045","3.469","0.03123","3.5","0.007814","0.004569","0.01139"
"0.05","3.237","0.03211","3.269","0.009294","0.005049","0.01328"
"0.055","3.042","0.03292","3.075","0.01087","0.005523","0.0153"
"0.06","2.877","0.03368","2.91","0.01254","0.005991","0.01744"
"0.07","2.609","0.03507","2.644","0.01616","0.00691","0.02207"
"0.08","2.403","0.03633","2.439","0.0201","0.007807","0.0271"
"0.09","2.238","0.03749","2.276","0.02435","0.008682","0.03242"
"0.1","2.104","0.03856","2.142","0.02888","0.009538","0.03795"
"0.125","1.856","0.04098","1.897","0.04132","0.0116","0.05217"
"0.15","1.688","0.04314","1.731","0.05515","0.01354","0.06639"
"0.175","1.565","0.04511","1.611","0.07015","0.01539","0.08032"
"0.2","1.473","0.04697","1.52","0.08615","0.01715","0.0939"
"0.25","1.345","0.05053","1.395","0.1206","0.02044","0.1201"
"0.3","1.261","0.05402","1.315","0.1576","0.02348","0.1453"
"0.35","1.203","0.05753","1.26","0.1964","0.02632","0.1697"
"0.4","1.161","0.06108","1.222","0.2368","0.02901","0.1934"
"0.45","1.13","0.0647","1.195","0.2782","0.03158","0.2164"
"0.5","1.107","0.06839","1.175","0.3204","0.03404","0.2389"
"0.55","1.089","0.07216","1.161","0.3632","0.03641","0.2608"
"0.6","1.075","0.07597","1.151","0.4065","0.03872","0.2822"
"0.7","1.057","0.08376","1.14","0.4938","0.04315","0.3236"
"0.8","1.045","0.09178","1.137","0.5817","0.04739","0.3632"
"0.9","1.039","0.09997","1.139","0.6696","0.05149","0.4012"
"1","1.036","0.1083","1.144","0.7572","0.05546","0.4376"
"1.25","1.036","0.13","1.166","0.9738","0.065","0.5227"
"1.5","1.042","0.1525","1.195","1.186","0.0741","0.6005"
"1.75","1.051","0.1758","1.226","1.392","0.08288","0.6721"
"2","1.06","0.1997","1.26","1.593","0.09139","0.7385"
"2.5","1.079","0.2488","1.328","1.98","0.1077","0.8587"
"3","1.098","0.2995","1.397","2.347","0.1233","0.9657"
"3.5","1.114","0.3513","1.466","2.696","0.1381","1.063"
"4","1.13","0.4041","1.534","3.03","0.1523","1.152"
"4.5","1.143","0.4578","1.601","3.349","0.1659","1.235"
"5","1.156","0.5122","1.668","3.655","0.179","1.312"
"5.5","1.167","0.5673","1.735","3.949","0.1916","1.385"
"6","1.178","0.623","1.801","4.231","0.2036","1.454"
"7","1.197","0.736","1.933","4.767","0.2265","1.583"
"8","1.213","0.8508","2.064","5.268","0.2478","1.7"
"9","1.227","0.9673","2.195","5.738","0.2677","1.808"
"10","1.24","1.085","2.325","6.18","0.2863","1.909"
"12.5","1.267","1.384","2.651","7.187","0.3281","2.134"
"15","1.288","1.689","2.977","8.076","0.3644","2.329"
"17.5","1.306","1.999","3.305","8.872","0.3961","2.502"
"20","1.321","2.313","3.633","9.594","0.4242","2.657"
"25","1.345","2.949","4.294","10.86","0.472","2.929"
"30","1.365","3.594","4.959","11.94","0.5111","3.162"
"35","1.381","4.247","5.627","12.89","0.5438","3.368"
"40","1.394","4.905","6.299","13.73","0.5717","3.553"
"45","1.406","5.569","6.974","14.48","0.5958","3.721"
"50","1.416","6.236","7.652","15.16","0.617","3.875"
"55","1.425","6.907","8.332","15.79","0.6356","4.018"
"60","1.433","7.582","9.015","16.37","0.6522","4.151"
"70","1.446","8.937","10.38","17.4","0.6807","4.391"
"80","1.458","10.3","11.76","18.3","0.7042","4.605"
"90","1.468","11.67","13.14","19.11","0.724","4.797"
"100","1.477","13.05","14.52","19.83","0.7409","4.972"
"125","1.495","16.5","18","21.38","0.7744","5.349"
"150","1.51","19.97","21.48","22.65","0.7993","5.665"
"175","1.522","23.46","24.98","23.72","0.8186","5.937"
"200","1.532","26.95","28.48","24.66","0.8341","6.176"
"250","1.548","33.96","35.5","26.23","0.8576","6.581"
"300","1.562","40.98","42.54","27.51","0.8747","6.918"
"350","1.573","48.01","49.58","28.6","0.8877","7.207"
"400","1.582","55.05","56.63","29.55","0.898","7.458"
"450","1.59","62.1","63.69","30.38","0.9064","7.682"
"500","1.597","69.15","70.75","31.12","0.9134","7.883"
"550","1.604","76.21","77.82","31.8","0.9193","8.066"
"600","1.61","83.28","84.89","32.41","0.9244","8.233"
"700","1.62","97.41","99.03","33.5","0.9327","8.531"
"800","1.629","111.6","113.2","34.44","0.9392","8.789"
"900","1.637","125.7","127.4","35.28","0.9444","9.019"
"1000","1.643","139.9","141.5","36.02","0.9488","9.224"
