"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","7.984","0.02101","8.005","0.0008983","0.001292","0.00181"
"0.0125","6.986","0.02327","7.009","0.001233","0.001629","0.002324"
"0.015","6.24","0.02516","6.266","0.001611","0.001968","0.002863"
"0.0175","5.662","0.02679","5.688","0.00203","0.00231","0.003423"
"0.02","5.198","0.02822","5.226","0.002489","0.002653","0.004006"
"0.025","4.499","0.03067","4.53","0.003521","0.00334","0.005231"
"0.03","3.995","0.03273","4.028","0.004694","0.004025","0.006526"
"0.035","3.613","0.03452","3.648","0.006001","0.004707","0.007882"
"0.04","3.313","0.03612","3.349","0.007433","0.005384","0.009289"
"0.045","3.07","0.03756","3.108","0.008984","0.006057","0.01074"
"0.05","2.87","0.03888","2.909","0.01065","0.006724","0.01222"
"0.055","2.701","0.04011","2.741","0.01242","0.007385","0.01372"
"0.06","2.557","0.04127","2.598","0.0143","0.008042","0.01525"
"0.07","2.325","0.04339","2.368","0.01833","0.009337","0.01834"
"0.08","2.144","0.04531","2.19","0.02273","0.01061","0.02147"
"0.09","2.001","0.04709","2.048","0.02746","0.01186","0.02462"
"0.1","1.883","0.04875","1.932","0.03249","0.01308","0.02776"
"0.125","1.666","0.05249","1.719","0.04626","0.01605","0.0356"
"0.15","1.518","0.05585","1.574","0.06149","0.01888","0.04337"
"0.175","1.411","0.05894","1.47","0.07795","0.02159","0.05103"
"0.2","1.33","0.06184","1.392","0.09545","0.02417","0.0586"
"0.25","1.218","0.06735","1.285","0.1329","0.02903","0.07344"
"0.3","1.144","0.07263","1.217","0.173","0.03355","0.08794"
"0.35","1.093","0.07782","1.171","0.2149","0.03777","0.1021"
"0.4","1.057","0.08294","1.14","0.2582","0.04175","0.116"
"0.45","1.031","0.08805","1.119","0.3025","0.04553","0.1296"
"0.5","1.011","0.09316","1.104","0.3475","0.04913","0.143"
"0.55","0.9956","0.09828","1.094","0.3931","0.05259","0.1561"
"0.6","0.9842","0.1034","1.088","0.4389","0.05591","0.1691"
"0.7","0.969","0.1137","1.083","0.5311","0.06223","0.1945"
"0.8","0.9604","0.1241","1.084","0.6234","0.06817","0.2192"
"0.9","0.956","0.1346","1.091","0.7154","0.07382","0.2434"
"1","0.9544","0.1452","1.1","0.8068","0.07921","0.2672"
"1.25","0.9572","0.1721","1.129","1.031","0.09184","0.3247"
"1.5","0.9649","0.1995","1.164","1.249","0.1035","0.3799"
"1.75","0.9744","0.2275","1.202","1.461","0.1145","0.4332"
"2","0.9844","0.2559","1.24","1.665","0.1249","0.4847"
"2.5","1.004","0.3139","1.318","2.056","0.1444","0.5832"
"3","1.022","0.3732","1.396","2.425","0.1625","0.6762"
"3.5","1.039","0.4338","1.473","2.774","0.1795","0.7646"
"4","1.054","0.4955","1.549","3.105","0.1955","0.8488"
"4.5","1.067","0.558","1.625","3.42","0.2106","0.9294"
"5","1.079","0.6214","1.7","3.721","0.225","1.007"
"5.5","1.09","0.6856","1.775","4.008","0.2387","1.081"
"6","1.1","0.7504","1.85","4.284","0.2518","1.152"
"7","1.117","0.8818","1.999","4.804","0.2764","1.287"
"8","1.132","1.015","2.147","5.287","0.299","1.412"
"9","1.145","1.151","2.296","5.737","0.3199","1.529"
"10","1.157","1.288","2.444","6.159","0.3394","1.639"
"12.5","1.18","1.636","2.816","7.111","0.3825","1.886"
"15","1.199","1.991","3.191","7.945","0.4193","2.102"
"17.5","1.215","2.352","3.567","8.685","0.4511","2.294"
"20","1.228","2.717","3.945","9.352","0.479","2.467"
"25","1.25","3.457","4.706","10.51","0.5258","2.768"
"30","1.266","4.208","5.474","11.49","0.5636","3.026"
"35","1.28","4.967","6.248","12.35","0.5948","3.252"
"40","1.292","5.733","7.025","13.1","0.6212","3.453"
"45","1.302","6.505","7.807","13.78","0.6438","3.635"
"50","1.311","7.282","8.593","14.39","0.6635","3.802"
"55","1.319","8.063","9.382","14.95","0.6808","3.954"
"60","1.326","8.847","10.17","15.46","0.6961","4.096"
"70","1.338","10.43","11.76","16.37","0.7221","4.352"
"80","1.349","12.01","13.36","17.17","0.7435","4.577"
"90","1.357","13.61","14.97","17.87","0.7614","4.779"
"100","1.365","15.21","16.58","18.51","0.7766","4.962"
"125","1.382","19.24","20.62","19.86","0.8064","5.357"
"150","1.395","23.29","24.69","20.96","0.8285","5.685"
"175","1.405","27.36","28.77","21.9","0.8455","5.966"
"200","1.414","31.44","32.86","22.71","0.8591","6.213"
"250","1.429","39.62","41.05","24.07","0.8795","6.63"
"300","1.441","47.82","49.26","25.18","0.8943","6.975"
"350","1.451","56.04","57.49","26.12","0.9055","7.268"
"400","1.46","64.26","65.72","26.93","0.9144","7.525"
"450","1.467","72.5","73.97","27.65","0.9215","7.752"
"500","1.474","80.74","82.21","28.29","0.9275","7.956"
"550","1.48","88.99","90.47","28.87","0.9325","8.141"
"600","1.486","97.24","98.72","29.4","0.9369","8.31"
"700","1.495","113.7","115.2","30.34","0.9439","8.611"
"800","1.503","130.3","131.8","31.15","0.9494","8.872"
"900","1.511","146.8","148.3","31.86","0.9538","9.103"
"1000","1.517","163.3","164.8","32.5","0.9575","9.31"
