"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","14.03","0.01002","14.04","0.0004243","0.0003677","0.00261"
"0.0125","11.95","0.01046","11.96","0.000618","0.0004531","0.00332"
"0.015","10.47","0.01078","10.48","0.0008419","0.0005362","0.004053"
"0.0175","9.358","0.01104","9.369","0.001095","0.0006174","0.004809"
"0.02","8.49","0.01125","8.501","0.001375","0.0006967","0.005588"
"0.025","7.217","0.01157","7.229","0.002016","0.0008501","0.007213"
"0.03","6.324","0.0118","6.336","0.002757","0.0009972","0.008927"
"0.035","5.66","0.01198","5.672","0.003592","0.001139","0.01073"
"0.04","5.146","0.01213","5.159","0.004518","0.001276","0.01261"
"0.045","4.736","0.01226","4.748","0.00553","0.001408","0.01458"
"0.05","4.4","0.01236","4.413","0.006623","0.001536","0.01663"
"0.055","4.121","0.01246","4.133","0.007795","0.001661","0.01876"
"0.06","3.883","0.01255","3.896","0.009041","0.001783","0.02096"
"0.07","3.503","0.01271","3.516","0.01175","0.002016","0.02555"
"0.08","3.211","0.01285","3.224","0.01472","0.00224","0.03039"
"0.09","2.98","0.01299","2.993","0.01795","0.002453","0.03544"
"0.1","2.792","0.01313","2.805","0.0214","0.002659","0.04066"
"0.125","2.448","0.01348","2.461","0.03095","0.003144","0.05425"
"0.15","2.214","0.01385","2.228","0.04166","0.003596","0.06832"
"0.175","2.045","0.01425","2.059","0.05335","0.004021","0.08259"
"0.2","1.918","0.01466","1.933","0.06589","0.004425","0.09689"
"0.25","1.742","0.01555","1.757","0.09311","0.005184","0.1253"
"0.3","1.626","0.01653","1.642","0.1226","0.005897","0.1532"
"0.35","1.545","0.01757","1.563","0.1539","0.006577","0.1806"
"0.4","1.487","0.01869","1.505","0.1865","0.007234","0.2075"
"0.45","1.443","0.01986","1.463","0.2202","0.007874","0.234"
"0.5","1.41","0.02109","1.431","0.2548","0.008502","0.2602"
"0.55","1.384","0.02236","1.407","0.29","0.009121","0.286"
"0.6","1.364","0.02368","1.388","0.3258","0.009735","0.3115"
"0.7","1.335","0.02643","1.362","0.3986","0.01095","0.3616"
"0.8","1.317","0.02932","1.346","0.4725","0.01216","0.4106"
"0.9","1.305","0.03234","1.338","0.5471","0.01336","0.4587"
"1","1.298","0.03546","1.334","0.6219","0.01456","0.5058"
"1.25","1.291","0.04371","1.335","0.8095","0.01758","0.6194"
"1.5","1.293","0.0525","1.345","0.9961","0.02063","0.7268"
"1.75","1.298","0.06172","1.36","1.181","0.02371","0.8282"
"2","1.305","0.0713","1.376","1.364","0.02682","0.9238"
"2.5","1.32","0.09132","1.412","1.723","0.03311","1.099"
"3","1.336","0.1123","1.448","2.072","0.03944","1.255"
"3.5","1.351","0.134","1.485","2.413","0.04579","1.397"
"4","1.365","0.1563","1.521","2.746","0.05213","1.525"
"4.5","1.377","0.1791","1.556","3.071","0.05844","1.643"
"5","1.389","0.2024","1.591","3.389","0.06471","1.752"
"5.5","1.399","0.226","1.625","3.7","0.07093","1.853"
"6","1.409","0.2501","1.659","4.004","0.0771","1.948"
"7","1.426","0.2991","1.725","4.595","0.08925","2.122"
"8","1.441","0.3491","1.791","5.164","0.1011","2.28"
"9","1.455","0.4001","1.855","5.713","0.1127","2.424"
"10","1.466","0.4517","1.918","6.243","0.124","2.558"
"12.5","1.491","0.5836","2.074","7.496","0.151","2.856"
"15","1.51","0.7183","2.228","8.658","0.1762","3.115"
"17.5","1.525","0.8554","2.381","9.744","0.1998","3.346"
"20","1.538","0.9944","2.533","10.76","0.2218","3.553"
"25","1.559","1.276","2.835","12.63","0.2619","3.914"
"30","1.576","1.562","3.138","14.3","0.2974","4.219"
"35","1.589","1.851","3.44","15.82","0.329","4.483"
"40","1.601","2.143","3.743","17.22","0.3573","4.716"
"45","1.611","2.436","4.047","18.5","0.3829","4.924"
"50","1.62","2.731","4.351","19.69","0.4061","5.111"
"55","1.627","3.028","4.656","20.8","0.4273","5.283"
"60","1.635","3.326","4.961","21.84","0.4468","5.44"
"70","1.647","3.926","5.573","23.74","0.4812","5.721"
"80","1.658","4.529","6.187","25.45","0.5109","5.967"
"90","1.667","5.135","6.802","26.99","0.5368","6.185"
"100","1.675","5.744","7.419","28.39","0.5596","6.382"
"125","1.693","7.274","8.967","31.45","0.6064","6.803"
"150","1.706","8.814","10.52","34.03","0.6429","7.151"
"175","1.718","10.36","12.08","36.24","0.6722","7.448"
"200","1.728","11.91","13.64","38.19","0.6964","7.707"
"250","1.744","15.02","16.77","41.49","0.7342","8.143"
"300","1.757","18.14","19.9","44.22","0.7626","8.502"
"350","1.768","21.27","23.04","46.56","0.7847","8.806"
"400","1.777","24.41","26.19","48.59","0.8026","9.07"
"450","1.785","27.55","29.33","50.39","0.8174","9.304"
"500","1.793","30.69","32.48","52.01","0.8299","9.513"
"550","1.8","33.84","35.64","53.48","0.8406","9.703"
"600","1.806","36.99","38.79","54.83","0.8498","9.876"
"700","1.816","43.29","45.11","57.22","0.8651","10.18"
"800","1.826","49.6","51.42","59.29","0.8772","10.45"
"900","1.834","55.91","57.74","61.12","0.8871","10.68"
"1000","1.841","62.23","64.07","62.77","0.8954","10.89"
