"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.974","0.01977","8.993","0.000749","0.001076","0.0009911"
"0.0125","7.806","0.02165","7.828","0.001048","0.001357","0.001263"
"0.015","6.945","0.0232","6.968","0.001387","0.001639","0.001544"
"0.0175","6.281","0.0245","6.306","0.001765","0.00192","0.001834"
"0.02","5.753","0.02563","5.779","0.002179","0.0022","0.002133"
"0.025","4.961","0.02752","4.989","0.003114","0.002756","0.002758"
"0.03","4.394","0.02908","4.423","0.004181","0.003305","0.003417"
"0.035","3.966","0.03042","3.996","0.005372","0.003846","0.004109"
"0.04","3.631","0.0316","3.662","0.006681","0.004381","0.004834"
"0.045","3.36","0.03267","3.393","0.008101","0.004908","0.005591"
"0.05","3.137","0.03364","3.171","0.009627","0.00543","0.006378"
"0.055","2.95","0.03454","2.985","0.01125","0.005944","0.007195"
"0.06","2.791","0.03539","2.826","0.01298","0.006453","0.008041"
"0.07","2.533","0.03694","2.57","0.01669","0.007453","0.009817"
"0.08","2.334","0.03834","2.373","0.02075","0.00843","0.0117"
"0.09","2.176","0.03964","2.216","0.02511","0.009385","0.01369"
"0.1","2.047","0.04084","2.088","0.02977","0.01032","0.01577"
"0.125","1.808","0.04355","1.852","0.04253","0.01257","0.02139"
"0.15","1.646","0.04595","1.692","0.05668","0.0147","0.02755"
"0.175","1.528","0.04814","1.576","0.07202","0.01673","0.0342"
"0.2","1.439","0.05021","1.489","0.08835","0.01865","0.04131"
"0.25","1.315","0.05414","1.37","0.1235","0.02226","0.05677"
"0.3","1.234","0.05797","1.292","0.1611","0.02558","0.0737"
"0.35","1.178","0.06179","1.24","0.2007","0.0287","0.09188"
"0.4","1.138","0.06565","1.203","0.2416","0.03164","0.1111"
"0.45","1.108","0.06956","1.177","0.2836","0.03443","0.131"
"0.5","1.085","0.07353","1.159","0.3265","0.03712","0.1515"
"0.55","1.068","0.07755","1.146","0.3699","0.03971","0.1723"
"0.6","1.055","0.08162","1.136","0.4137","0.04221","0.1932"
"0.7","1.036","0.08993","1.126","0.5022","0.04702","0.2352"
"0.8","1.025","0.09841","1.124","0.5911","0.05161","0.2768"
"0.9","1.019","0.1071","1.126","0.68","0.05602","0.3176"
"1","1.016","0.1159","1.132","0.7686","0.0603","0.3575"
"1.25","1.016","0.1387","1.154","0.9875","0.07051","0.4528"
"1.5","1.021","0.1624","1.183","1.201","0.08022","0.5416"
"1.75","1.029","0.1868","1.215","1.41","0.08955","0.6242"
"2","1.037","0.2117","1.249","1.613","0.09856","0.7015"
"2.5","1.055","0.263","1.318","2.003","0.1158","0.8423"
"3","1.072","0.3158","1.388","2.372","0.1321","0.9684"
"3.5","1.087","0.3698","1.457","2.724","0.1476","1.083"
"4","1.101","0.4248","1.526","3.059","0.1625","1.188"
"4.5","1.114","0.4806","1.595","3.38","0.1766","1.286"
"5","1.126","0.5372","1.663","3.687","0.1902","1.378"
"5.5","1.136","0.5945","1.731","3.981","0.2032","1.463"
"6","1.146","0.6523","1.798","4.265","0.2157","1.544"
"7","1.163","0.7697","1.933","4.801","0.2393","1.694"
"8","1.178","0.889","2.067","5.301","0.2612","1.83"
"9","1.191","1.01","2.201","5.77","0.2816","1.955"
"10","1.203","1.132","2.335","6.211","0.3006","2.07"
"12.5","1.227","1.443","2.67","7.212","0.3432","2.324"
"15","1.247","1.759","3.006","8.094","0.38","2.544"
"17.5","1.263","2.081","3.343","8.882","0.412","2.737"
"20","1.277","2.406","3.682","9.594","0.4403","2.91"
"25","1.299","3.065","4.364","10.84","0.4881","3.212"
"30","1.316","3.735","5.051","11.9","0.527","3.471"
"35","1.331","4.412","5.743","12.83","0.5595","3.698"
"40","1.343","5.096","6.439","13.65","0.5871","3.901"
"45","1.353","5.784","7.138","14.39","0.6109","4.084"
"50","1.362","6.477","7.84","15.06","0.6316","4.252"
"55","1.371","7.174","8.544","15.67","0.65","4.405"
"60","1.378","7.873","9.251","16.23","0.6662","4.548"
"70","1.391","9.28","10.67","17.24","0.694","4.804"
"80","1.401","10.7","12.1","18.12","0.7169","5.031"
"90","1.411","12.12","13.53","18.9","0.7362","5.233"
"100","1.419","13.55","14.96","19.6","0.7526","5.417"
"125","1.436","17.13","18.57","21.1","0.785","5.812"
"150","1.449","20.74","22.19","22.33","0.809","6.141"
"175","1.46","24.36","25.82","23.37","0.8276","6.423"
"200","1.47","27.98","29.45","24.28","0.8425","6.67"
"250","1.485","35.25","36.74","25.79","0.8651","7.088"
"300","1.498","42.54","44.04","27.04","0.8814","7.433"
"350","1.508","49.84","51.35","28.09","0.8938","7.728"
"400","1.517","57.15","58.66","29","0.9036","7.984"
"450","1.525","64.46","65.99","29.8","0.9116","8.212"
"500","1.532","71.78","73.31","30.52","0.9183","8.416"
"550","1.538","79.11","80.65","31.17","0.9239","8.601"
"600","1.544","86.45","87.99","31.76","0.9287","8.77"
"700","1.554","101.1","102.7","32.81","0.9366","9.071"
"800","1.562","115.8","117.4","33.72","0.9427","9.333"
"900","1.57","130.5","132.1","34.53","0.9477","9.564"
"1000","1.576","145.2","146.8","35.24","0.9518","9.771"
