"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","13.15","0.01251","13.17","0.0004617","0.0004848","0.001576"
"0.0125","11.25","0.01319","11.27","0.0006677","0.0006","0.002002"
"0.015","9.894","0.01371","9.908","0.0009049","0.000713","0.002441"
"0.0175","8.867","0.01414","8.881","0.001172","0.0008238","0.002893"
"0.02","8.062","0.01449","8.076","0.001468","0.0009325","0.003358"
"0.025","6.875","0.01503","6.89","0.002141","0.001144","0.004325"
"0.03","6.039","0.01544","6.055","0.002917","0.001348","0.005343"
"0.035","5.416","0.01576","5.432","0.00379","0.001545","0.006413"
"0.04","4.932","0.01603","4.948","0.004756","0.001736","0.007535"
"0.045","4.545","0.01627","4.561","0.00581","0.001921","0.008708"
"0.05","4.228","0.01647","4.244","0.006947","0.002101","0.009933"
"0.055","3.963","0.01665","3.98","0.008165","0.002277","0.01121"
"0.06","3.738","0.01681","3.755","0.009459","0.002448","0.01254"
"0.07","3.377","0.0171","3.394","0.01227","0.002778","0.01536"
"0.08","3.1","0.01736","3.117","0.01534","0.003094","0.01839"
"0.09","2.88","0.01761","2.897","0.01867","0.003397","0.02163"
"0.1","2.701","0.01784","2.719","0.02224","0.00369","0.0251"
"0.125","2.373","0.01841","2.391","0.03208","0.004379","0.03471"
"0.15","2.149","0.01897","2.168","0.04309","0.005021","0.04568"
"0.175","1.988","0.01954","2.007","0.05509","0.005625","0.05794"
"0.2","1.866","0.02013","1.886","0.06796","0.006198","0.07135"
"0.25","1.696","0.02137","1.718","0.09582","0.007271","0.1007"
"0.3","1.585","0.0227","1.607","0.126","0.008274","0.132"
"0.35","1.507","0.02411","1.531","0.1579","0.009226","0.1638"
"0.4","1.451","0.0256","1.476","0.1912","0.01014","0.1954"
"0.45","1.409","0.02716","1.436","0.2255","0.01103","0.2266"
"0.5","1.377","0.02879","1.405","0.2608","0.0119","0.2572"
"0.55","1.352","0.03049","1.382","0.2966","0.01275","0.2872"
"0.6","1.332","0.03223","1.365","0.3331","0.01359","0.3165"
"0.7","1.305","0.03587","1.341","0.407","0.01525","0.3735"
"0.8","1.287","0.03968","1.327","0.482","0.01688","0.4281"
"0.9","1.276","0.04364","1.32","0.5576","0.0185","0.4804"
"1","1.27","0.04775","1.317","0.6335","0.02012","0.5307"
"1.25","1.264","0.05859","1.323","0.823","0.02415","0.6479"
"1.5","1.266","0.07012","1.337","1.011","0.02818","0.7548"
"1.75","1.273","0.08219","1.355","1.197","0.03224","0.8532"
"2","1.281","0.09473","1.375","1.38","0.0363","0.9446"
"2.5","1.298","0.1209","1.419","1.738","0.04446","1.111"
"3","1.315","0.1482","1.463","2.085","0.05259","1.259"
"3.5","1.33","0.1764","1.507","2.422","0.06068","1.394"
"4","1.345","0.2053","1.55","2.749","0.0687","1.518"
"4.5","1.358","0.2349","1.592","3.067","0.07662","1.633"
"5","1.369","0.265","1.634","3.377","0.08444","1.74"
"5.5","1.38","0.2956","1.676","3.679","0.09215","1.84"
"6","1.39","0.3266","1.717","3.974","0.09975","1.934"
"7","1.408","0.3898","1.798","4.543","0.1146","2.106"
"8","1.424","0.4542","1.878","5.087","0.1289","2.261"
"9","1.438","0.5197","1.957","5.609","0.1428","2.401"
"10","1.45","0.586","2.036","6.11","0.1562","2.53"
"12.5","1.476","0.755","2.231","7.282","0.1877","2.811"
"15","1.497","0.9276","2.424","8.357","0.2166","3.049"
"17.5","1.514","1.103","2.617","9.349","0.2431","3.256"
"20","1.529","1.28","2.809","10.27","0.2676","3.441"
"25","1.553","1.64","3.193","11.94","0.3112","3.759"
"30","1.572","2.005","3.577","13.42","0.349","4.029"
"35","1.588","2.373","3.961","14.75","0.3821","4.266"
"40","1.601","2.744","4.346","15.95","0.4113","4.478"
"45","1.613","3.118","4.731","17.05","0.4373","4.669"
"50","1.623","3.494","5.117","18.07","0.4607","4.843"
"55","1.631","3.872","5.503","19.01","0.4819","5.004"
"60","1.639","4.251","5.891","19.89","0.5011","5.152"
"70","1.653","5.014","6.667","21.48","0.5349","5.42"
"80","1.665","5.782","7.446","22.9","0.5636","5.655"
"90","1.675","6.553","8.227","24.18","0.5884","5.866"
"100","1.683","7.326","9.01","25.34","0.6101","6.056"
"125","1.702","9.272","10.97","27.85","0.6541","6.464"
"150","1.717","11.23","12.94","29.95","0.6878","6.801"
"175","1.729","13.19","14.92","31.74","0.7147","7.089"
"200","1.739","15.16","16.9","33.32","0.7368","7.34"
"250","1.757","19.11","20.87","35.97","0.7708","7.763"
"300","1.771","23.07","24.84","38.17","0.7961","8.112"
"350","1.782","27.04","28.82","40.03","0.8158","8.41"
"400","1.792","31.02","32.81","41.66","0.8315","8.669"
"450","1.801","35","36.8","43.1","0.8445","8.899"
"500","1.809","38.98","40.79","44.39","0.8554","9.105"
"550","1.816","42.97","44.78","45.56","0.8647","9.292"
"600","1.822","46.96","48.78","46.63","0.8727","9.463"
"700","1.833","54.95","56.78","48.53","0.886","9.767"
"800","1.843","62.94","64.78","50.17","0.8964","10.03"
"900","1.851","70.93","72.78","51.63","0.905","10.27"
"1000","1.859","78.93","80.79","52.93","0.912","10.47"
