"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"0.001","14.23","0.004328","7354","0","0","7368","7354"
"0.001066","14.16","0.004706","6578","0","0","6592","6578"
"0.001136","14.08","0.005109","5887","0","0","5901","5887"
"0.001136","14.08","0.005109","6256","0","0","6270","6256"
"0.001266","13.93","0.005844","5087","0","0","5101","5087"
"0.001412","13.75","0.00666","4138","0","0","4151","4138"
"0.001412","13.75","0.00666","4190","0","0","4203","4190"
"0.0015","13.64","0.007163","3711","0","0","3725","3711"
"0.001617","13.48","0.007832","3186","0","0","3200","3186"
"0.001617","13.48","0.007832","3246","0","0","3259","3246"
"0.002","12.99","0.01","2082","0","0","2095","2082"
"0.003","11.67","0.01548","852.1","0","0","863.7","852.1"
"0.003887","10.57","0.01997","470.3","0","0","480.8","470.3"
"0.003887","10.57","0.01997","1101","0","0","1111","1101"
"0.004","10.44","0.02051","1039","0","0","1049","1039"
"0.004092","10.33","0.02096","974.7","0","0","985","974.7"
"0.004092","10.33","0.02096","1376","0","0","1386","1376"
"0.00437","10.01","0.02227","1172","0","0","1182","1172"
"0.004667","9.687","0.02363","998.2","0","0","1008","998.3"
"0.004667","9.687","0.02363","1163","0","0","1173","1163"
"0.005","9.341","0.02512","980.4","0","0","989.8","980.4"
"0.00571","8.659","0.02812","698.2","0","0","706.9","698.2"
"0.00571","8.659","0.02812","740.1","0","0","748.8","740.1"
"0.006","8.402","0.02929","655.6","0","0","664","655.6"
"0.006121","8.298","0.02978","623.6","0","0","631.9","623.6"
"0.006121","8.298","0.02978","649.9","0","0","658.2","649.9"
"0.008","6.905","0.03672","336","0","0","342.9","336"
"0.01","5.78","0.04328","192.2","0","0","198","192.3"
"0.015","3.939","0.05664","68.38","0","0","72.38","68.44"
"0.0185","3.124","0.06367","39.79","0","0","42.98","39.85"
"0.0185","3.124","0.06367","93.83","0","0","97.02","93.89"
"0.02","2.849","0.06623","76.43","0","0","79.35","76.5"
"0.02294","2.406","0.07061","52.5","0","0","54.98","52.57"
"0.02294","2.406","0.07061","75","0","0","77.47","75.07"
"0.02335","2.352","0.07116","71.57","0","0","73.99","71.64"
"0.02377","2.299","0.0717","68.33","0","0","70.7","68.4"
"0.02377","2.299","0.0717","78.79","0","0","81.16","78.86"
"0.03","1.682","0.07849","43.75","0","0","45.52","43.83"
"0.04","1.13","0.086","20.79","0","0","22.01","20.88"
"0.05","0.8176","0.09068","11.59","0","0","12.49","11.68"
"0.06","0.6167","0.09346","7.15","0","0","7.861","7.244"
"0.08","0.3875","0.09571","3.318","0","0","3.801","3.413"
"0.1","0.2688","0.09574","1.824","0","0","2.188","1.92"
"0.125","0.1847","0.09437","1.001","0","0","1.28","1.095"
"0.125","0.1847","0.09437","4.098","0","0","4.377","4.192"
"0.15","0.135","0.09229","2.592","0","0","2.819","2.684"
"0.2","0.08097","0.08758","1.249","0","0","1.418","1.337"
"0.3","0.03892","0.07879","0.4499","0","0","0.5676","0.5287"
"0.4","0.02294","0.07178","0.2235","0","0","0.3183","0.2953"
"0.5","0.01512","0.0662","0.1327","0","0","0.214","0.1989"
"0.6","0.01071","0.06164","0.08803","0","0","0.1604","0.1497"
"0.8","0.006179","0.05453","0.04745","0","0","0.1082","0.102"
"1","0.004014","0.04923","0.0301","0","0","0.08335","0.07933"
"1.022","0.003848","0.04873","0.02881","0","0","0.0814","0.07755"
"1.25","0.002602","0.04415","0.01949","0.000472","0","0.06672","0.06412"
"1.5","0.001821","0.04019","0.01386","0.002357","0","0.05822","0.0564"
"2","0.001034","0.03436","0.008369","0.006853","0","0.05062","0.04959"
"2.044","0.0009903","0.03394","0.008067","0.00723","0","0.05023","0.04924"
"3","0.0004631","0.02708","0.004356","0.01406","9.46E-06","0.04597","0.0455"
"4","0.0002614","0.02261","0.002839","0.01955","3.853E-05","0.0453","0.04504"
"5","0.0001676","0.01953","0.002075","0.02413","7.661E-05","0.04599","0.04582"
"6","0.0001165","0.01727","0.001622","0.02802","0.0001174","0.04715","0.04703"
"7","8.563E-05","0.01552","0.001325","0.03152","0.0001579","0.04861","0.04852"
"8","6.558E-05","0.01413","0.001118","0.03466","0.000197","0.05017","0.05011"
"9","5.183E-05","0.01299","0.0009645","0.03756","0.0002343","0.0518","0.05175"
"10","4.2E-05","0.01204","0.0008473","0.04024","0.0002698","0.05343","0.05339"
"11","3.471E-05","0.01123","0.0007552","0.04271","0.000303","0.05503","0.055"
"12","2.916E-05","0.01053","0.0006806","0.04502","0.0003345","0.05659","0.05656"
"13","2.485E-05","0.00992","0.0006192","0.04717","0.000364","0.0581","0.05808"
"14","2.143E-05","0.009385","0.0005676","0.04921","0.000392","0.05957","0.05955"
"15","1.867E-05","0.00891","0.000524","0.05111","0.0004185","0.06098","0.06097"
"16","1.641E-05","0.008486","0.0004866","0.05287","0.0004435","0.0623","0.06229"
"18","1.297E-05","0.007755","0.0004254","0.05609","0.0004896","0.06478","0.06476"
"20","1.05E-05","0.007153","0.0003778","0.05897","0.0005317","0.06704","0.06703"
"22","8.682E-06","0.006642","0.0003397","0.06159","0.0005699","0.06915","0.06915"
"24","7.294E-06","0.006206","0.0003085","0.064","0.0006048","0.07112","0.07112"
"26","6.216E-06","0.00583","0.0002824","0.06618","0.000637","0.07293","0.07293"
"28","5.359E-06","0.005498","0.0002606","0.06818","0.0006667","0.07461","0.07461"
"30","4.668E-06","0.005208","0.0002418","0.07002","0.0006942","0.07617","0.07616"
"40","2.626E-06","0.004138","0.0001775","0.07757","0.0008075","0.0827","0.0827"
"50","1.681E-06","0.003454","0.0001402","0.08317","0.0008924","0.08766","0.08766"
"60","1.167E-06","0.002976","0.0001159","0.08751","0.0009591","0.09156","0.09156"
"80","6.566E-07","0.002347","8.595E-05","0.0939","0.001058","0.09739","0.09739"
"100","4.202E-07","0.001948","6.831E-05","0.09841","0.00113","0.1016","0.1016"
"150","1.868E-07","0.001387","4.514E-05","0.1055","0.001247","0.1082","0.1082"
"200","1.051E-07","0.001088","3.37E-05","0.1097","0.001319","0.1121","0.1121"
"300","4.67E-08","0.000771","2.237E-05","0.1146","0.001406","0.1168","0.1168"
"400","2.626E-08","0.0006038","1.674E-05","0.1174","0.001458","0.1195","0.1195"
"500","1.681E-08","0.0004997","1.337E-05","0.1193","0.001494","0.1213","0.1213"
"600","1.167E-08","0.0004279","1.113E-05","0.1206","0.00152","0.1226","0.1226"
"800","6.566E-09","0.0003342","8.342E-06","0.1224","0.001555","0.1243","0.1243"
"1000","4.202E-09","0.000275","6.67E-06","0.1235","0.001578","0.1253","0.1253"
"1500","1.868E-09","0.000192","4.442E-06","0.1251","0.001613","0.1269","0.1269"
"2000","1.051E-09","0.0001486","3.33E-06","0.126","0.001633","0.1278","0.1278"
"3000","4.67E-10","0.0001033","2.219E-06","0.1269","0.001655","0.1287","0.1287"
"4000","2.626E-10","7.978E-05","1.664E-06","0.1275","0.001668","0.1293","0.1293"
"5000","1.681E-10","6.521E-05","1.331E-06","0.1279","0.001676","0.1296","0.1296"
