"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","0.5918","0.02091","603.5","0","0","604.2","603.6","603.5","C"
"0.0015","0.4948","0.03792","179.2","0","0","179.7","179.2","179.1","C"
"0.002","0.4103","0.05284","74.24","0","0","74.7","74.29","74.22","C"
"0.003","0.2962","0.0735","20.9","0","0","21.27","20.98","20.9","C"
"0.004","0.2321","0.08627","8.366","0","0","8.685","8.452","8.367","C"
"0.005","0.1926","0.09562","4.081","0","0","4.369","4.176","4.081","C"
"0.006","0.1649","0.1034","2.259","0","0","2.528","2.363","2.26","C"
"0.008","0.1254","0.1163","0.8821","0","0","1.124","0.9983","0.8839","C"
"0.01","0.09749","0.1262","0.4229","0","0","0.6466","0.5491","0.4255","C"
"0.015","0.0558","0.1411","0.1101","0","0","0.307","0.2512","0.1143","C"
"0.02","0.03538","0.1477","0.04207","0","0","0.2251","0.1897","0.0478","C"
"0.03","0.0177","0.1508","0.01077","0","0","0.1792","0.1615","0.01898","C"
"0.04","0.01054","0.1493","0.00408","0","0","0.164","0.1534","0.01438","C"
"0.05","0.006956","0.1465","0.001919","0","0","0.1554","0.1485","0.01401","C"
"0.06","0.00492","0.1433","0.001039","0","0","0.1493","0.1444","0.01468","C"
"0.08","0.002823","0.1369","0.0003936","0","0","0.1401","0.1372","0.01658","C"
"0.1","0.001824","0.1308","0.0001859","0","0","0.1328","0.131","0.01836","C"
"0.15","0.0008186","0.1181","4.818E-05","0","0","0.119","0.1182","0.02157","C"
"0.2","0.0004621","0.1085","1.881E-05","0","0","0.1089","0.1085","0.02353","C"
"0.3","0.0002059","0.09442","5.234E-06","0","0","0.09463","0.09442","0.02548","C"
"0.4","0.0001159","0.0846","2.224E-06","0","0","0.08472","0.0846","0.0262","C"
"0.5","7.424E-05","0.07731","1.193E-06","0","0","0.07739","0.07731","0.02639","C"
"0.6","5.155E-05","0.0715","7.411E-07","0","0","0.07155","0.0715","0.02627","C"
"0.8","2.901E-05","0.06283","3.736E-07","0","0","0.06286","0.06283","0.02565","C"
"1","1.856E-05","0.0565","2.323E-07","0","0","0.05652","0.0565","0.02483","C"
"1.022","1.777E-05","0.0559","2.101E-07","0","0","0.05591","0.0559","0.02472","I"
"1.25","1.188E-05","0.05052","1.428E-07","8.42E-06","0","0.05054","0.05053","0.02373","C"
"1.5","8.253E-06","0.04592","1.039E-07","4.706E-05","0","0.04598","0.04597","0.02268","C"
"2","4.642E-06","0.03918","6.578E-08","0.0001883","0","0.03938","0.03937","0.02083","C"
"2.044","4.444E-06","0.0387","6.367E-08","0.000203","0","0.03891","0.03891","0.02067","I"
"3","2.063E-06","0.03083","3.709E-08","0.0005401","1.079E-05","0.03138","0.03138","0.01806","C"
"4","1.161E-06","0.02571","2.56E-08","0.0008774","4.404E-05","0.02664","0.02663","0.01617","C"
"5","7.431E-07","0.02221","1.949E-08","0.001178","8.774E-05","0.02347","0.02347","0.01479","C"
"6","5.158E-07","0.01963","1.571E-08","0.001448","0.0001348","0.02121","0.02121","0.01377","C"
"7","3.789E-07","0.01764","1.315E-08","0.001689","0.0001817","0.01951","0.01951","0.01298","I"
"8","2.901E-07","0.01606","1.13E-08","0.001907","0.0002273","0.01819","0.01819","0.01233","C"
"9","2.293E-07","0.01476","9.903E-09","0.002105","0.000271","0.01714","0.01714","0.01182","I"
"10","1.857E-07","0.01367","8.814E-09","0.002285","0.0003127","0.01627","0.01627","0.01138","C"
"11","1.534E-07","0.01276","7.945E-09","0.002449","0.0003522","0.01556","0.01556","0.01104","I"
