"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","9.691","0.006225","2047","0","0","2056","2047","2046","C"
"0.001013","9.679","0.006332","1997","0","0","2007","1997","1997","C"
"0.001027","9.666","0.006441","1949","0","0","1959","1949","1949","C"
"0.001027","9.666","0.006441","2544","0","0","2554","2544","2715","C"
"0.001039","9.654","0.00654","3848","0","0","3858","3848","3874","C"
"0.001051","9.641","0.006641","5793","0","0","5803","5793","5801","C"
"0.001051","9.641","0.006641","7194","0","0","7203","7194","7205","C"
"0.001194","9.496","0.007762","6392","0","0","6401","6392","7196","C"
"0.001357","9.334","0.009005","5681","0","0","5690","5681","5660","C"
"0.001357","9.334","0.009005","6545","0","0","6555","6545","6524","C"
"0.001413","9.277","0.009441","5977","0","0","5986","5977","5956","C"
"0.001471","9.213","0.009895","5456","0","0","5466","5456","5439","C"
"0.001471","9.213","0.009895","5789","0","0","5798","5789","5770","C"
"0.0015","9.18","0.01011","5544","0","0","5553","5544","5526","C"
"0.001653","9.018","0.01129","4488","0","0","4497","4488","4474","C"
"0.001653","9.018","0.01129","4692","0","0","4701","4692","4676","C"
"0.002","8.66","0.01392","3039","0","0","3048","3039","3031","C"
"0.003","7.642","0.0213","1154","0","0","1162","1154","1152","C"
"0.004","6.707","0.02812","564.3","0","0","571.1","564.4","563.3","C"
"0.005","5.901","0.03431","320.1","0","0","326","320.1","319.6","C"
"0.006","5.224","0.03982","200.1","0","0","205.3","200.1","199.8","C"
"0.006459","4.945","0.04214","165.1","0","0","170.1","165.2","164.9","C"
"0.006459","4.945","0.04214","462.9","0","0","467.9","463","426.7","C"
"0.00673","4.792","0.04346","417.1","0","0","421.9","417.1","386.4","C"
"0.007013","4.642","0.0448","375.8","0","0","380.5","375.8","348.7","C"
"0.007013","4.642","0.0448","512.8","0","0","517.5","512.9","465.7","C"
"0.007217","4.538","0.04573","477.6","0","0","482.2","477.7","435.9","C"
"0.007428","4.434","0.04667","445.1","0","0","449.6","445.1","406.2","C"
"0.007428","4.434","0.04667","514.1","0","0","518.5","514.1","466.9","C"
"0.008","4.164","0.04916","427.2","0","0","431.4","427.3","390.8","C"
"0.01","3.391","0.05702","240.6","0","0","244","240.6","224","C"
"0.015","2.208","0.07256","81.83","0","0","84.11","81.9","77.99","C"
"0.02","1.584","0.08365","37.49","0","0","39.16","37.58","36.14","C"
"0.03","0.9255","0.09695","12.24","0","0","13.27","12.34","11.93","C"
"0.04","0.6022","0.1039","5.473","0","0","6.179","5.577","5.366","C"
"0.04518","0.4999","0.1061","3.885","0","0","4.491","3.991","3.816","C"
"0.04518","0.4999","0.1061","22.05","0","0","22.65","22.15","6.93","C"
"0.05","0.4276","0.1076","16.81","0","0","17.35","16.92","6.363","C"
"0.06","0.3212","0.1096","10.44","0","0","10.87","10.55","4.989","C"
"0.08","0.1999","0.1105","4.796","0","0","5.106","4.906","2.904","C"
"0.1","0.1359","0.1093","2.594","0","0","2.84","2.704","1.776","C"
"0.15","0.0662","0.1034","0.8357","0","0","1.005","0.9391","0.6699","C"
"0.2","0.03933","0.09716","0.3733","0","0","0.5098","0.4705","0.3302","C"
"0.3","0.01849","0.08656","0.1222","0","0","0.2273","0.2088","0.1301","C"
"0.4","0.01068","0.07846","0.05706","0","0","0.1462","0.1355","0.07517","C"
"0.5","0.006944","0.07214","0.03246","0","0","0.1115","0.1046","0.05369","C"
"0.6","0.004875","0.06699","0.0209","0","0","0.09277","0.08789","0.04323","C"
"0.8","0.002776","0.05914","0.01089","0","0","0.0728","0.07003","0.03349","C"
"1","0.001789","0.05328","0.006815","0","0","0.06188","0.06009","0.02889","C"
"1.022","0.001714","0.05274","0.006524","0","0","0.06097","0.05926","0.02854","I"
"1.25","0.001151","0.04771","0.004397","0.0002414","0","0.0535","0.05235","0.02553","C"
"1.5","0.0008012","0.04343","0.003143","0.001116","0","0.04849","0.04769","0.0236","C"
"2","0.0004521","0.03709","0.001908","0.003632","0","0.04308","0.04263","0.02184","C"
"2.044","0.000433","0.03663","0.001841","0.00387","0","0.04277","0.04234","0.02183","I"
"3","0.0002013","0.0292","0.001007","0.008827","1.021E-05","0.03925","0.03905","0.02166","C"
"4","0.0001134","0.02437","0.0006645","0.0133","4.164E-05","0.03849","0.03837","0.02273","C"
"5","7.256E-05","0.02105","0.00049","0.01713","8.286E-05","0.03882","0.03875","0.02405","C"
"6","5.041E-05","0.01861","0.0003859","0.02043","0.0001271","0.03959","0.03954","0.02532","C"
"7","3.704E-05","0.01672","0.0003172","0.02334","0.0001711","0.04059","0.04055","0.02649","I"
"8","2.836E-05","0.01522","0.0002687","0.02596","0.0002136","0.04169","0.04167","0.02754","C"
"9","2.241E-05","0.01399","0.0002329","0.02834","0.0002543","0.04284","0.04282","0.02847","I"
"10","1.815E-05","0.01297","0.0002053","0.03053","0.000293","0.04401","0.04399","0.02933","C"
"11","1.5E-05","0.01209","0.0001834","0.03254","0.0003295","0.04516","0.04515","0.02999","I"
"12","1.261E-05","0.01134","0.0001657","0.03441","0.0003639","0.0463","0.04628","0.0306","I"
"13","1.074E-05","0.01068","0.0001511","0.03616","0.0003962","0.0474","0.04739","0.03117","I"
"14","9.263E-06","0.01011","0.0001388","0.03778","0.0004272","0.04846","0.04845","0.03171","I"
