"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","13.03","0.004788","6189","0","0","6202","6189","6187","C"
"0.001028","13","0.004958","5881","0","0","5894","5881","5881","C"
"0.001058","12.96","0.005134","5590","0","0","5603","5590","5588","C"
"0.001058","12.96","0.005134","5670","0","0","5683","5670","5669","C"
"0.00113","12.88","0.005571","5002","0","0","5015","5002","5005","C"
"0.001208","12.78","0.006032","4412","0","0","4425","4412","4411","C"
"0.001208","12.78","0.006032","4505","0","0","4518","4505","4502","C"
"0.0015","12.43","0.007713","2939","0","0","2951","2939","2937","C"
"0.002","11.81","0.01063","1609","0","0","1621","1609","1608","C"
"0.003","10.6","0.01632","655.7","0","0","666.3","655.7","655.5","C"
"0.003105","10.47","0.01689","606.4","0","0","616.9","606.4","606.1","C"
"0.003105","10.47","0.01689","1704","0","0","1714","1704","1657","C"
"0.003176","10.39","0.01729","1524","0","0","1535","1524","1457","C"
"0.003248","10.31","0.01769","1364","0","0","1374","1364","1331","C"
"0.003248","10.31","0.01769","2028","0","0","2038","2028","1965","C"
"0.00351","10.02","0.01911","1644","0","0","1654","1644","1587","C"
"0.003792","9.709","0.02057","1332","0","0","1342","1332","1297","C"
"0.003792","9.709","0.02057","1548","0","0","1558","1548","1506","C"
"0.004","9.49","0.02162","1357","0","0","1367","1357","1322","C"
"0.00449","9","0.024","1015","0","0","1024","1015","991.7","C"
"0.00449","9","0.024","1077","0","0","1086","1077","1052","C"
"0.004653","8.844","0.02477","986.9","0","0","995.8","986.9","964.3","C"
"0.004822","8.686","0.02555","904.3","0","0","913","904.3","884.6","C"
"0.004822","8.686","0.02555","943.5","0","0","952.2","943.5","922.8","C"
"0.005","8.523","0.02635","865.7","0","0","874.2","865.7","847.2","C"
"0.006","7.687","0.03056","553.7","0","0","561.4","553.7","543.8","C"
"0.008","6.325","0.0381","270.4","0","0","276.8","270.5","266.9","C"
"0.01","5.281","0.04481","153.6","0","0","158.9","153.6","151.9","C"
"0.015","3.56","0.05803","53.98","0","0","57.6","54.04","53.53","C"
"0.01544","3.448","0.05899","50.04","0","0","53.54","50.1","49.62","C"
"0.01544","3.448","0.05899","121.8","0","0","125.3","121.8","95.81","C"
"0.0169","3.112","0.06188","95.44","0","0","98.61","95.5","76.77","C"
"0.01848","2.798","0.06474","74.79","0","0","77.65","74.85","61.6","C"
"0.01848","2.798","0.06474","105.3","0","0","108.1","105.3","78.35","C"
"0.01886","2.732","0.06538","100.1","0","0","102.9","100.2","75","C"
"0.01924","2.667","0.06602","95.25","0","0","97.98","95.32","71.75","C"
"0.01924","2.667","0.06602","110","0","0","112.8","110.1","81.72","C"
"0.02","2.544","0.06728","99.67","0","0","102.3","99.74","74.96","C"
"0.03","1.497","0.07966","35.06","0","0","36.64","35.14","29.13","C"
"0.04","1.006","0.08728","16.4","0","0","17.5","16.49","14.29","C"
"0.05","0.7212","0.09189","9.038","0","0","9.851","9.129","8.088","C"
"0.06","0.5411","0.09453","5.531","0","0","6.167","5.626","5.039","C"
"0.08","0.34","0.09653","2.535","0","0","2.971","2.631","2.363","C"
"0.1","0.2356","0.0964","1.38","0","0","1.712","1.476","1.308","C"
"0.1039","0.2208","0.09624","1.243","0","0","1.56","1.339","1.181","C"
"0.1039","0.2208","0.09624","5.51","0","0","5.827","5.606","1.638","C"
"0.15","0.1171","0.09267","2.146","0","0","2.355","2.238","1.091","C"
"0.2","0.07002","0.08776","1.014","0","0","1.172","1.102","0.644","C"
"0.3","0.03354","0.07879","0.3573","0","0","0.4696","0.4361","0.2811","C"
"0.4","0.01968","0.07172","0.1748","0","0","0.2662","0.2466","0.158","C"
"0.5","0.01292","0.0661","0.1027","0","0","0.1817","0.1688","0.105","C"
"0.6","0.009128","0.06152","0.06762","0","0","0.1383","0.1291","0.07772","C"
"0.8","0.005246","0.05441","0.03613","0","0","0.09578","0.09054","0.05165","C"
"1","0.003402","0.0491","0.02284","0","0","0.07535","0.07195","0.03983","C"
"1.022","0.003259","0.0486","0.02187","0","0","0.07373","0.07047","0.03898","I"
"1.25","0.002199","0.04402","0.01477","0.0004186","0","0.06141","0.05921","0.03191","C"
"1.5","0.001537","0.04007","0.01051","0.002036","0","0.05415","0.05262","0.02779","C"
