"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","13.27","0.004807","6600","0","0","6613","6600","6600","C"
"0.001081","13.17","0.005321","5724","0","0","5737","5724","5733","C"
"0.001168","13.06","0.005871","4965","0","0","4978","4965","4962","C"
"0.001168","13.06","0.005871","5035","0","0","5048","5035","5034","C"
"0.001246","12.96","0.006343","4446","0","0","4459","4446","4449","C"
"0.001329","12.86","0.006841","3927","0","0","3940","3927","3924","C"
"0.001329","12.86","0.006841","4005","0","0","4017","4005","4003","C"
"0.0015","12.63","0.007885","3148","0","0","3161","3148","3148","C"
"0.002","11.96","0.01086","1730","0","0","1741","1730","1729","C"
"0.003","10.71","0.01656","707.2","0","0","717.9","707.2","707","C"
"0.003332","10.32","0.01837","556.7","0","0","567","556.7","556.5","C"
"0.003332","10.32","0.01837","1383","0","0","1394","1383","1346","C"
"0.00341","10.23","0.0188","1297","0","0","1307","1297","1260","C"
"0.003491","10.14","0.01922","1215","0","0","1226","1215","1185","C"
"0.003491","10.14","0.01922","1739","0","0","1749","1739","1683","C"
"0.004","9.59","0.02186","1243","0","0","1253","1243","1208","C"
"0.004046","9.543","0.02209","1208","0","0","1217","1208","1174","C"
"0.004046","9.543","0.02209","1405","0","0","1415","1405","1364","C"
"0.004421","9.167","0.02393","1126","0","0","1135","1126","1098","C"
"0.00483","8.777","0.02587","901.6","0","0","910.4","901.6","879.7","C"
"0.00483","8.777","0.02587","956.6","0","0","965.4","956.7","933","C"
"0.005","8.624","0.02665","879","0","0","887.7","879.1","858.1","C"
"0.005182","8.461","0.02746","804.5","0","0","813","804.6","785.9","C"
"0.005182","8.461","0.02746","839.3","0","0","847.8","839.4","819.6","C"
"0.006","7.789","0.03088","586.8","0","0","594.6","586.8","574.9","C"
"0.008","6.426","0.03831","287.3","0","0","293.8","287.3","283","C"
"0.01","5.378","0.04482","163.5","0","0","168.9","163.6","161.5","C"
"0.015","3.639","0.05782","57.72","0","0","61.42","57.78","57.18","C"
"0.0163","3.322","0.0605","46.53","0","0","49.92","46.59","46.11","C"
"0.0163","3.322","0.0605","112.2","0","0","115.6","112.3","87.32","C"
"0.01792","2.98","0.06351","86.79","0","0","89.83","86.85","69.24","C"
"0.01969","2.663","0.06644","67.12","0","0","69.84","67.18","54.92","C"
"0.01969","2.663","0.06644","95.98","0","0","98.7","96.04","68.36","C"
"0.02","2.613","0.06691","90.99","0","0","93.67","91.06","67.14","C"
"0.02047","2.539","0.06763","85.91","0","0","88.51","85.97","63.83","C"
"0.02047","2.539","0.06763","99.19","0","0","101.8","99.26","72.59","C"
"0.03","1.539","0.07905","37.29","0","0","38.91","37.37","30.32","C"
"0.04","1.034","0.08655","17.53","0","0","18.65","17.62","15.03","C"
"0.05","0.7441","0.09112","9.683","0","0","10.52","9.774","8.558","C"
"0.06","0.559","0.09379","5.938","0","0","6.591","6.032","5.355","C"
"0.08","0.3511","0.09585","2.73","0","0","3.177","2.826","2.526","C"
"0.1","0.2435","0.09574","1.491","0","0","1.83","1.586","1.403","C"
"0.1097","0.2086","0.0953","1.161","0","0","1.465","1.256","1.1","C"
"0.1097","0.2086","0.0953","5.032","0","0","5.336","5.128","1.502","C"
"0.15","0.1214","0.09211","2.258","0","0","2.472","2.351","1.09","C"
"0.2","0.07267","0.08728","1.074","0","0","1.234","1.161","0.6603","C"
"0.3","0.03483","0.0784","0.3807","0","0","0.494","0.4591","0.2931","C"
"0.4","0.02047","0.0714","0.1871","0","0","0.2789","0.2585","0.1656","C"
"0.5","0.01346","0.06582","0.1102","0","0","0.1895","0.176","0.1101","C"
"0.6","0.009514","0.06125","0.07272","0","0","0.1435","0.134","0.08128","C"
"0.8","0.005474","0.05419","0.03896","0","0","0.09862","0.09315","0.05366","C"
"1","0.00355","0.0489","0.02464","0","0","0.07709","0.07354","0.04109","C"
"1.022","0.003402","0.04838","0.0236","0","0","0.07538","0.07197","0.04018","I"
"1.25","0.002297","0.04383","0.01595","0.0004321","0","0.06251","0.06021","0.03269","C"
"1.5","0.001606","0.03992","0.01134","0.002117","0","0.05498","0.05337","0.02834","C"
"2","0.0009104","0.03413","0.006852","0.006234","0","0.04812","0.04721","0.02487","C"
"2.044","0.0008723","0.03371","0.006605","0.006584","0","0.04777","0.0469","0.02483","I"
"3","0.0004075","0.02689","0.003571","0.01309","9.39E-06","0.04396","0.04356","0.02411","C"
"4","0.0002297","0.02244","0.002332","0.01843","3.826E-05","0.04347","0.04324","0.02528","C"
"5","0.0001472","0.01939","0.001706","0.02289","7.607E-05","0.04421","0.04406","0.02674","C"
"6","0.0001023","0.01714","0.001335","0.02673","0.0001166","0.04542","0.04532","0.02817","C"
"7","7.521E-05","0.01541","0.001091","0.03011","0.0001568","0.04683","0.04676","0.02945","I"
"8","5.759E-05","0.01402","0.0009211","0.03317","0.0001957","0.04837","0.04831","0.0306","C"
"9","4.552E-05","0.01289","0.0007952","0.03597","0.0002328","0.04994","0.04989","0.0316","I"
"10","3.688E-05","0.01194","0.0006989","0.03854","0.0002681","0.05149","0.05145","0.03253","C"
"11","3.047E-05","0.01114","0.0006231","0.04093","0.0003011","0.05302","0.05299","0.0332","I"
"12","2.561E-05","0.01045","0.0005616","0.04316","0.0003325","0.05453","0.0545","0.03383","I"
"13","2.182E-05","0.009844","0.0005113","0.04524","0.0003618","0.05598","0.05595","0.03442","I"
"14","1.882E-05","0.009312","0.0004687","0.04718","0.0003896","0.05737","0.05735","0.03498","I"
"15","1.639E-05","0.008842","0.0004329","0.049","0.000416","0.05871","0.05869","0.0355","C"
"16","1.441E-05","0.008419","0.000402","0.05071","0.0004409","0.05999","0.05997","0.03575","I"
"18","1.139E-05","0.007695","0.0003517","0.05378","0.0004869","0.06232","0.06231","0.03622","I"
"20","9.224E-06","0.007098","0.0003122","0.05653","0.0005287","0.06447","0.06447","0.03664","C"
"22","7.622E-06","0.006592","0.0002808","0.05904","0.0005668","0.06649","0.06648","",""
"24","6.405E-06","0.006161","0.0002552","0.06133","0.0006016","0.06835","0.06835","",""
"26","5.458E-06","0.005785","0.0002337","0.0634","0.0006338","0.07006","0.07006","",""
"28","4.705E-06","0.005458","0.0002156","0.06532","0.0006634","0.07167","0.07166","",""
"30","4.101E-06","0.005167","0.0002","0.06709","0.0006909","0.07315","0.07315","",""
"40","2.306E-06","0.004106","0.000147","0.07425","0.0008038","0.07931","0.07931","",""
"50","1.476E-06","0.003428","0.0001161","0.0796","0.0008886","0.08403","0.08403","",""
"60","1.025E-06","0.002953","9.595E-05","0.08373","0.0009553","0.08773","0.08773","",""
"80","5.764E-07","0.002329","7.122E-05","0.08982","0.001055","0.09328","0.09328","",""
"100","3.691E-07","0.001933","5.66E-05","0.09411","0.001127","0.09722","0.09722","",""
"150","1.64E-07","0.001377","3.742E-05","0.1009","0.001244","0.1035","0.1035","",""
