"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","10.85","0.004754","3007","0","0","3017","3007","3006","C"
"0.0015","10.39","0.007897","1340","0","0","1350","1340","1340","C"
"0.001528","10.37","0.008071","1290","0","0","1300","1290","1289","C"
"0.001528","10.37","0.008071","1937","0","0","1948","1937","1944","C"
"0.001552","10.34","0.008221","2745","0","0","2756","2745","2914","C"
"0.001576","10.32","0.008373","3894","0","0","3905","3894","3859","C"
"0.001576","10.32","0.008373","4528","0","0","4538","4528","4482","C"
"0.001753","10.15","0.009469","3972","0","0","3982","3972","4146","C"
"0.00195","9.96","0.01069","3487","0","0","3497","3487","3453","C"
"0.00195","9.96","0.01069","4044","0","0","4054","4044","4004","C"
"0.002","9.912","0.011","3786","0","0","3796","3786","3751","C"
"0.002173","9.734","0.01208","3119","0","0","3128","3119","3091","C"
"0.002173","9.734","0.01208","3314","0","0","3324","3314","3284","C"
"0.002283","9.622","0.01276","2960","0","0","2969","2960","2935","C"
"0.002398","9.508","0.01348","2644","0","0","2653","2644","2621","C"
"0.002398","9.508","0.01348","2760","0","0","2769","2760","2737","C"
"0.003","8.927","0.01719","1632","0","0","1640","1632","1620","C"
"0.004","7.963","0.02304","811.2","0","0","819.2","811.3","807.2","C"
"0.005","7.086","0.02845","464.6","0","0","471.7","464.6","462.6","C"
"0.006","6.31","0.03339","292.4","0","0","298.8","292.5","291.3","C"
"0.008","5.06","0.04197","139.3","0","0","144.4","139.4","138.9","C"
"0.008944","4.587","0.04552","104.2","0","0","108.8","104.2","103.9","C"
"0.008944","4.587","0.04552","277.8","0","0","282.4","277.8","244.4","C"
"0.009447","4.343","0.04708","240.7","0","0","245.1","240.8","213.4","C"
"0.009978","4.134","0.04914","208.7","0","0","212.9","208.7","186.2","C"
"0.009978","4.134","0.04914","293.8","0","0","298","293.8","245.5","C"
"0.01","4.128","0.04924","290.2","0","0","294.4","290.2","244.4","C"
"0.01049","3.94","0.05085","253.7","0","0","257.7","253.7","218.9","C"
"0.01049","3.94","0.05085","293.3","0","0","297.3","293.3","251.2","C"
"0.015","2.659","0.06372","116.6","0","0","119.3","116.6","104.7","C"
"0.02","1.881","0.07458","54.33","0","0","56.28","54.4","50.12","C"
"0.03","1.111","0.08864","18.12","0","0","19.32","18.21","17.16","C"
"0.04","0.7281","0.09623","8.217","0","0","9.041","8.313","7.875","C"
"0.05","0.5147","0.1004","4.423","0","0","5.038","4.524","4.273","C"
"0.06","0.386","0.1026","2.659","0","0","3.147","2.761","2.584","C"
"0.06133","0.3727","0.1028","2.5","0","0","2.975","2.603","2.432","C"
"0.06133","0.3727","0.1028","13.18","0","0","13.65","13.28","3.964","C"
"0.08","0.2422","0.104","6.564","0","0","6.91","6.668","3.008","C"
"0.1","0.1658","0.1033","3.612","0","0","3.882","3.716","2.038","C"
"0.15","0.08091","0.09835","1.199","0","0","1.378","1.297","0.8554","C"
"0.2","0.04817","0.09264","0.5453","0","0","0.6862","0.638","0.4381","C"
"0.3","0.02281","0.08272","0.1826","0","0","0.2882","0.2654","0.1737","C"
"0.4","0.01324","0.0751","0.08652","0","0","0.1749","0.1616","0.09741","C"
"0.5","0.008627","0.06912","0.0497","0","0","0.1274","0.1188","0.06671","C"
"0.6","0.006066","0.06424","0.03222","0","0","0.1025","0.09646","0.05159","C"
"0.8","0.003462","0.05673","0.01691","0","0","0.0771","0.07364","0.03754","C"
"1","0.002235","0.05112","0.01061","0","0","0.06397","0.06174","0.03107","C"
"1.022","0.002141","0.0506","0.01016","0","0","0.0629","0.06076","0.0306","I"
"1.25","0.001439","0.0458","0.006849","0.0002946","0","0.05438","0.05294","0.02658","C"
"1.5","0.001003","0.04169","0.004886","0.00137","0","0.04895","0.04795","0.02413","C"
"2","0.0005666","0.03564","0.002961","0.004308","0","0.04347","0.04291","0.02208","C"
"2.044","0.0005426","0.03518","0.002855","0.004576","0","0.04316","0.04262","0.02207","I"
"3","0.0002526","0.02806","0.001556","0.01002","9.807E-06","0.03989","0.03964","0.02191","C"
"4","0.0001423","0.02341","0.001023","0.01482","3.999E-05","0.03944","0.0393","0.02314","C"
"5","9.111E-05","0.02022","0.0007521","0.01887","7.952E-05","0.04002","0.03993","0.02457","C"
"6","6.327E-05","0.01788","0.0005909","0.02236","0.0001219","0.04101","0.04095","0.02593","C"
"7","4.65E-05","0.01607","0.0004848","0.02543","0.0001642","0.0422","0.04215","0.02715","I"
"8","3.56E-05","0.01463","0.0004103","0.0282","0.0002049","0.04347","0.04344","0.02826","C"
"9","2.813E-05","0.01345","0.000355","0.03071","0.0002439","0.04478","0.04476","0.02922","I"
"10","2.279E-05","0.01246","0.0003127","0.03302","0.0002809","0.04609","0.04607","0.0301","C"
"11","1.883E-05","0.01162","0.0002792","0.03515","0.0003159","0.04738","0.04737","0.03076","I"
"12","1.583E-05","0.0109","0.0002521","0.03713","0.0003487","0.04865","0.04863","0.03138","I"
"13","1.349E-05","0.01027","0.0002297","0.03898","0.0003797","0.04987","0.04985","0.03196","I"
"14","1.163E-05","0.009713","0.0002109","0.04072","0.0004093","0.05106","0.05105","0.0325","I"
"15","1.013E-05","0.009223","0.0001949","0.04232","0.0004371","0.05218","0.05217","0.03302","C"
"16","8.906E-06","0.008784","0.0001811","0.04382","0.0004632","0.05325","0.05324","0.03328","I"
"18","7.037E-06","0.008029","0.0001587","0.0465","0.0005123","0.0552","0.0552","0.03376","I"
