"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","13.26","0.004873","6456","0","0","6470","6456","6455","C"
"0.001039","13.21","0.005121","6018","0","0","6031","6018","6020","C"
"0.00108","13.16","0.005377","5610","0","0","5623","5610","5608","C"
"0.00108","13.16","0.005377","5690","0","0","5703","5690","5688","C"
"0.001171","13.05","0.005926","4884","0","0","4897","4884","4891","C"
"0.001269","12.93","0.006509","4191","0","0","4204","4191","4190","C"
"0.001269","12.93","0.006509","4276","0","0","4289","4276","4275","C"
"0.0015","12.63","0.00791","3069","0","0","3082","3069","3069","C"
"0.002","11.98","0.01088","1684","0","0","1696","1684","1683","C"
"0.003","10.74","0.01662","687.3","0","0","698","687.3","687","C"
"0.003219","10.49","0.01784","585.4","0","0","595.9","585.4","585.1","C"
"0.003219","10.49","0.01784","1526","0","0","1536","1526","1485","C"
"0.003294","10.4","0.01825","1406","0","0","1416","1406","1358","C"
"0.00337","10.31","0.01866","1296","0","0","1306","1296","1264","C"
"0.00337","10.31","0.01866","1882","0","0","1892","1882","1822","C"
"0.00363","10.02","0.02005","1556","0","0","1566","1556","1508","C"
"0.003909","9.719","0.0215","1287","0","0","1297","1287","1252","C"
"0.003909","9.719","0.0215","1495","0","0","1504","1495","1453","C"
"0.004","9.624","0.02197","1416","0","0","1426","1417","1377","C"
"0.004656","8.968","0.02518","965.5","0","0","974.5","965.6","942.8","C"
"0.004656","8.968","0.02518","1025","0","0","1034","1025","1000","C"
"0.005","8.647","0.02676","860","0","0","868.6","860","840.8","C"
"0.005002","8.647","0.02676","859.2","0","0","867.9","859.2","839.9","C"
"0.005002","8.647","0.02676","896.6","0","0","905.3","896.6","876.1","C"
"0.006","7.807","0.03104","575.1","0","0","582.9","575.1","564.1","C"
"0.008","6.433","0.03854","281.4","0","0","287.9","281.5","277.3","C"
"0.01","5.377","0.04523","159.9","0","0","165.3","159.9","158","C"
"0.015","3.631","0.05844","56.31","0","0","60","56.37","55.83","C"
"0.01587","3.414","0.06029","48.65","0","0","52.12","48.71","48.23","C"
"0.01587","3.414","0.06029","117.9","0","0","121.4","118","92.24","C"
"0.0174","3.072","0.06323","91.78","0","0","94.91","91.84","73.5","C"
"0.01908","2.753","0.06618","71.43","0","0","74.25","71.5","58.65","C"
"0.01908","2.753","0.06618","100.8","0","0","103.6","100.9","74.48","C"
"0.01946","2.689","0.06682","95.94","0","0","98.7","96.01","71.33","C"
"0.01984","2.627","0.06743","91.33","0","0","94.02","91.4","68.31","C"
"0.01984","2.627","0.06743","105.1","0","0","107.8","105.2","77.74","C"
"0.02","2.601","0.06767","103.5","0","0","106.1","103.5","76.45","C"
"0.03","1.531","0.08006","36.5","0","0","38.11","36.58","30","C"
"0.04","1.029","0.08769","17.11","0","0","18.23","17.2","14.79","C"
"0.05","0.739","0.09231","9.438","0","0","10.27","9.53","8.396","C"
"0.06","0.5549","0.09499","5.783","0","0","6.433","5.878","5.242","C"
"0.08","0.3486","0.09703","2.655","0","0","3.101","2.752","2.465","C"
"0.1","0.2417","0.09693","1.447","0","0","1.786","1.544","1.367","C"
"0.1068","0.2166","0.09661","1.211","0","0","1.525","1.308","1.15","C"
"0.1068","0.2166","0.09661","5.308","0","0","5.621","5.404","1.582","C"
"0.15","0.1203","0.09319","2.22","0","0","2.434","2.313","1.1","C"
"0.2","0.07197","0.08828","1.053","0","0","1.213","1.141","0.6581","C"
"0.3","0.03448","0.07929","0.3722","0","0","0.4859","0.4514","0.2896","C"
"0.4","0.02025","0.07218","0.1825","0","0","0.2749","0.2546","0.1632","C"
"0.5","0.01331","0.06653","0.1074","0","0","0.1872","0.1739","0.1085","C"
"0.6","0.009403","0.06194","0.07077","0","0","0.1421","0.1327","0.08018","C"
"0.8","0.005406","0.05478","0.03785","0","0","0.09803","0.09263","0.05311","C"
"1","0.003507","0.04942","0.02394","0","0","0.07686","0.07336","0.0408","C"
"1.022","0.003361","0.04891","0.02292","0","0","0.0752","0.07184","0.03991","I"
"1.25","0.002267","0.04432","0.01549","0.0004292","0","0.06251","0.06024","0.03258","C"
"1.5","0.001585","0.04035","0.01101","0.002095","0","0.05504","0.05345","0.02831","C"
"2","0.0008984","0.03448","0.006655","0.006186","0","0.04822","0.04733","0.0249","C"
"2.044","0.0008605","0.03406","0.006417","0.006536","0","0.04787","0.04701","0.02486","I"
"3","0.0004019","0.02716","0.00347","0.01305","9.491E-06","0.04409","0.04369","0.02419","C"
