"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","13.24","0.003436","5853","0","0","5867","5853","5854","C"
"0.001021","13.22","0.003556","5636","0","0","5649","5636","5637","C"
"0.001042","13.2","0.003679","5426","0","0","5439","5426","5420","C"
"0.001042","13.2","0.003679","5541","0","0","5554","5541","5537","C"
"0.0015","12.68","0.006539","2718","0","0","2731","2718","2717","C"
"0.002","12.05","0.009777","1482","0","0","1494","1482","1482","C"
"0.002787","11.05","0.01472","711.5","0","0","722.6","711.5","711.2","C"
"0.002787","11.05","0.01472","2421","0","0","2432","2421","2355","C"
"0.002847","10.97","0.01508","2014","0","0","2025","2014","1869","C"
"0.002909","10.9","0.01545","1676","0","0","1687","1676","1638","C"
"0.002909","10.9","0.01545","2783","0","0","2794","2783","2671","C"
"0.003","10.78","0.01599","2239","0","0","2249","2239","2178","C"
"0.003426","10.28","0.01843","1604","0","0","1614","1604","1566","C"
"0.003426","10.28","0.01843","1856","0","0","1866","1856","1811","C"
"0.004","9.642","0.02152","1266","0","0","1276","1266","1240","C"
"0.004008","9.633","0.02156","1260","0","0","1269","1260","1233","C"
"0.004008","9.633","0.02156","1336","0","0","1346","1336","1308","C"
"0.00416","9.474","0.02232","1221","0","0","1231","1221","1196","C"
"0.004317","9.315","0.02311","1117","0","0","1126","1117","1095","C"
"0.004317","9.315","0.02311","1165","0","0","1175","1166","1142","C"
"0.005","8.647","0.0264","816.5","0","0","825.2","816.5","802.5","C"
"0.006","7.781","0.03089","522","0","0","529.8","522","514.6","C"
"0.008","6.367","0.03909","253.7","0","0","260.1","253.7","250.9","C"
"0.01","5.297","0.04637","143.6","0","0","148.9","143.6","142.3","C"
"0.01421","3.76","0.05848","57.82","0","0","61.63","57.87","57.38","C"
"0.01421","3.76","0.05848","142.2","0","0","146.1","142.3","114","C"
"0.015","3.545","0.06037","124.2","0","0","127.8","124.3","100.8","C"
"0.01678","3.12","0.06424","90.97","0","0","94.15","91.03","75.76","C"
"0.01678","3.12","0.06424","127.1","0","0","130.3","127.1","96.7","C"
"0.01714","3.042","0.06492","120.9","0","0","124","121","92.64","C"
"0.01749","2.965","0.06559","115","0","0","118.1","115.1","88.47","C"
"0.01749","2.965","0.06559","133","0","0","136","133","101","C"
"0.02","2.519","0.07015","94.44","0","0","97.03","94.51","74.46","C"
"0.03","1.482","0.0834","32.87","0","0","34.43","32.95","28.12","C"
"0.04","0.9934","0.09146","15.29","0","0","16.38","15.39","13.61","C"
"0.05","0.7098","0.09619","8.388","0","0","9.194","8.485","7.637","C"
"0.06","0.5317","0.09888","5.116","0","0","5.747","5.215","4.729","C"
"0.08","0.3338","0.1009","2.334","0","0","2.769","2.435","2.2","C"
"0.09573","0.2487","0.1009","1.427","0","0","1.777","1.528","1.361","C"
"0.09573","0.2487","0.1009","6.544","0","0","6.894","6.645","1.935","C"
"0.1","0.2311","0.1007","5.842","0","0","6.174","5.943","1.897","C"
