"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","12.27","0.003268","4641","0","0","4653","4641","4639","C"
"0.0015","11.81","0.006066","2077","0","0","2089","2077","2076","C"
"0.002","11.27","0.008955","1125","0","0","1137","1125","1125","C"
"0.002206","11.03","0.01014","907.8","0","0","918.8","907.8","907.4","C"
"0.002206","11.03","0.01014","982.7","0","0","993.7","982.7","983.6","C"
"0.002248","10.97","0.01038","1475","0","0","1486","1475","1360","C"
"0.002291","10.92","0.01063","2214","0","0","2225","2214","2208","C"
"0.002291","10.92","0.01063","2347","0","0","2358","2347","2336","C"
"0.002507","10.68","0.01185","2267","0","0","2278","2267","2325","C"
"0.002743","10.41","0.01317","2191","0","0","2202","2191","2154","C"
"0.002743","10.41","0.01317","2529","0","0","2539","2529","2484","C"
"0.003","10.11","0.01459","2039","0","0","2049","2039","2005","C"
"0.003148","9.94","0.0154","1812","0","0","1822","1812","1783","C"
"0.003148","9.94","0.0154","1923","0","0","1933","1923","1892","C"
"0.003283","9.787","0.01613","1740","0","0","1750","1740","1710","C"
"0.003425","9.631","0.01688","1575","0","0","1585","1575","1552","C"
"0.003425","9.631","0.01688","1642","0","0","1652","1642","1618","C"
"0.004","9.007","0.01991","1135","0","0","1144","1135","1120","C"
"0.005","8.032","0.02499","658","0","0","666","658","651.2","C"
"0.006","7.188","0.02987","418","0","0","425.2","418","414.3","C"
"0.008","5.846","0.03877","201.3","0","0","207.2","201.3","199.9","C"
"0.01","4.837","0.04629","113.2","0","0","118.1","113.3","112.6","C"
"0.01192","4.082","0.0524","71.7","0","0","75.83","71.75","71.29","C"
"0.01192","4.082","0.0524","182.9","0","0","187","182.9","152.1","C"
"0.01279","3.791","0.05481","151","0","0","154.9","151.1","127.2","C"
"0.01373","3.51","0.05724","124.7","0","0","128.3","124.8","106.6","C"
"0.01373","3.51","0.05724","172.9","0","0","176.4","172.9","137.9","C"
