"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.833","0.005173","2618","0","0","2624","2618","2618","C"
"0.0015","5.512","0.01008","996.4","0","0","1002","996.4","996.4","C"
"0.00155","5.475","0.0106","920.2","0","0","925.7","920.2","920","C"
"0.00155","5.475","0.0106","4306","0","0","4312","4306","4223","C"
"0.001573","5.459","0.01084","3931","0","0","3936","3931","3780","C"
"0.001596","5.442","0.01108","3587","0","0","3593","3587","3534","C"
"0.001596","5.442","0.01108","5097","0","0","5103","5097","5014","C"
"0.001686","5.377","0.01202","4495","0","0","4500","4495","4523","C"
"0.001782","5.31","0.01302","3964","0","0","3970","3964","3910","C"
"0.001782","5.31","0.01302","4489","0","0","4494","4489","4427","C"
"0.002","5.148","0.01528","3402","0","0","3407","3402","3360","C"
"0.003","4.439","0.02517","1226","0","0","1231","1226","1216","C"
"0.004","3.844","0.03392","577.6","0","0","581.5","577.6","574","C"
"0.005","3.361","0.04149","317.9","0","0","321.3","317.9","316.3","C"
"0.006","2.96","0.04811","193.8","0","0","196.9","193.9","193","C"
"0.008","2.323","0.05948","87.88","0","0","90.26","87.94","87.56","C"
"0.01","1.846","0.06906","47.2","0","0","49.12","47.27","47.06","C"
"0.01347","1.287","0.08253","20.39","0","0","21.76","20.48","20.33","C"
"0.01347","1.287","0.08253","145.7","0","0","147.1","145.8","76.68","C"
"0.015","1.122","0.08728","110.6","0","0","111.8","110.7","63.36","C"
"0.02","0.765","0.09941","51.79","0","0","52.66","51.89","35.02","C"
"0.03","0.4326","0.1131","16.99","0","0","17.53","17.1","13.28","C"
"0.04","0.2766","0.1196","7.504","0","0","7.901","7.624","6.267","C"
"0.05","0.1912","0.1225","3.95","0","0","4.264","4.072","3.431","C"
"0.06","0.1405","0.1233","2.318","0","0","2.582","2.442","2.068","C"
"0.08","0.08569","0.1222","0.9903","0","0","1.198","1.112","0.9185","C"
"0.1","0.05797","0.1195","0.5087","0","0","0.6861","0.6281","0.489","C"
"0.15","0.02779","0.1114","0.1507","0","0","0.2899","0.2621","0.1634","C"
"0.2","0.0162","0.1038","0.06385","0","0","0.1838","0.1676","0.08378","C"
"0.3","0.007456","0.09157","0.01956","0","0","0.1186","0.1111","0.0436","C"
"0.4","0.004265","0.0826","0.008765","0","0","0.09563","0.09137","0.03398","C"
"0.5","0.002755","0.07567","0.004854","0","0","0.08328","0.08052","0.03036","C"
"0.6","0.001923","0.07016","0.003073","0","0","0.07516","0.07323","0.02851","C"
"0.8","0.001088","0.06177","0.001574","0","0","0.06443","0.06334","0.0264","C"
"1","0.0006987","0.05561","0.0009798","0","0","0.05728","0.05659","0.02496","C"
"1.022","0.0006691","0.05502","0.0009315","0","0","0.05662","0.05595","0.02481","I"
"1.25","0.0004481","0.04976","0.0006292","0.0001009","0","0.05094","0.05049","0.0235","C"
"1.5","0.0003115","0.04524","0.0004524","0.0004942","0","0.0465","0.04619","0.02237","C"
"2","0.0001754","0.03863","0.0002774","0.001807","0","0.04089","0.04072","0.02092","C"
"2.044","0.0001679","0.03816","0.0002679","0.001939","0","0.04053","0.04037","0.02086","I"
