"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","8.987","0.006731","9701","0","0","9710","9701","9679","C"
"0.001089","8.888","0.007516","7975","0","0","7984","7975","7964","C"
"0.001185","8.789","0.008334","6554","0","0","6563","6554","6541","C"
"0.001185","8.789","0.008334","7534","0","0","7543","7534","7519","C"
"0.001228","8.748","0.008673","6975","0","0","6984","6975","6960","C"
"0.001273","8.703","0.009021","6456","0","0","6464","6456","6442","C"
"0.001273","8.703","0.009021","6842","0","0","6851","6842","6829","C"
"0.001352","8.617","0.009673","6014","0","0","6023","6014","6010","C"
"0.001437","8.523","0.01038","5287","0","0","5295","5287","5273","C"
"0.001437","8.523","0.01038","5523","0","0","5531","5523","5512","C"
"0.0015","8.454","0.0109","5024","0","0","5033","5024","5015","C"
"0.002","7.921","0.01488","2599","0","0","2607","2599","2595","C"
"0.003","6.92","0.02252","978.7","0","0","985.6","978.7","977.6","C"
"0.004","6.047","0.02956","474.9","0","0","481","475","474.5","C"
"0.005","5.312","0.03591","268.6","0","0","274","268.7","268.4","C"
"0.005723","4.865","0.03999","189.4","0","0","194.3","189.5","189.2","C"
"0.005723","4.865","0.03999","540.7","0","0","545.6","540.7","504.6","C"
"0.006","4.706","0.04146","486.1","0","0","490.9","486.1","455","C"
"0.006164","4.616","0.04231","450.9","0","0","455.5","450.9","422.8","C"
"0.006164","4.616","0.04231","614.2","0","0","618.8","614.2","566.5","C"
"0.006354","4.515","0.04326","569.9","0","0","574.4","569.9","527.8","C"
"0.006549","4.414","0.04423","528.7","0","0","533.1","528.7","489.9","C"
"0.006549","4.414","0.04423","610.3","0","0","614.8","610.4","563.3","C"
"0.008","3.762","0.05072","369.4","0","0","373.2","369.5","345.8","C"
"0.01","3.071","0.05845","205.1","0","0","208.2","205.1","194.5","C"
"0.015","2.015","0.07375","69.33","0","0","71.42","69.4","66.9","C"
"0.02","1.449","0.08433","31.59","0","0","33.12","31.67","30.73","C"
"0.03","0.8403","0.09679","10.25","0","0","11.19","10.35","10.05","C"
"0.04","0.5467","0.1033","4.564","0","0","5.215","4.668","4.496","C"
"0.04044","0.5377","0.1035","4.427","0","0","5.068","4.53","4.359","C"
"0.04044","0.5377","0.1035","25.71","0","0","26.35","25.81","8.272","C"
"0.05","0.3889","0.1069","14.71","0","0","15.2","14.81","6.569","C"
"0.06","0.2918","0.1087","9.047","0","0","9.448","9.156","4.847","C"
"0.08","0.1809","0.1094","4.119","0","0","4.409","4.228","2.677","C"
"0.1","0.1228","0.1081","2.214","0","0","2.445","2.322","1.597","C"
"0.15","0.05979","0.1021","0.707","0","0","0.8689","0.8091","0.5862","C"
"0.2","0.03548","0.0958","0.3139","0","0","0.4452","0.4097","0.2865","C"
"0.3","0.01663","0.08527","0.102","0","0","0.2039","0.1873","0.1134","C"
"0.4","0.009597","0.07723","0.04741","0","0","0.1342","0.1246","0.06664","C"
"0.5","0.006236","0.071","0.02687","0","0","0.1041","0.09787","0.04851","C"
"0.6","0.004371","0.06593","0.01727","0","0","0.08757","0.0832","0.0397","C"
"0.8","0.002489","0.05815","0.008979","0","0","0.06962","0.06713","0.03145","C"
"1","0.001603","0.05239","0.005613","0","0","0.05961","0.05801","0.0275","C"
"1.022","0.001536","0.05188","0.005372","0","0","0.05878","0.05725","0.0272","I"
"1.25","0.001031","0.04693","0.003622","0.0002177","0","0.0518","0.05077","0.02456","C"
"1.5","0.0007178","0.0427","0.00259","0.001006","0","0.04701","0.04629","0.02281","C"
"2","0.0004047","0.03647","0.001574","0.003315","0","0.04177","0.04136","0.02118","C"
"2.044","0.0003876","0.03603","0.001518","0.003536","0","0.04147","0.04108","0.02117","I"
"3","0.0001803","0.02872","0.0008321","0.008175","1.004E-05","0.03792","0.03774","0.02096","C"
"4","0.0001015","0.02397","0.0005497","0.01239","4.095E-05","0.03705","0.03695","0.02194","C"
"5","6.494E-05","0.0207","0.0004058","0.01601","8.149E-05","0.03727","0.0372","0.02316","C"
"6","4.513E-05","0.0183","0.0003198","0.01913","0.000125","0.03792","0.03788","0.02434","C"
"7","3.315E-05","0.01645","0.000263","0.0219","0.0001683","0.03882","0.03878","0.02545","I"
"8","2.538E-05","0.01497","0.000223","0.02439","0.0002102","0.03982","0.03979","0.02645","C"
"9","2.005E-05","0.01376","0.0001933","0.02664","0.0002503","0.04087","0.04085","0.02734","I"
"10","1.625E-05","0.01275","0.0001705","0.02871","0.0002883","0.04194","0.04193","0.02816","C"
"11","1.343E-05","0.01189","0.0001524","0.03062","0.0003243","0.04301","0.04299","0.02879","I"
"12","1.128E-05","0.01115","0.0001377","0.03239","0.0003582","0.04405","0.04404","0.02938","I"
"13","9.615E-06","0.01051","0.0001255","0.03404","0.00039","0.04508","0.04507","0.02993","I"
"14","8.291E-06","0.009941","0.0001154","0.03557","0.0004204","0.04606","0.04605","0.03045","I"
"15","7.221E-06","0.009438","0.0001067","0.03699","0.0004491","0.04699","0.04698","0.03094","C"
"16","6.348E-06","0.008987","9.92E-05","0.0383","0.0004762","0.04787","0.04786","0.03121","I"
"18","5.016E-06","0.008213","8.699E-05","0.04068","0.0005269","0.04951","0.0495","0.03171","I"
"20","4.062E-06","0.007573","7.741E-05","0.04281","0.0005725","0.05104","0.05103","0.03216","C"
"22","3.357E-06","0.007036","6.976E-05","0.04474","0.0006146","0.05247","0.05246","",""
"24","2.821E-06","0.006576","6.344E-05","0.0465","0.0006529","0.0538","0.0538","",""
"26","2.403E-06","0.006172","5.819E-05","0.04809","0.0006885","0.05502","0.05501","",""
"28","2.072E-06","0.005824","5.372E-05","0.04956","0.0007212","0.05616","0.05615","",""
"30","1.805E-06","0.005514","4.99E-05","0.05093","0.0007517","0.05725","0.05725","",""
"40","1.016E-06","0.004384","3.68E-05","0.05643","0.0008785","0.06173","0.06173","",""
"50","6.499E-07","0.003658","2.913E-05","0.06052","0.0009739","0.06518","0.06518","",""
"60","4.513E-07","0.003152","2.41E-05","0.0637","0.00105","0.06792","0.06792","",""
"80","2.539E-07","0.002486","1.792E-05","0.06838","0.001164","0.07205","0.07205","",""
"100","1.625E-07","0.002063","1.426E-05","0.07169","0.001247","0.07501","0.07501","",""
"150","7.221E-08","0.001469","9.438E-06","0.07702","0.001384","0.07988","0.07988","",""
"200","4.062E-08","0.001152","7.053E-06","0.08016","0.00147","0.08279","0.08279","",""
"300","1.805E-08","0.0008166","4.685E-06","0.08385","0.001576","0.08625","0.08625","",""
"400","1.016E-08","0.0006395","3.508E-06","0.086","0.001639","0.08829","0.08829","",""
"500","6.499E-09","0.0005295","2.803E-06","0.08738","0.001683","0.08959","0.08959","",""
"600","4.513E-09","0.0004534","2.334E-06","0.08841","0.001714","0.09058","0.09058","",""
"800","2.539E-09","0.000354","1.749E-06","0.08974","0.001759","0.09186","0.09186","",""
"1000","1.625E-09","0.0002912","1.399E-06","0.0906","0.001789","0.09268","0.09268","",""
"1500","7.221E-10","0.0002034","9.318E-07","0.09185","0.001833","0.09389","0.09389","",""
"2000","4.062E-10","0.0001574","6.984E-07","0.09254","0.001858","0.09455","0.09455","",""
"3000","1.805E-10","0.0001094","4.655E-07","0.09327","0.001886","0.09526","0.09526","",""
"4000","1.016E-10","8.45E-05","3.49E-07","0.09365","0.001903","0.09564","0.09564","",""
"5000","6.499E-11","6.907E-05","2.792E-07","0.09391","0.001913","0.09589","0.09589","",""
"6000","4.513E-11","5.858E-05","2.327E-07","0.09408","0.00192","0.09606","0.09606","",""
"8000","2.539E-11","4.513E-05","1.745E-07","0.0943","0.001929","0.09627","0.09627","",""
"10000","1.625E-11","3.685E-05","1.396E-07","0.09447","0.001935","0.09644","0.09644","",""
"15000","7.221E-12","2.547E-05","9.305E-08","0.09464","0.001944","0.09661","0.09661","",""
"20000","4.062E-12","1.958E-05","6.98E-08","0.09477","0.001948","0.09674","0.09674","",""
"30000","1.805E-12","1.35E-05","4.65E-08","0.09486","0.001953","0.09682","0.09682","",""
"40000","1.016E-12","1.037E-05","3.489E-08","0.09494","0.001956","0.09691","0.09691","",""
"50000","6.499E-13","8.441E-06","2.791E-08","0.09499","0.001958","0.09695","0.09695","",""
