"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","8.55","0.005881","9357","0","0","9365","9357","9343","C"
"0.001032","8.521","0.006133","8763","0","0","8771","8763","8754","C"
"0.001065","8.491","0.006393","8206","0","0","8214","8206","8194","C"
"0.001065","8.491","0.006393","8677","0","0","8686","8677","8663","C"
"0.001139","8.422","0.006973","7555","0","0","7563","7555","7557","C"
"0.001217","8.346","0.007594","6579","0","0","6588","6579","6567","C"
"0.001217","8.346","0.007594","6883","0","0","6891","6883","6870","C"
"0.0015","8.075","0.009864","4327","0","0","4335","4327","4322","C"
"0.002","7.576","0.01399","2218","0","0","2226","2218","2216","C"
"0.003","6.593","0.02203","825.1","0","0","831.7","825.1","824.6","C"
"0.004","5.745","0.02941","399.7","0","0","405.5","399.7","399.4","C"
"0.005","5.043","0.03582","225.3","0","0","230.4","225.3","225.1","C"
"0.005012","5.034","0.03589","224","0","0","229","224","223.7","C"
"0.005012","5.034","0.03589","662.5","0","0","667.5","662.5","624.8","C"
"0.005183","4.921","0.0369","608.8","0","0","613.8","608.8","576.3","C"
"0.005359","4.821","0.03791","559.6","0","0","564.5","559.6","529.9","C"
"0.005359","4.821","0.03791","764.4","0","0","769.3","764.4","714.2","C"
"0.005534","4.721","0.03887","705.4","0","0","710.2","705.4","661","C"
"0.005714","4.617","0.03985","651.1","0","0","655.8","651.2","610.8","C"
"0.005714","4.617","0.03985","749.9","0","0","754.6","749.9","701.5","C"
"0.006","4.459","0.04137","666.5","0","0","671","666.6","625.3","C"
"0.008","3.548","0.05079","317.9","0","0","321.5","317.9","302.9","C"
"0.01","2.886","0.0589","176.4","0","0","179.3","176.4","169.7","C"
"0.015","1.899","0.07463","59.09","0","0","61.06","59.16","57.53","C"
"0.02","1.359","0.08519","26.77","0","0","28.22","26.86","26.23","C"
"0.03","0.7789","0.0976","8.632","0","0","9.508","8.729","8.502","C"
"0.03598","0.5945","0.102","5.166","0","0","5.862","5.268","5.102","C"
"0.03598","0.5945","0.102","30.73","0","0","31.43","30.84","10.17","C"
"0.04","0.507","0.1042","23.19","0","0","23.81","23.3","9.185","C"
"0.05","0.3605","0.1077","12.93","0","0","13.4","13.04","6.618","C"
"0.06","0.2698","0.1095","7.871","0","0","8.25","7.98","4.653","C"
"0.08","0.1664","0.1101","3.56","0","0","3.836","3.67","2.464","C"
"0.1","0.1128","0.1086","1.903","0","0","2.124","2.012","1.438","C"
"0.15","0.05487","0.1024","0.6017","0","0","0.759","0.7041","0.5154","C"
"0.2","0.03251","0.09601","0.2656","0","0","0.3941","0.3616","0.2502","C"
"0.3","0.0152","0.08541","0.08564","0","0","0.1862","0.1711","0.1","C"
"0.4","0.008754","0.07735","0.03961","0","0","0.1257","0.117","0.06003","C"
"0.5","0.005687","0.07105","0.02238","0","0","0.09912","0.09343","0.04463","C"
"0.6","0.003985","0.06597","0.01435","0","0","0.08431","0.08033","0.03717","C"
"0.8","0.002266","0.05818","0.007449","0","0","0.0679","0.06563","0.03014","C"
"1","0.001459","0.05243","0.004653","0","0","0.05854","0.05708","0.02671","C"
"1.022","0.001397","0.05188","0.004453","0","0","0.05773","0.05633","0.02644","I"
"1.25","0.0009375","0.04694","0.003003","0.0001987","0","0.05108","0.05014","0.02408","C"
"1.5","0.0006525","0.04269","0.002148","0.0009189","0","0.04641","0.04576","0.02246","C"
"2","0.0003679","0.03647","0.001307","0.003069","0","0.04121","0.04084","0.02091","C"
"2.044","0.0003523","0.03602","0.001261","0.003276","0","0.04091","0.04056","0.0209","I"
"3","0.0001638","0.02871","0.0006919","0.007671","1.004E-05","0.03725","0.03709","0.02064","C"
"4","9.221E-05","0.02396","0.0004581","0.0117","4.095E-05","0.03625","0.03616","0.02153","C"
"5","5.904E-05","0.02069","0.0003383","0.01518","8.152E-05","0.03635","0.03629","0.02268","C"
"6","4.1E-05","0.01829","0.0002668","0.01817","0.000125","0.03689","0.03685","0.0238","C"
"7","3.013E-05","0.01644","0.0002196","0.02083","0.0001684","0.03769","0.03766","0.02487","I"
"8","2.307E-05","0.01497","0.0001863","0.02322","0.0002103","0.0386","0.03858","0.02583","C"
"9","1.822E-05","0.01376","0.0001615","0.02539","0.0002504","0.03957","0.03956","0.0267","I"
"10","1.476E-05","0.01275","0.0001425","0.02738","0.0002885","0.04057","0.04055","0.0275","C"
"11","1.22E-05","0.01189","0.0001274","0.02921","0.0003245","0.04157","0.04155","0.02813","I"
"12","1.025E-05","0.01115","0.0001152","0.03091","0.0003584","0.04255","0.04254","0.02871","I"
"13","8.736E-06","0.0105","0.000105","0.03249","0.0003903","0.0435","0.04349","0.02926","I"
"14","7.531E-06","0.009937","9.651E-05","0.03396","0.0004207","0.04442","0.04441","0.02977","I"
"15","6.561E-06","0.009434","8.931E-05","0.03531","0.0004494","0.04529","0.04528","0.03026","C"
"16","5.768E-06","0.008985","8.306E-05","0.03656","0.0004767","0.04611","0.04611","0.03054","I"
"18","4.558E-06","0.00821","7.282E-05","0.03884","0.0005274","0.04766","0.04765","0.03105","I"
"20","3.692E-06","0.007572","6.484E-05","0.04088","0.0005732","0.0491","0.04909","0.03152","C"
"22","3.051E-06","0.007032","5.845E-05","0.04274","0.0006153","0.05045","0.05044","",""
"24","2.563E-06","0.006575","5.315E-05","0.04442","0.0006538","0.05171","0.05171","",""
"26","2.184E-06","0.006171","4.876E-05","0.04595","0.0006896","0.05286","0.05286","",""
"28","1.883E-06","0.005823","4.503E-05","0.04735","0.0007223","0.05394","0.05394","",""
"30","1.641E-06","0.005514","4.183E-05","0.04866","0.0007531","0.05498","0.05497","",""
"40","9.23E-07","0.004381","3.085E-05","0.05392","0.0008799","0.05921","0.05921","",""
"50","5.904E-07","0.003657","2.443E-05","0.05782","0.000976","0.06248","0.06247","",""
"60","4.102E-07","0.003151","2.022E-05","0.0609","0.001052","0.06512","0.06512","",""
"80","2.307E-07","0.002485","1.503E-05","0.06538","0.001167","0.06905","0.06905","",""
"100","1.477E-07","0.002063","1.196E-05","0.06856","0.00125","0.07188","0.07188","",""
"150","6.561E-08","0.001469","7.92E-06","0.07363","0.001388","0.0765","0.0765","",""
"200","3.691E-08","0.001152","5.918E-06","0.07667","0.001475","0.0793","0.0793","",""
"300","1.641E-08","0.0008161","3.932E-06","0.0802","0.001581","0.0826","0.0826","",""
"400","9.23E-09","0.0006393","2.944E-06","0.08224","0.001644","0.08453","0.08453","",""
"500","5.904E-09","0.0005292","2.353E-06","0.0836","0.001688","0.08582","0.08582","",""
"600","4.101E-09","0.0004531","1.959E-06","0.08455","0.00172","0.08673","0.08673","",""
"800","2.307E-09","0.0003539","1.468E-06","0.08582","0.001764","0.08794","0.08794","",""
"1000","1.476E-09","0.0002911","1.174E-06","0.08668","0.001794","0.08877","0.08877","",""
"1500","6.561E-10","0.0002033","7.821E-07","0.08786","0.001838","0.0899","0.0899","",""
"2000","3.691E-10","0.0001574","5.863E-07","0.08849","0.001863","0.09051","0.09051","",""
"3000","1.641E-10","0.0001094","3.907E-07","0.08922","0.00189","0.09122","0.09122","",""
"4000","9.23E-11","8.446E-05","2.93E-07","0.08958","0.001907","0.09157","0.09157","",""
"5000","5.904E-11","6.905E-05","2.344E-07","0.08985","0.001916","0.09184","0.09184","",""
"6000","4.101E-11","5.854E-05","1.953E-07","0.08999","0.001923","0.09197","0.09197","",""
