"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","10.21","0.005266","2484","0","0","2494","2484","2483","C"
"0.001138","10.09","0.006196","1937","0","0","1948","1937","1943","C"
"0.001295","9.939","0.007275","1512","0","0","1522","1512","1511","C"
"0.001295","9.939","0.007275","2113","0","0","2123","2113","2156","C"
"0.001314","9.921","0.007404","3146","0","0","3156","3146","3265","C"
"0.001333","9.902","0.007534","4684","0","0","4694","4684","4704","C"
"0.001333","9.902","0.007534","5496","0","0","5506","5496","5502","C"
"0.0015","9.735","0.008672","5540","0","0","5550","5540","5503","C"
"0.001676","9.561","0.009861","4221","0","0","4231","4221","4194","C"
"0.001676","9.561","0.009861","4884","0","0","4894","4884","4855","C"
"0.001757","9.486","0.0104","4374","0","0","4383","4374","4345","C"
"0.001842","9.406","0.01097","3913","0","0","3923","3913","3892","C"
"0.001842","9.406","0.01097","4158","0","0","4167","4158","4133","C"
"0.002","9.243","0.01203","3457","0","0","3467","3457","3438","C"
"0.002047","9.194","0.01234","3279","0","0","3288","3279","3259","C"
"0.002047","9.194","0.01234","3425","0","0","3434","3425","3404","C"
"0.003","8.249","0.01864","1396","0","0","1405","1396","1391","C"
"0.004","7.304","0.02482","687.8","0","0","695.1","687.8","685.8","C"
"0.005","6.463","0.0305","392.5","0","0","399","392.5","391.3","C"
"0.006","5.733","0.03564","246.2","0","0","252","246.3","245.6","C"
"0.00779","4.688","0.04362","125.1","0","0","129.9","125.2","124.9","C"
"0.00779","4.688","0.04362","338.9","0","0","343.7","339","305.1","C"
"0.008","4.584","0.04447","322.3","0","0","326.9","322.3","290.6","C"
"0.008581","4.31","0.04677","265.1","0","0","269.5","265.2","241","C"
"0.008581","4.31","0.04677","362.9","0","0","367.3","363","319.8","C"
"0.00881","4.208","0.04764","340.1","0","0","344.3","340.1","301.3","C"
"0.009046","4.106","0.04851","318.7","0","0","322.9","318.8","282.6","C"
"0.009046","4.106","0.04851","368.4","0","0","372.5","368.4","324.5","C"
"0.01","3.732","0.05192","286.4","0","0","290.2","286.5","255.4","C"
"0.015","2.411","0.06667","99.17","0","0","101.6","99.24","91.87","C"
"0.02","1.718","0.07757","45.84","0","0","47.64","45.92","43.28","C"
"0.03","1.012","0.09113","15.15","0","0","16.25","15.24","14.56","C"
"0.04","0.6608","0.09832","6.823","0","0","7.582","6.921","6.616","C"
"0.05","0.4677","0.1022","3.657","0","0","4.227","3.759","3.566","C"
"0.05379","0.4173","0.1032","2.979","0","0","3.5","3.082","2.911","C"
"0.05379","0.4173","0.1032","16.24","0","0","16.76","16.34","4.961","C"
"0.06","0.3512","0.1042","12.13","0","0","12.59","12.24","4.554","C"
"0.08","0.2199","0.1054","5.689","0","0","6.014","5.794","2.993","C"
"0.1","0.15","0.1045","3.106","0","0","3.36","3.21","1.925","C"
"0.15","0.07312","0.09921","1.016","0","0","1.188","1.115","0.766","C"
"0.2","0.04351","0.09332","0.4584","0","0","0.5952","0.5517","0.3846","C"
"0.3","0.02054","0.08327","0.1521","0","0","0.2559","0.2353","0.1514","C"
"0.4","0.0119","0.07553","0.07156","0","0","0.159","0.1471","0.08578","C"
"0.5","0.007745","0.06949","0.04091","0","0","0.1181","0.1104","0.05971","C"
"0.6","0.00544","0.06456","0.02645","0","0","0.09644","0.091","0.04694","C"
"0.8","0.003103","0.057","0.01383","0","0","0.07393","0.07083","0.03509","C"
"1","0.002001","0.05136","0.008672","0","0","0.06204","0.06004","0.02958","C"
"1.022","0.001917","0.05085","0.008298","0","0","0.06106","0.05914","0.02918","I"
"1.25","0.001288","0.04603","0.005592","0.0002672","0","0.05318","0.05189","0.0257","C"
"1.5","0.0008972","0.04188","0.003995","0.001237","0","0.04801","0.04711","0.02352","C"
"2","0.0005066","0.03577","0.002422","0.003947","0","0.04265","0.04214","0.02163","C"
"2.044","0.0004851","0.03533","0.002336","0.004199","0","0.04235","0.04187","0.02162","I"
"3","0.0002258","0.02817","0.001275","0.009365","9.847E-06","0.03905","0.03882","0.02149","C"
"4","0.0001271","0.02351","0.0008398","0.01397","4.014E-05","0.03849","0.03836","0.02264","C"
"5","8.138E-05","0.02031","0.0006181","0.01788","7.99E-05","0.03897","0.03888","0.02401","C"
"6","5.652E-05","0.01795","0.0004862","0.02124","0.0001225","0.03986","0.0398","0.02532","C"
"7","4.154E-05","0.01614","0.0003991","0.02421","0.0001649","0.04096","0.04091","0.02651","I"
"8","3.181E-05","0.01469","0.000338","0.02688","0.0002059","0.04215","0.04211","0.02758","C"
"9","2.513E-05","0.0135","0.0002927","0.02931","0.0002451","0.04337","0.04335","0.02852","I"
"10","2.036E-05","0.01251","0.0002579","0.03153","0.0002823","0.04461","0.04459","0.02938","C"
"11","1.683E-05","0.01167","0.0002303","0.03359","0.0003175","0.04582","0.0458","0.03003","I"
"12","1.414E-05","0.01094","0.000208","0.0355","0.0003506","0.04702","0.047","0.03063","I"
"13","1.205E-05","0.01031","0.0001896","0.03728","0.0003817","0.04817","0.04816","0.03119","I"
"14","1.039E-05","0.009754","0.0001741","0.03895","0.0004114","0.0493","0.04929","0.03173","I"
"15","9.05E-06","0.009257","0.0001609","0.04047","0.0004395","0.05034","0.05033","0.03223","C"
"16","7.953E-06","0.008816","0.0001496","0.04191","0.0004658","0.05135","0.05135","0.03249","I"
"18","6.285E-06","0.00806","0.0001311","0.04451","0.0005151","0.05322","0.05321","0.03298","I"
"20","5.092E-06","0.00743","0.0001166","0.04681","0.0005596","0.05492","0.05491","0.03342","C"
"22","4.206E-06","0.006904","0.000105","0.04892","0.0006007","0.05653","0.05653","",""
"24","3.535E-06","0.006452","9.55E-05","0.05081","0.0006382","0.058","0.05799","",""
"26","3.013E-06","0.006059","8.753E-05","0.05255","0.0006726","0.05937","0.05937","",""
"28","2.597E-06","0.005715","8.083E-05","0.05414","0.0007045","0.06065","0.06064","",""
"30","2.263E-06","0.005411","7.505E-05","0.05559","0.0007341","0.06181","0.06181","",""
"40","1.273E-06","0.004299","5.526E-05","0.06159","0.0008568","0.0668","0.0668","",""
"50","8.146E-07","0.003589","4.373E-05","0.06604","0.0009491","0.07062","0.07062","",""
"60","5.655E-07","0.003093","3.618E-05","0.06952","0.001022","0.07367","0.07367","",""
"80","3.182E-07","0.002439","2.688E-05","0.0746","0.001131","0.0782","0.0782","",""
"100","2.036E-07","0.002024","2.138E-05","0.07823","0.00121","0.08149","0.08149","",""
"150","9.05E-08","0.001442","1.415E-05","0.08394","0.00134","0.08674","0.08674","",""
"200","5.092E-08","0.00113","1.057E-05","0.08731","0.001421","0.08987","0.08987","",""
"300","2.262E-08","0.0008012","7.019E-06","0.09128","0.001519","0.0936","0.0936","",""
"400","1.273E-08","0.0006274","5.255E-06","0.09354","0.001578","0.09575","0.09575","",""
"500","8.146E-09","0.0005196","4.199E-06","0.09502","0.001618","0.09716","0.09716","",""
"600","5.655E-09","0.0004447","3.497E-06","0.09609","0.001648","0.09819","0.09819","",""
"800","3.182E-09","0.0003473","2.62E-06","0.0975","0.001688","0.09954","0.09954","",""
"1000","2.036E-09","0.0002857","2.095E-06","0.09839","0.001715","0.1004","0.1004","",""
"1500","9.05E-10","0.0001996","1.396E-06","0.09973","0.001755","0.1017","0.1017","",""
"2000","5.092E-10","0.0001545","1.046E-06","0.1004","0.001778","0.1024","0.1024","",""
"3000","2.262E-10","0.0001074","6.971E-07","0.1012","0.001803","0.1031","0.1031","",""
"4000","1.273E-10","8.29E-05","5.229E-07","0.1017","0.001818","0.1036","0.1036","",""
"5000","8.146E-11","6.778E-05","4.184E-07","0.1019","0.001827","0.1038","0.1038","",""
"6000","5.655E-11","5.748E-05","3.485E-07","0.1021","0.001833","0.104","0.104","",""
"8000","3.182E-11","4.429E-05","2.613E-07","0.1023","0.001842","0.1042","0.1042","",""
"10000","2.036E-11","3.615E-05","2.091E-07","0.1025","0.001847","0.1044","0.1044","",""
"15000","9.05E-12","2.499E-05","1.394E-07","0.1027","0.001854","0.1046","0.1046","",""
"20000","5.092E-12","1.921E-05","1.045E-07","0.1028","0.001859","0.1047","0.1047","",""
"30000","2.262E-12","1.324E-05","6.967E-08","0.1029","0.001863","0.1048","0.1048","",""
"40000","1.273E-12","1.017E-05","5.225E-08","0.103","0.001865","0.1049","0.1049","",""
"50000","8.146E-13","8.283E-06","4.18E-08","0.103","0.001867","0.1049","0.1049","",""
"60000","5.655E-13","7.001E-06","3.484E-08","0.1031","0.001868","0.1049","0.1049","",""
