"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","10.56","0.005015","2737","0","0","2748","2737","2737","C"
"0.001187","10.39","0.006235","1956","0","0","1966","1956","1967","C"
"0.001409","10.19","0.007701","1398","0","0","1408","1398","1397","C"
"0.001409","10.19","0.007701","2029","0","0","2039","2029","2051","C"
"0.001431","10.16","0.007844","2964","0","0","2974","2964","3138","C"
"0.001453","10.14","0.007989","4321","0","0","4331","4321","4293","C"
"0.001453","10.14","0.007989","4861","0","0","4871","4861","4898","C"
"0.0015","10.1","0.008295","6060","0","0","6070","6060","6003","C"
"0.001812","9.797","0.01031","3831","0","0","3841","3831","3802","C"
"0.001812","9.797","0.01031","4443","0","0","4453","4443","4406","C"
"0.002","9.606","0.01153","3513","0","0","3523","3513","3488","C"
"0.002006","9.599","0.01156","3490","0","0","3499","3490","3464","C"
"0.002006","9.599","0.01156","3708","0","0","3718","3708","3680","C"
"0.002104","9.491","0.01219","3327","0","0","3337","3327","3304","C"
"0.002206","9.394","0.01286","2986","0","0","2995","2986","2965","C"
"0.002206","9.394","0.01286","3117","0","0","3127","3117","3096","C"
"0.003","8.612","0.01794","1518","0","0","1526","1518","1510","C"
"0.004","7.658","0.02398","751.1","0","0","758.7","751.1","748","C"
"0.005","6.79","0.02955","429.2","0","0","436","429.2","427.6","C"
"0.006","6.038","0.0346","269.6","0","0","275.7","269.7","268.8","C"
"0.008","4.832","0.04335","128.1","0","0","133","128.2","127.8","C"
"0.008358","4.652","0.04475","114.3","0","0","119","114.4","114","C"
"0.008358","4.652","0.04475","307.9","0","0","312.6","307.9","274.1","C"
"0.008799","4.444","0.04646","269.2","0","0","273.7","269.3","241.2","C"
"0.009264","4.238","0.04817","235.5","0","0","239.8","235.5","212.1","C"
"0.009264","4.238","0.04817","322.8","0","0","327.1","322.9","280.6","C"
"0.009505","4.134","0.04902","303.1","0","0","307.3","303.1","265","C"
"0.009751","4.033","0.04987","284.5","0","0","288.6","284.6","249.1","C"
"0.009751","4.033","0.04987","328.9","0","0","333","329","285.8","C"
"0.01","3.935","0.05073","308.9","0","0","312.9","309","269.4","C"
