"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","12.06","0.003368","4421","0","0","4433","4421","4421","C"
"0.0015","11.6","0.006211","1975","0","0","1986","1975","1974","C"
"0.002","11.06","0.009128","1069","0","0","1080","1069","1069","C"
"0.002122","10.92","0.009835","939.7","0","0","950.6","939.7","939.3","C"
"0.002122","10.92","0.009835","1019","0","0","1030","1019","1021","C"
"0.002161","10.87","0.01007","1529","0","0","1539","1529","1405","C"
"0.002202","10.83","0.0103","2293","0","0","2304","2293","2292","C"
"0.002202","10.83","0.0103","2441","0","0","2452","2441","2434","C"
"0.002413","10.59","0.01151","2366","0","0","2377","2366","2457","C"
"0.002645","10.33","0.01282","2295","0","0","2305","2295","2258","C"
"0.002645","10.33","0.01282","2651","0","0","2661","2651","2606","C"
"0.003","9.922","0.01481","1955","0","0","1965","1955","1925","C"
"0.003026","9.891","0.01495","1913","0","0","1923","1913","1884","C"
"0.003026","9.891","0.01495","2031","0","0","2041","2031","2000","C"
"0.003158","9.742","0.01567","1837","0","0","1846","1837","1806","C"
"0.003296","9.591","0.01642","1661","0","0","1670","1661","1637","C"
"0.003296","9.591","0.01642","1732","0","0","1742","1732","1707","C"
"0.004","8.841","0.02017","1091","0","0","1100","1091","1078","C"
"0.005","7.887","0.0253","632.2","0","0","640.1","632.2","626.2","C"
"0.006","7.06","0.03019","401","0","0","408.1","401","397.9","C"
"0.008","5.739","0.03905","192.9","0","0","198.7","193","191.7","C"
"0.01","4.742","0.04649","108.4","0","0","113.2","108.5","107.8","C"
"0.01156","4.124","0.05146","74.27","0","0","78.45","74.32","73.88","C"
"0.01156","4.124","0.05146","190.5","0","0","194.6","190.5","159.4","C"
"0.01239","3.838","0.05378","158.2","0","0","162","158.2","133.9","C"
"0.01327","3.562","0.05612","131.3","0","0","134.9","131.4","112.7","C"
"0.01327","3.562","0.05612","181.8","0","0","185.4","181.8","146.3","C"
"0.01357","3.477","0.05691","172.2","0","0","175.8","172.3","139.5","C"
"0.01388","3.393","0.0577","163.1","0","0","166.6","163.2","132.5","C"
"0.01388","3.393","0.0577","188.6","0","0","192.1","188.7","151.7","C"
"0.015","3.109","0.06044","154.6","0","0","157.8","154.7","126.5","C"
"0.02","2.191","0.0706","73.47","0","0","75.73","73.54","63.33","C"
"0.03","1.294","0.08437","25.04","0","0","26.41","25.12","22.68","C"
"0.04","0.8591","0.09233","11.5","0","0","12.45","11.59","10.67","C"
"0.05","0.6091","0.09681","6.248","0","0","6.954","6.345","5.879","C"
"0.06","0.4556","0.09928","3.785","0","0","4.34","3.884","3.595","C"
"0.07839","0.2962","0.101","1.806","0","0","2.203","1.907","1.738","C"
"0.07839","0.2962","0.101","8.983","0","0","9.38","9.084","2.627","C"
"0.08","0.2865","0.101","8.344","0","0","8.732","8.445","2.592","C"
"0.1","0.1974","0.1006","4.695","0","0","4.993","4.796","2.081","C"
"0.15","0.0969","0.09628","1.602","0","0","1.795","1.698","1.006","C"
"0.2","0.05776","0.09091","0.7409","0","0","0.8896","0.8318","0.5413","C"
"0.3","0.02751","0.08137","0.2536","0","0","0.3624","0.3349","0.2216","C"
"0.4","0.01604","0.07396","0.1218","0","0","0.2118","0.1957","0.1233","C"
"0.5","0.01048","0.06813","0.0706","0","0","0.1492","0.1387","0.08265","C"
"0.6","0.007381","0.06335","0.04609","0","0","0.1168","0.1094","0.0623","C"
"0.8","0.004226","0.05597","0.02437","0","0","0.08456","0.08033","0.04325","C"
"1","0.002732","0.0505","0.01533","0","0","0.06857","0.06584","0.03459","C"
"1.022","0.002617","0.04998","0.01468","0","0","0.06727","0.06465","0.03397","I"
"1.25","0.001762","0.04526","0.0099","0.000351","0","0.05727","0.05551","0.02871","C"
"1.5","0.001229","0.04118","0.007054","0.001657","0","0.05112","0.04989","0.0256","C"
"2","0.0006952","0.03519","0.004269","0.005066","0","0.04522","0.04453","0.02307","C"
"2.044","0.0006656","0.03476","0.004115","0.005371","0","0.04491","0.04425","0.02305","I"
"3","0.0003102","0.02772","0.002235","0.01132","9.687E-06","0.0416","0.04129","0.02279","C"
"4","0.0001748","0.02314","0.001465","0.01643","3.948E-05","0.04125","0.04107","0.02408","C"
"5","0.0001119","0.01999","0.001075","0.02071","7.853E-05","0.04196","0.04185","0.02557","C"
"6","7.776E-05","0.01767","0.0008431","0.02439","0.0001204","0.0431","0.04303","0.02699","C"
"7","5.714E-05","0.01588","0.0006909","0.02764","0.000162","0.04443","0.04437","0.02825","I"
"8","4.377E-05","0.01446","0.0005838","0.03056","0.0002022","0.04584","0.0458","0.02939","C"
"9","3.457E-05","0.01329","0.0005047","0.03322","0.0002407","0.04729","0.04725","0.03037","I"
"10","2.801E-05","0.01231","0.0004442","0.03565","0.0002771","0.04872","0.04869","0.03127","C"
"11","2.315E-05","0.01149","0.0003964","0.03791","0.0003115","0.05013","0.0501","0.03193","I"
"12","1.946E-05","0.01077","0.0003575","0.04001","0.0003439","0.0515","0.05148","0.03255","I"
"13","1.658E-05","0.01015","0.0003257","0.04198","0.0003745","0.05285","0.05283","0.03312","I"
"14","1.43E-05","0.009601","0.0002989","0.04384","0.0004032","0.05415","0.05414","0.03367","I"
"15","1.245E-05","0.009116","0.0002761","0.04553","0.0004306","0.05537","0.05536","0.03418","C"
"16","1.095E-05","0.008681","0.0002565","0.04714","0.0004566","0.05654","0.05653","0.03443","I"
"18","8.65E-06","0.007934","0.0002245","0.05001","0.0005044","0.05868","0.05867","0.03488","I"
"20","7.004E-06","0.007316","0.0001996","0.05257","0.0005479","0.06064","0.06064","0.03529","C"
"22","5.788E-06","0.006795","0.0001796","0.05492","0.0005878","0.06249","0.06248","",""
"24","4.865E-06","0.00635","0.0001633","0.05705","0.0006242","0.06419","0.06419","",""
"26","4.146E-06","0.005964","0.0001496","0.05896","0.0006575","0.06574","0.06573","",""
"28","3.575E-06","0.005625","0.0001381","0.06075","0.0006884","0.06721","0.0672","",""
"30","3.115E-06","0.005328","0.0001281","0.06239","0.0007171","0.06856","0.06856","",""
"40","1.752E-06","0.004232","9.428E-05","0.06909","0.0008353","0.07425","0.07425","",""
"50","1.121E-06","0.003535","7.452E-05","0.07406","0.0009243","0.07859","0.07859","",""
"60","7.785E-07","0.003044","6.162E-05","0.07792","0.0009943","0.08202","0.08202","",""
"80","4.377E-07","0.002401","4.575E-05","0.0836","0.001099","0.08714","0.08714","",""
"100","2.802E-07","0.001993","3.64E-05","0.08758","0.001174","0.09078","0.09078","",""
"150","1.246E-07","0.001419","2.406E-05","0.09388","0.001297","0.09662","0.09662","",""
