"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","8.112","0.005025","8577","0","0","8585","8577","8568","C"
"0.0015","7.672","0.009324","3483","0","0","3491","3483","3481","C"
"0.002","7.187","0.01367","1760","0","0","1767","1760","1759","C"
"0.003","6.267","0.02182","647","0","0","653.3","647","646.9","C"
"0.004","5.466","0.02899","311.4","0","0","316.9","311.4","311.3","C"
"0.004132","5.372","0.02987","286.4","0","0","291.8","286.5","286.3","C"
"0.004132","5.372","0.02987","864.1","0","0","869.5","864.2","825.2","C"
"0.004254","5.283","0.03067","816.9","0","0","822.2","816.9","786.5","C"
"0.00438","5.194","0.03147","772.1","0","0","777.3","772.2","739.2","C"
"0.00438","5.194","0.03147","1045","0","0","1050","1045","990.6","C"
"0.004537","5.088","0.03246","963.5","0","0","968.6","963.5","917.8","C"
"0.004698","4.981","0.03348","888.9","0","0","893.9","888.9","845.7","C"
"0.004698","4.981","0.03348","1024","0","0","1029","1024","972.5","C"
"0.005","4.785","0.03532","879.9","0","0","884.8","880","837.7","C"
"0.006","4.205","0.04104","552.5","0","0","556.7","552.5","530.5","C"
"0.008","3.311","0.05119","259.7","0","0","263.1","259.8","251.8","C"
"0.01","2.69","0.06005","143.1","0","0","145.8","143.2","139.6","C"
"0.015","1.773","0.07657","47.39","0","0","49.24","47.46","46.57","C"
"0.02","1.252","0.08725","21.34","0","0","22.68","21.43","21.05","C"
"0.03","0.7078","0.1","6.821","0","0","7.629","6.921","6.755","C"
"0.03049","0.691","0.1005","6.514","0","0","7.306","6.615","6.452","C"
"0.03049","0.691","0.1005","39.94","0","0","40.73","40.04","13.91","C"
"0.04","0.4616","0.1067","19.7","0","0","20.26","19.8","9.789","C"
"0.05","0.3274","0.1103","10.76","0","0","11.2","10.87","6.4","C"
"0.06","0.2438","0.112","6.519","0","0","6.875","6.631","4.311","C"
"0.08","0.1495","0.1124","2.914","0","0","3.176","3.026","2.173","C"
