"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","16.52","4.662","21.18","8.212E-05"
"0.0015","20.77","5.126","25.89","0.0001034"
"0.002","24.43","5.424","29.85","0.0001213"
"0.0025","27.71","5.63","33.34","0.0001372"
"0.003","30.71","5.777","36.49","0.0001515"
"0.004","36.12","5.964","42.09","0.000177"
"0.005","40.97","6.065","47.04","0.0001994"
"0.006","45.41","6.115","51.53","0.0002197"
"0.007","49.54","6.132","55.67","0.0002383"
"0.008","53.42","6.128","59.55","0.0002557"
"0.009","57.09","6.108","63.2","0.000272"
"0.01","60.59","6.079","66.67","0.0002874"
"0.0125","68.71","5.976","74.69","0.0003228"
"0.015","76.16","5.853","82.01","0.0003547"
"0.0175","83.07","5.721","88.79","0.000384"
"0.02","89.57","5.588","95.15","0.0004112"
"0.0225","95.71","5.458","101.2","0.0004366"
"0.025","101.6","5.331","106.9","0.0004607"
"0.0275","107.2","5.208","112.4","0.0004835"
"0.03","112.5","5.09","117.6","0.0005052"
"0.035","122.7","4.87","127.6","0.000546"
"0.04","132.3","4.669","137","0.0005838"
"0.045","141.3","4.486","145.8","0.0006192"
"0.05","149.9","4.318","154.2","0.0006525"
"0.055","158.1","4.164","162.3","0.0006841"
"0.06","166","4.022","170","0.0007142"
"0.065","173.5","3.891","177.4","0.000743"
"0.07","180.8","3.77","184.6","0.0007706"
"0.075","187.9","3.657","191.6","0.0007972"
"0.08","194.7","3.552","198.3","0.0008228"
"0.085","201.4","3.454","204.8","0.0008476"
"0.09","207.8","3.362","211.2","0.0008717"
"0.095","214.1","3.276","217.3","0.000895"
"0.1","220.2","3.195","223.4","0.0009177"
"0.125","248.5","2.85","251.4","0.001023"
"0.15","273.9","2.583","276.4","0.001118"
"0.175","296.8","2.368","299.1","0.001205"
"0.2","317.6","2.19","319.8","0.001285"
"0.225","336.6","2.041","338.7","0.001361"
"0.25","354","1.914","355.9","0.001433"
"0.275","369.9","1.803","371.7","0.001502"
"0.3","384.4","1.707","386.1","0.001568"
"0.35","409.7","1.545","411.2","0.001693"
"0.4","430.4","1.415","431.8","0.001812"
"0.45","447.1","1.307","448.4","0.001925"
"0.5","460.3","1.216","461.5","0.002035"
"0.55","470.3","1.139","471.5","0.002142"
"0.6","477.7","1.072","478.7","0.002248"
"0.65","482.6","1.013","483.6","0.002351"
"0.7","485.5","0.9522","486.4","0.002455"
"0.75","486.6","0.9064","487.5","0.002557"
"0.8","486.3","0.8654","487.1","0.00266"
"0.85","484.7","0.8282","485.5","0.002763"
"0.9","482.2","0.7945","483","0.002866"
"0.95","478.8","0.7636","479.5","0.00297"
"1","474.7","0.7354","475.5","0.003074"
"1.25","449.1","0.6228","449.7","0.003614"
"1.5","421","0.5424","421.6","0.004189"
"1.75","394.9","0.4819","395.4","0.004801"
"2","371.7","0.4346","372.2","0.005453"
"2.25","351.6","0.3964","352","0.006144"
"2.5","334.2","0.3649","334.5","0.006873"
"2.75","318.9","0.3384","319.2","0.007638"
"3","305.4","0.3158","305.7","0.008439"
"3.5","282.7","0.2792","283","0.01014"
"4","264.1","0.2507","264.3","0.01197"
"4.5","248.5","0.2279","248.7","0.01392"
"5","235.1","0.2092","235.3","0.01599"
"5.5","223.4","0.1935","223.6","0.01817"
"6","213","0.1802","213.2","0.02046"
"6.5","203.8","0.1687","204","0.02286"
"7","195.5","0.1587","195.6","0.02536"
"7.5","187.9","0.1499","188.1","0.02797"
"8","181","0.1421","181.2","0.03068"
"8.5","174.7","0.1351","174.8","0.03349"
"9","168.9","0.1288","169","0.0364"
"9.5","163.5","0.1232","163.6","0.03941"
"10","158.5","0.118","158.6","0.04251"
