"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","31.26","13.86","45.12","3.592E-05"
"0.0015","38.13","14.73","52.87","4.606E-05"
"0.002","43.91","15.18","59.09","5.499E-05"
"0.0025","48.98","15.4","64.38","6.309E-05"
"0.003","53.56","15.5","69.05","7.058E-05"
"0.004","61.66","15.47","77.14","8.425E-05"
"0.005","68.79","15.31","84.1","9.665E-05"
"0.006","75.21","15.08","90.29","0.0001081"
"0.007","81.11","14.82","95.93","0.0001189"
"0.008","86.6","14.55","101.1","0.000129"
"0.009","91.74","14.27","106","0.0001387"
"0.01","96.6","14","110.6","0.0001479"
"0.0125","107.7","13.36","121.1","0.0001695"
"0.015","117.8","12.77","130.6","0.0001893"
"0.0175","127","12.23","139.3","0.0002079"
"0.02","135.6","11.75","147.4","0.0002253"
"0.0225","143.6","11.31","155","0.0002418"
"0.025","151.2","10.9","162.1","0.0002576"
"0.0275","158.4","10.53","169","0.0002727"
"0.03","165.3","10.19","175.5","0.0002872"
"0.035","178.2","9.577","187.8","0.0003147"
"0.04","190.2","9.048","199.3","0.0003406"
"0.045","201.4","8.584","210","0.000365"
"0.05","212","8.173","220.2","0.0003883"
"0.055","222","7.806","229.8","0.0004105"
"0.06","231.6","7.476","239.1","0.0004318"
"0.065","240.7","7.177","247.9","0.0004523"
"0.07","249.5","6.905","256.4","0.0004722"
"0.075","257.9","6.656","264.6","0.0004914"
"0.08","266","6.427","272.4","0.00051"
"0.085","273.9","6.215","280.1","0.0005281"
"0.09","281.4","6.019","287.5","0.0005457"
"0.095","288.8","5.837","294.6","0.0005629"
"0.1","295.9","5.667","301.6","0.0005797"
"0.125","328.8","4.964","333.7","0.0006583"
"0.15","357.8","4.433","362.2","0.0007302"
"0.175","383.8","4.017","387.8","0.0007968"
"0.2","407.4","3.68","411.1","0.0008594"
"0.225","428.8","3.401","432.2","0.0009187"
"0.25","448.4","3.166","451.6","0.0009752"
"0.275","466.3","2.964","469.3","0.00103"
"0.3","482.8","2.789","485.6","0.001082"
"0.35","511.8","2.5","514.3","0.001182"
"0.4","536.2","2.271","538.5","0.001277"
"0.45","556.6","2.084","558.7","0.001368"
"0.5","573.5","1.928","575.4","0.001456"
"0.55","587.3","1.795","589.1","0.001542"
"0.6","598.4","1.682","600.1","0.001626"
"0.65","607.2","1.583","608.7","0.001709"
"0.7","613.8","1.496","615.3","0.00179"
"0.75","618.5","1.419","619.9","0.001871"
"0.8","621.6","1.35","623","0.001952"
"0.85","623.4","1.288","624.6","0.002032"
"0.9","623.8","1.232","625.1","0.002112"
"0.95","623.3","1.181","624.5","0.002192"
"1","621.8","1.135","623","0.002272"
"1.25","604.4","0.9518","605.4","0.002678"
"1.5","578.7","0.8229","579.5","0.0031"
"1.75","550.8","0.7268","551.5","0.003542"
"2","523.3","0.6522","524","0.004007"
"2.25","497.6","0.5924","498.2","0.004497"
"2.5","474.4","0.5434","474.9","0.005011"
"2.75","453.6","0.5024","454.1","0.00555"
"3","435","0.4676","435.4","0.006112"
"3.5","402.7","0.4114","403.1","0.007307"
"4","375.9","0.3681","376.3","0.008591"
"4.5","353.2","0.3335","353.5","0.009963"
"5","333.6","0.3052","333.9","0.01142"
"5.5","316.9","0.2816","317.2","0.01296"
"6","302","0.2616","302.3","0.01457"
"6.5","288.8","0.2445","289","0.01626"
"7","276.9","0.2295","277.1","0.01803"
"7.5","266.2","0.2165","266.4","0.01987"
"8","256.5","0.2049","256.7","0.02178"
"8.5","247.7","0.1945","247.8","0.02377"
"9","239.5","0.1852","239.7","0.02582"
"9.5","232","0.1768","232.2","0.02794"
"10","225.1","0.1692","225.3","0.03012"
