"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","55.8","74.69","130.5","9.964E-06"
"0.0015","71.89","72.85","144.7","1.358E-05"
"0.002","86.05","70.32","156.4","1.69E-05"
"0.0025","98.92","67.73","166.7","1.999E-05"
"0.003","110.9","65.25","176.1","2.291E-05"
"0.004","132.7","60.78","193.5","2.832E-05"
"0.005","152.5","56.93","209.5","3.329E-05"
"0.006","170.9","53.61","224.5","3.79E-05"
"0.007","188.2","50.72","238.9","4.221E-05"
"0.008","204.5","48.18","252.7","4.628E-05"
"0.009","220.1","45.93","266.1","5.014E-05"
"0.01","235.1","43.91","279","5.381E-05"
"0.0125","270.1","39.69","309.8","6.23E-05"
"0.015","302.5","36.32","338.8","7.001E-05"
"0.0175","332.8","33.55","366.4","7.71E-05"
"0.02","361.5","31.24","392.7","8.369E-05"
"0.0225","388.6","29.27","417.9","8.986E-05"
"0.025","414.6","27.56","442.1","9.567E-05"
"0.0275","439.4","26.07","465.5","0.0001012"
"0.03","463.3","24.75","488","0.0001064"
"0.035","508.4","22.53","530.9","0.0001162"
"0.04","550.4","20.71","571.1","0.0001253"
"0.045","589.6","19.2","608.8","0.0001338"
"0.05","626.5","17.92","644.4","0.0001418"
"0.055","661.1","16.81","677.9","0.0001493"
"0.06","693.7","15.85","709.5","0.0001565"
"0.065","724.3","15.01","739.3","0.0001634"
"0.07","753.2","14.26","767.4","0.0001701"
"0.075","780.3","13.59","793.9","0.0001765"
"0.08","805.9","12.98","818.9","0.0001827"
"0.085","830.1","12.44","842.5","0.0001887"
"0.09","852.8","11.94","864.8","0.0001946"
"0.095","874.3","11.48","885.8","0.0002003"
"0.1","894.5","11.07","905.6","0.0002059"
"0.125","980","9.395","989.4","0.0002322"
"0.15","1045","8.198","1053","0.0002567"
"0.175","1096","7.293","1103","0.0002798"
"0.2","1136","6.583","1142","0.0003021"
"0.225","1168","6.009","1174","0.0003237"
"0.25","1195","5.535","1200","0.0003447"
"0.275","1216","5.136","1222","0.0003654"
"0.3","1234","4.795","1239","0.0003857"
"0.35","1262","4.242","1266","0.0004256"
"0.4","1280","3.811","1284","0.0004648"
"0.45","1291","3.466","1294","0.0005035"
"0.5","1297","3.182","1300","0.0005421"
"0.55","1298","2.944","1301","0.0005805"
"0.6","1297","2.742","1300","0.0006189"
"0.65","1293","2.567","1295","0.0006575"
"0.7","1286","2.415","1289","0.0006962"
"0.75","1279","2.282","1281","0.0007351"
"0.8","1269","2.163","1271","0.0007743"
"0.85","1259","2.057","1261","0.0008137"
"0.9","1248","1.961","1250","0.0008536"
"0.95","1237","1.875","1238","0.0008937"
"1","1225","1.796","1226","0.0009343"
"1.25","1161","1.49","1163","0.001144"
"1.5","1098","1.277","1100","0.001365"
"1.75","1039","1.12","1040","0.001598"
"2","984.9","1","985.9","0.001845"
"2.25","937.6","0.9042","938.5","0.002105"
"2.5","895.4","0.8261","896.2","0.002378"
"2.75","856.8","0.7612","857.6","0.002663"
"3","821","0.7062","821.7","0.002961"
"3.5","756.1","0.6182","756.8","0.003596"
"4","698.6","0.5506","699.1","0.004283"
"4.5","647.8","0.4971","648.3","0.005027"
"5","604.8","0.4535","605.3","0.005825"
"5.5","567.8","0.4173","568.3","0.006678"
"6","535.7","0.3867","536.1","0.007585"
"6.5","507.4","0.3605","507.8","0.008544"
"7","482.4","0.3379","482.7","0.009554"
"7.5","460","0.318","460.3","0.01061"
"8","439.8","0.3004","440.1","0.01173"
"8.5","421.6","0.2848","421.9","0.01289"
"9","405.1","0.2708","405.3","0.0141"
"9.5","389.9","0.2582","390.2","0.01535"
"10","376","0.2468","376.2","0.01666"
